관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11680-00001,도산근린공원,근린공원,,서울특별시 강남구 신사동 649-9,37.523911,127.0356032,29816.5,운동기구 등,,"음수대, 파고라, 장의자 등","도산전시관, 동상",,,,02-3423-6244,2026-01-29
11680-00002,신사근린공원,근린공원,,서울특별시 강남구 압구정동 422,37.526708,127.0212651,6800,운동기구 등,,"음수대, 정자, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00003,대청근린공원,근린공원,,서울특별시 강남구 일원동 621,37.49241615,127.0833736,14089.1,운동기구 등,"그네, 시소, 조합놀이대 등","음수대, 파고라, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00004,늘푸른근린공원,근린공원,,서울특별시 강남구 일원동 690,37.48951135,127.0773393,12067.2,"농구장, 배드민턴장, 운동기구 등","그네, 시소, 조합놀이대 등","파고라, 정자, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00005,개포서근린공원,근린공원,,서울특별시 강남구 개포동 180,37.4885944,127.0635583,11219.2,"농구장, 운동기구 등",,"파고라, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00006,개포동근린공원,근린공원,,서울특별시 강남구 개포동 182-1,37.48970641,127.0682905,9705.6,"농구장, 운동기구 등",,"파고라, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00007,대치근린공원,근린공원,,서울특별시 강남구 대치동 512,37.495123,127.0699032,10408.9,"농구장, 운동기구 등","그네, 조합놀이대 등","파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00008,늘벗근린공원,근린공원,,서울특별시 강남구 대치동 501,37.48928087,127.0563303,19812.3,"게이트볼장, 농구장, 족구장, 운동기구 등","그네, 조합놀이대 등","음수대, 파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00009,독골근린공원,근린공원,,서울특별시 강남구 도곡동 461,37.484552,127.0468249,10022.9,운동기구 등,"그네, 조합놀이대 등","음수대, 파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00010,포이근린공원,근린공원,,서울특별시 강남구 개포동 1239-21,37.47967612,127.0447815,16811.4,운동기구 등,,"음수대, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00011,청룡근린공원,근린공원,,서울특별시 강남구 개포동 649-1,37.48528514,127.0537972,9367,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00012,배밭근린공원,근린공원,,서울특별시 강남구 개포동 181,37.48821488,127.0594681,11627.2,운동기구 등,,"파고라, 정자, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00013,학여울근린공원,근린공원,,서울특별시 강남구 개포동 183-1,37.48970641,127.0682905,12505.6,운동기구 등,,"음수대, 파고라, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00014,청수근린공원,근린공원,,서울특별시 강남구 청담동 134-13,37.523249,127.0584463,17402,운동기구 등,,"음수대, 파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00015,청담근린공원,근린공원,,서울특별시 강남구 청담동 66,37.52152002,127.0522736,59347,"농구장, 배드민턴장, 골프연습장, 운동기구 등",,"파고라, 정자, 장의자 등",,,,,02-3423-6247,2026-01-29
11680-00016,한티근린공원,근린공원,,서울특별시 강남구 대치동 212-1,37.49524119,127.0622107,19200,운동기구 등,,"음수대, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00017,개포근린공원,근린공원,,서울특별시 강남구 개포동 139,37.4830336,127.063861,90063.9,운동기구 등,모래밭,"파고라, 정자, 장의자 등",개포도서관,,,,02-3423-6248,2026-01-29
11680-00018,달터근린공원,근린공원,,서울특별시 강남구 개포동 156,37.485434,127.0596369,232078.2,운동기구 등,모래밭,"파고라, 정자, 장의자 등",,,,,02-3423-6247,2026-01-29
11680-00019,대진근린공원,근린공원,,서울특별시 강남구 개포동 13-1,37.496049,127.0788531,13568.3,"배드민턴장, 운동기구 등","그네, 시소, 조합놀이대 등","음수대, 파고라, 정자, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00020,탄천근린공원,근린공원,,서울특별시 강남구 수서동 722,37.487436,127.1064899,10011,운동기구 등,조합놀이대 등,"파고라, 정자, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00021,한솔근린공원,근린공원,,서울특별시 강남구 일원동 732,37.481203,127.0787962,12878.4,"농구장, 운동기구 등","그네, 미끄럼틀, 조합놀이대 등","음수대, 파고라, 정자, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00022,학동근린공원,근린공원,,서울특별시 강남구 논현동 26,37.51548988,127.0252037,29947,"배트민턴장, 운동기구 등",,"음수대, 파고라, 정자, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00023,삼성은행나무근린공원,근린공원,,서울특별시 강남구 삼성동 14,37.51651533,127.0457554,1500,운동기구 등,,장의자 등,,,,,02-3423-6244,2026-01-29
11680-00024,도곡근린공원,근린공원,,서울특별시 강남구 도곡동 산31-1,37.48946129,127.0440022,254648,"농구장, 배드민턴장, 운동기구 등",,"파고라, 정자, 장의자 등",,,,,02-3423-6247,2026-01-29
11680-00025,싸리고개근린공원,근린공원,,서울특별시 강남구 도곡동 550,37.48962828,127.0363246,15072.5,운동기구 등,,"파고라, 정자, 장의자 등",,,,,02-3423-6247,2026-01-29
11680-00026,갈매기근린공원,근린공원,,서울특별시 강남구 압구정동 480,37.53139874,127.0345365,7732,"농구장, 운동기구 등",,장의자 등,,,,,02-3423-6244,2026-01-29
11680-00027,도성근린공원,근린공원,,서울특별시 강남구 역삼동 713-15,37.5003029,127.0488318,1988.8,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00028,송운근린공원,근린공원,,서울특별시 강남구 역삼동 755-9,37.4993173,127.0490489,1175,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00029,언주근린공원,근린공원,,서울특별시 강남구 역삼동 754-7,37.49864145,127.0475791,1110.8,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00030,영동근린공원,근린공원,,서울특별시 강남구 역삼동 755-7,37.49801996,127.0486499,1293.6,운동기구 등,,"정자, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00031,길섶근린공원,근린공원,,서울특별시 강남구 역삼동 757-1,37.49757437,127.0489095,1580.6,운동기구 등,,"정자, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00032,매봉근린공원,근린공원,,서울특별시 강남구 도곡동 527-7,37.492112,127.0504068,6146.9,운동기구 등,,"정자, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00034,배꽃근린공원,근린공원,,서울특별시 강남구 삼성동 11-3,37.51628496,127.0446033,1592.9,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00035,반달근린공원,근린공원,,서울특별시 강남구 삼성동 7-4,37.5162258,127.0428717,679.3,운동기구 등,,장의자 등,,,,,02-3423-6244,2026-01-29
11680-00036,샘터근린공원,근린공원,,서울특별시 강남구 삼성동 16-4,37.51542123,127.0474657,1799.5,운동기구 등,,장의자 등,,,,,02-3423-6244,2026-01-29
11680-00037,학봉근린공원,근린공원,,서울특별시 강남구 삼성동 50-3,37.51303694,127.0521038,1343,운동기구 등,,"정자, 평의자 등",,,,,02-3423-6244,2026-01-29
11680-00038,큰골근린공원,근린공원,,서울특별시 강남구 대치동 888-3,37.49397694,127.054871,1688.1,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00039,새뜰근린공원,근린공원,,서울특별시 강남구 역삼동 765-30,37.49660384,127.0510177,427.6,운동기구 등,,,,,,,02-3423-6244,2026-01-29
11680-00040,수서제2근린공원,근린공원,,서울특별시 강남구 수서동 749,37.48359088,127.0887929,44587.5,,,"음수대, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00041,수서택지개발(대모산부근),근린공원,,서울특별시 강남구 일원동 732-3,37.48093233,127.0805118,11588.6,,,,,,,,02-3423-6248,2026-01-29
11680-00042,수서택지개발(광평부근),근린공원,,서울특별시 강남구 수서동 737-1,37.48674541,127.0971098,7569.1,,,,,,,,02-3423-6248,2026-01-29
11680-00043,세곡동 근린공원1,근린공원,,서울특별시 강남구 세곡동 525-1,37.46058474,127.1038574,10310.4,운동기구 등,,"정자, 장의자 등",,,,,02-3423-6248,2026-01-29
11680-00045,강남세곡체육공원,체육공원,,서울특별시 강남구 세곡동 산1-7,37.46693664,127.1126916,98417,"테니스장, 축구장, 운동기구 등",조합놀이대 등,"음수대, 파고라, 장의자 등",,,,,02-3423-6243,2026-01-29
11680-00046,광평공원,근린공원,,서울특별시 강남구 일원동 197-7,37.48651921,127.0921363,10746.9,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6247,2026-01-29
11680-00048,봉은역사공원,역사공원,,서울특별시 강남구 삼성동 75,37.51391154,127.0554916,75635.7,"테니스장, 배드민턴장, 운동기구 등",,장의자 등,,,,,02-3423-6244,2026-01-29
11680-00049,역삼문화공원,문화공원,,서울특별시 강남구 역삼동 635,37.50251536,127.0303909,33974.9,운동기구 등,,장의자 등,,,,,02-3423-6244,2026-01-29
11680-00050,다솜소공원,소공원,,서울특별시 강남구 역삼동 763-18,37.49577558,127.0478708,604.1,운동기구 등,,"정자, 장의자 등",,,,,02-3423-6244,2026-01-29
11680-00051,도곡단비소공원,소공원,,서울특별시 강남구 도곡동 539-6,37.49389921,127.0472249,896.5,,,,,,,,02-3423-6244,2026-01-29
11680-00052,도곡동 426-9(로덴하우스)소공원,소공원,,서울특별시 강남구 도곡동 462-9,37.48560304,127.0460585,80,,,,,,,,02-3423-6244,2026-01-29
11680-00053,역삼나들이소공원,소공원,,서울특별시 강남구 역삼동 716-5,37.500748,127.0504317,650,운동기구 등,,장의자,,,,,02-3423-6244,2026-01-29
11680-00054,아크로힐스소공원,소공원,,서울특별시 강남구 논현동 276-2,37.51003194,127.0395693,800,,,,,,,,02-3423-6244,2026-01-29
11680-00055,논현까치공원,어린이공원,,서울특별시 강남구 논현동 162-11,37.50852892,127.0250971,956.7,,조합놀이대 등,"음수대, 장의자 등",,,,,02-3423-6265,2026-01-29
11680-00056,논현목련공원,어린이공원,,서울특별시 강남구 논현동 137-18,37.5108669,127.0267093,986,운동기구 등,"시소, 조합놀이대 등","음수대, 정자, 장의자 등",,,,,02-3423-6265,2026-01-29
11680-00057,논현은행나무공원,어린이공원,,서울특별시 강남구 논현동 47-13,37.51259546,127.0224572,1014.5,운동기구 등,조합놀이대,"파고라, 장의자 등",,,,,02-3423-6265,2026-01-29
