관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11305-00001,벽오산,어린이공원,,서울특별시 강북구 미아동 258-56,37.6275862,127.0302734,1250,,조합놀이대+시소,,,,1968-04-25,서울특별시 강북구청,02-901-6953,2025-08-29
11305-00002,미아도심소,어린이공원,,서울특별시 강북구 미아동 258-148,37.62544556,127.0313106,1127,,조합놀이대,,,,1968-04-25,서울특별시 강북구청,02-901-6952,2025-08-29
11305-00003,오패,어린이공원,,서울특별시 강북구 미아동 258-236,37.6223139,127.0323129,1084,,조합놀이대+시소+그네,,,,1968-04-25,서울특별시 강북구청,02-901-6952,2025-08-29
11305-00004,한빛,어린이공원,,서울특별시 강북구 미아동 222-20,37.6275981,127.0229662,1192.1,,조합놀이대+그네,화장실,,,1964-10-16,서울특별시 강북구청,02-901-6953,2025-08-29
11305-00005,운산,어린이공원,,서울특별시 강북구 미아동 165-3,37.6321329,127.025456,995.1,,조합놀이대+그네+흔들놀이,화장실,,,1964-10-16,서울특별시 강북구청,02-901-6953,2025-08-29
11305-00006,솔샘,어린이공원,,서울특별시 강북구 송천동 329-15,37.6184142,127.0270508,1264.1,,조합놀이대+그네+흔들놀이,화장실,,,1964-10-16,서울특별시 강북구청,02-901-6952,2025-08-29
11305-00007,으뜸,어린이공원,,서울특별시 강북구 미아동 309-43,37.6236134,127.0262421,681,,조합놀이대+시소+흔들놀이,,,,1964-10-16,서울특별시 강북구청,02-901-6952,2025-08-29
11305-00008,세일,어린이공원,,서울특별시 강북구 미아동 159-71,37.6338794,127.0252746,839.7,,조합놀이대+그네+시소,,,,1964-10-16,서울특별시 강북구청,02-901-6952,2025-08-29
11305-00009,북한산도시자연공원,기타,,서울특별시 강북구 미아동 산108-19,37.6210716,127.0083592,84448.4,배드민턴장+게이트볼장+족구장,그네+회전놀이+조합놀이대,화장실,,유아숲체험원,2020-06-29,서울특별시 강북구청,02-901-6954,2025-08-29
11305-00010,청암,어린이공원,,서울특별시 강북구 삼양동 776-17,37.6241079,127.0171437,661,,조합놀이대+그네+흔들놀이,,,,1972-04-25,서울특별시 강북구청,02-901-6952,2025-08-29
