관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11215-10510,성화공원,어린이공원,,서울특별시 광진구 자양동 199-4,37.53620746,127.061859,253,,조합놀이대,,,,1979-09-15,서울특별시 광진구청,02-450-7775,2025-03-10
11215-10511,양마장공원,어린이공원,,서울특별시 광진구 자양동 689-6,37.5308707,127.0887271,1113,,"조합놀이대, 그네, 흔들놀이기구",,,,1982-03-09,서울특별시 광진구청,02-450-7775,2025-03-10
11215-10512,자양공원,어린이공원,,서울특별시 광진구 자양동 792-1,37.5335548,127.0698629,494.8,,조합놀이대,,,,1984-05-18,서울특별시 광진구청,02-450-7775,2025-03-10
11215-10513,가중나무공원,어린이공원,서울특별시 광진구 동일로28길 16 (화양동),서울특별시 광진구 화양동 32-1,37.54651869,127.0677034,971.6,,조합놀이대,화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2025-03-10
11215-10514,한아름공원,어린이공원,서울특별시 광진구 군자로3길 15 (화양동),서울특별시 광진구 화양동 12-55,37.5443368,127.0704685,936.2,,"조합놀이대, 그네 , 흔들놀이기구",화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2025-03-10
11215-10515,햇님공원,어린이공원,서울특별시 광진구 아차산로25길 27 (화양동),서울특별시 광진구 화양동 45-3,37.5426933,127.0670227,1002.3,,"조합놀이대, 그네 , 시소, 흔들놀이기구",화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2025-03-10
11215-10516,화양공원,어린이공원,서울특별시 광진구 아차산로31길 14 (화양동),서울특별시 광진구 화양동 8-36,37.54160778,127.0696005,996.4,,조합놀이대,화장실,,,1969-01-21,서울특별시 광진구청,02-450-7775,2025-03-10
11215-10517,남일공원,어린이공원,,서울특별시 광진구 군자동 159-1,37.5559474,127.0736903,238,,"조합놀이대, 그네",,,,1979-02-02,서울특별시 광진구청,02-450-7778,2025-03-10
11215-10518,군자공원,어린이공원,서울특별시 광진구 동일로52길 27 (군자동),서울특별시 광진구 군자동 115-1,37.55456506,127.0728509,642,,"조합놀이대, 시소",화장실,,경로당,1993-12-17,서울특별시 광진구청,02-450-7778,2025-03-10
11215-10519,중곡공원,어린이공원,서울특별시 광진구 긴고랑로5길 10 (중곡동),서울특별시 광진구 중곡동 232-44,37.5645362,127.079141,995.7,,조합놀이대,,,경로당,1973-05-18,서울특별시 광진구청,02-450-7778,2025-03-10
11215-10520,배나무터공원,어린이공원,서울특별시 광진구 동일로76나길 20 (중곡동),서울특별시 광진구 중곡동 695,37.56834108,127.0802695,971.9,,"조합놀이대, 그네",화장실,,,1973-05-18,서울특별시 광진구청,02-450-7778,2025-03-10
11215-10521,해오름공원,어린이공원,서울특별시 광진구 영화사로7길 25 (중곡동),서울특별시 광진구 중곡동 100-16,37.55678467,127.0921845,840,,"조합놀이대, 그네",화장실,,,1973-05-18,서울특별시 광진구청,02-450-7778,2025-03-10
11215-10522,한마음공원,어린이공원,,서울특별시 광진구 중곡동 51-6,37.5595627,127.083993,897.8,,"조합놀이대, 그네",,,,2000-03-03,서울특별시 광진구청,02-450-7778,2025-03-10
11215-10523,긴고랑공원,어린이공원,서울특별시 광진구 긴고랑로 143 (중곡동),서울특별시 광진구 중곡동 68-19,37.55888021,127.0910186,633,,"조합놀이대, 그네",화장실,,,2004-08-05,서울특별시 광진구청,02-450-7778,2025-03-10
