관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11530-00001,온수(잣절지구),근린공원,,서울특별시 구로구 개봉동 45-2,37.50199617,126.8397231,77320.6,체력단련시설 15점+배드민턴장 1개소,,,,,1971-08-06,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00002,온수(반달지구),근린공원,,서울특별시 구로구 오류동 18-141,37.49947855,126.8418368,1529.2,,,,,,1971-08-06,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00003,온수(궁동지구),근린공원,,서울특별시 구로구 오류동 산4,37.49780089,126.8375987,868,,,,,,1971-08-06,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00004,온수(벽산지구),근린공원,,서울특별시 구로구 온수동 9-44,37.49459859,126.8244691,26074.7,,,,,,1971-08-06,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00005,온수(온수골지구),근린공원,,서울특별시 구로구 온수동 산4-25,37.4940823,126.821833,7985.3,,,,,,1971-08-06,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00006,온수(온수체육지구),근린공원,,서울특별시 구로구 온수동 산10-4,37.49330391,126.8193736,17413.2,체력단련시설 15점,,,,,1971-08-06,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00007,고척,근린공원,,서울특별시 구로구 고척동 산9-14,37.50658242,126.8532783,108120,운동장 1개소+테니스장 1개소+수영장 1개소+배드민턴 2개소+게이트볼 1개소+체력단력시설 56점,모래밭 2기+시소 1기+조합놀이 3기,주차장 1개소+화장실 1개소+공중전화 3기+음수대 6기+시계탑 2기,도서관 1개소,,1977-07-09,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00008,계남,근린공원,,서울특별시 구로구 고척동 산8,37.509285,126.850122,158814,운동장 1개소+테니스장 1개소+체력단력시설 95점,,음수대 1기,,,1971-08-06,서울특별시 구로구청,02-860-2396,2025-05-29
11530-00009,개웅산,근린공원,,서울특별시 구로구 개봉동 산53-3,37.48690364,126.8471261,411972,배드민턴장 1개소+체력단련시설 65점,,샘터 1개소,,,1971-08-06,서울특별시 구로구청,02-860-3165,2025-05-29
11530-00010,천왕(시)(천왕골),근린공원,,서울특별시 구로구 천왕동 173,37.48261513,126.8337054,9908,,,,,,1971-08-06,서울특별시 구로구청,02-860-3165,2025-05-29
11530-00011,천왕(시)(항골),근린공원,,서울특별시 구로구 항동 147-2,37.47854975,126.8290997,52032.4,,,,,,1971-08-06,서울특별시 구로구청,02-860-3165,2025-05-29
11530-00012,천왕(구),근린공원,,서울특별시 구로구 천왕동 276,37.4764232,126.8417584,33677,체력단련시설 9점,,,,,2004-11-20,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00013,연지,근린공원,,서울특별시 구로구 천왕동 274-2,37.47965771,126.8379653,44478,체력단련시설 15점,,,,,2004-11-20,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00014,봉화대,근린공원,,서울특별시 구로구 천왕동 산13-1,37.48469858,126.8424192,60975,체력단련시설 9점,,,,,2006-11-13,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00015,구로,근린공원,,서울특별시 구로구 구로동 102,37.49748278,126.8896027,7901,체력단련시설 5점,조합놀이 1기,주차장 1개소+화장실 1개소+음수대 1기,도서관 1개소+문화회관 1개소,,1982-07-12,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00016,신도림테크노,근린공원,,서울특별시 구로구 구로동 3-33,37.50811753,126.8908707,10482,체력단련시설 6점,,음수대 2기,,,2005-01-05,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00017,덕의,근린공원,,서울특별시 구로구 고척동 339-4,37.50702571,126.8558381,5565,체력단련시설 12점,,음수대1기+화장실 1개소,,,2001-10-02,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00018,항동 2호,근린공원,,서울특별시 구로구 항동 76-1,37.48192505,126.826833,14425.6,,,,,,2010-05-26,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00019,항동 3호,근린공원,,서울특별시 구로구 항동 산50-2,37.4751259,126.8154416,12549.5,,,,,,2010-05-26,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00020,항동 4호,근린공원,,서울특별시 구로구 항동 산50-3,37.47418114,126.8176643,14084.4,체력단련시설 6점,,,,,2010-05-26,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00020,항동,근린공원,,서울특별시 구로구 오류동 산45-5,37.48925322,126.8273745,10701,체력단련시설 10점,,,,,2011-09-15,서울특별시 구로구청,02-860-3086,2025-05-29
11530-00021,대성디큐브시티,문화공원,,서울특별시 구로구 신도림동 692-1,37.50923794,126.8902377,3322,,,,,,2006-05-04,서울특별시 구로구청,02-860-3090,2025-05-29
11530-00022,오류역,문화공원,,서울특별시 구로구 오류동 299-29,37.49463217,126.8455221,7510,,,,,,2013-08-28,서울특별시 구로구청,02-860-3090,2025-05-29
