관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11545-00001,감로천생태공원,근린공원,,서울특별시 금천구 독산동 373,37.46964774,126.9078499,15000,배드민턴장+게이트볼장,,,,CCTV,1968-01-15,서울특별시 금천구청,02-2627-1655,2025-08-14
11545-00002,산기슭공원,근린공원,서울특별시 금천구 독산로54길 6,서울특별시 금천구 시흥동 산138-3,37.46364031,126.9076165,8412,다목적운동장,조합놀이대,화장실,,CCTV,1968-01-15,서울특별시 금천구청,02-2627-1659,2025-08-14
11545-00003,금천체육공원,근린공원,서울특별시 금천구 독산로54길 102-27,서울특별시 금천구 독산동 산118-4,37.468313,126.908522,18083,다목적운동장+농구장+배드민턴장,조합놀이대+흔들놀이+그네+시소,화장실+음수대+공중전화,,CCTV,1968-01-15,서울특별시 금천구청,02-2627-1655,2025-08-14
11545-00004,삼성산시민휴식공원,근린공원,,서울특별시 금천구 시흥동 산116,37.454747,126.9100496,10118,배드민턴장,조합놀이대+흔들놀이,,,CCTV,1968-01-15,서울특별시 금천구청,02-2627-1659,2025-08-14
11545-00005,독산자연공원,근린공원,,서울특별시 금천구 독산동 산89-5,37.47348901,126.9072777,7650,배드민턴장+테니스장,,화장실+음수대+주차장,,,1968-01-15,서울특별시 금천구청,02-2627-1662,2025-08-14
11545-00006,독산근린공원,근린공원,서울특별시 금천구 범안로 1096,서울특별시 금천구 독산동 1086,37.46327361,126.8849344,18005.5,축구장+배드민턴장,,화장실+음수대,,CCTV,1987-08-27,서울특별시 금천구청,02-2627-1664,2025-08-14
11545-00007,금천폭포공원,근린공원,서울특별시 금천구 시흥대로38길 61,서울특별시 금천구 시흥동 937-2,37.44639673,126.9044447,4835.2,,,,문화회관,CCTV,2005-11-17,서울특별시 금천구청,02-2627-1659,2025-08-14
11545-00008,조마,어린이공원,서울특별시 금천구 시흥대로149가길 6,서울특별시 금천구 가산동 148-11,37.47561479,126.8955477,1003,,조합놀이대+시소+그네+흔들놀이,,,매봉경로당+CCTV,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00009,무아래,어린이공원,,서울특별시 금천구 가산동 234-29,37.473337,126.893278,1162.6,,조합놀이대+흔들놀이,음수대,,CCTV,1977-03-16,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00010,골말,어린이공원,,서울특별시 금천구 가산동 28-2,37.482876,126.884528,1485,,조합놀이대+흔들놀이,음수대,,상록경로당+CCTV,1979-07-20,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00011,참새,어린이공원,서울특별시 금천구 한내로 55,서울특별시 금천구 독산동 1088-2,37.45695474,126.8871937,1500.1,,조합놀이대+흔들놀이+그네,음수대,,참새경로당+CCTV,1987-08-27,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00012,파랑새,어린이공원,,서울특별시 금천구 독산동 1095-1,37.454889,126.8888743,1500,,조합놀이대+흔들놀이+시소,,,CCTV,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00013,철쭉,어린이공원,서울특별시 금천구 금하로1마길 15-8,서울특별시 금천구 독산동 1112,37.45288913,126.8896337,1501.6,,조합놀이대+우주탐사놀이+버섯회전놀이+스프링시소,,,철쭉경로당+CCTV,1987-08-27,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00014,두산,어린이공원,서울특별시 금천구 시흥대로123길 91,서울특별시 금천구 독산동 298-1,37.47303262,126.8942618,974.9,,조합놀이대+흔들놀이,음수대,,,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00015,다람쥐,어린이공원,서울특별시 금천구 벚꽃로18길 33,서울특별시 금천구 독산동 999-11,37.46824515,126.8908193,1019.6,,조합놀이대+흔들놀이+그네,,독산1동어린이집,,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00016,푸른골,어린이공원,,서울특별시 금천구 독산동 1038-9,37.466546,126.9032037,977.3,,조합놀이대+흔들놀이+그네+시소,음수대,,CCTV,1979-03-08,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00017,무지개,어린이공원,서울특별시 금천구 시흥대로90길 60-3,서울특별시 금천구 독산동 1063-14,37.46282267,126.9009392,972.1,,조합놀이대+흔들놀이+회전의자+모래테이블+자가발전자전거,음수대,,만수경로당+CCTV,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00018,옥계,어린이공원,서울특별시 금천구 시흥대로86길 20,서울특별시 금천구 독산동 1067-9,37.460149,126.900302,1058.6,,조합놀이대+그네,,옥계어린이집,CCTV,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00019,무궁화,어린이공원,,서울특별시 금천구 독산동 378-291,37.46442655,126.9044106,1336,,조합놀이대,음수대,,CCTV,1971-11-03,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00020,정훈,어린이공원,,서울특별시 금천구 독산동 378-4,37.46567731,126.9063221,1094,,조합놀이대+흔들놀이+그네,,,CCTV,1971-11-03,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00021,꿈나무,어린이공원,,서울특별시 금천구 독산동 378-434,37.46346975,126.9049179,567,,조합놀이대+흔들놀이+그네,,,,1998-07-20,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00022,목화,어린이공원,,서울특별시 금천구 독산동 883-9,37.477455,126.907262,985.8,,조합놀이대+흔들놀이+그네+시소,음수대,,CCTV,1970-09-03,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00023,동산,어린이공원,서울특별시 금천구 독산로54길 247,서울특별시 금천구 독산동 993-29,37.47292006,126.9059645,1017.2,,조합놀이대+그네,,,동산경로당,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00024,남문,어린이공원,,서울특별시 금천구 독산동 160-6,37.472321,126.900396,883.6,,조합놀이대,음수대,,CCTV,1976-09-04,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00025,구룡,어린이공원,,서울특별시 금천구 독산동 964,37.477891,126.9027669,934.9,,조합놀이대+흔들놀이+그네+시소,,,,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00026,반수,어린이공원,서울특별시 금천구 독산로93길 18,서울특별시 금천구 독산동 980-44,37.4740151,126.902233,990.6,,조합놀이대,음수대,,문성경로당+CCTV,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00027,한사랑,어린이공원,,서울특별시 금천구 독산동 925-2,37.467716,126.904573,585.9,,조합놀이대+흔들놀이+그네,음수대,,CCTV,1973-01-23,서울특별시 금천구청,02-2627-1654,2025-08-14
11545-00028,쌈지,어린이공원,,서울특별시 금천구 독산동 189-1,37.47090493,126.9039831,982.8,,조합놀이대+ 등반놀이대,음수대,,CCTV,1971-11-12,서울특별시 금천구청,02-2627-1654,2025-08-14
