관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11320-00001,초안산,근린공원,서울특별시 도봉구 해등로3길 48-11,서울특별시 도봉구 창동 산24,37.647426,127.0413841,404631,,,,,,,,,2026-01-01
11320-00002,둘리(쌍문),근린공원,서울특별시 도봉구 시루봉로1길 6,서울특별시 도봉구 쌍문동 산 240-5,37.65242986,127.0276385,264718,,,,,,,,,2026-01-01
11320-00003,월천근린공원,근린공원,서울특별시 도봉구 노해로70길 126,서울특별시 도봉구 창동 30,37.647271,127.052318,10712,,,,,,,,,2026-01-01
11320-00004,꽃동네,어린이공원,서울특별시 도봉구 우이천로38가길,서울특별시 도봉구 쌍문동 286-32,37.65060359,127.0229687,317,,,,,,,,,2026-01-01
11320-00005,노해,어린이공원,서울특별시 도봉구 노해로 227,서울특별시 도봉구 쌍문동 85-7,37.65132976,127.0335737,1019,,,,,,,,,2026-01-01
11320-00006,샛별,어린이공원,서울특별시 도봉구 도봉로109길,서울특별시 도봉구 쌍문동 315-362,37.648073,127.029196,331,,,,,,,,,2026-01-01
11320-00007,둥근달,어린이공원,서울특별시 도봉구 우이천로32길,서울특별시 도봉구 쌍문동 139-101,37.64970515,127.0301301,1013,,,,,,,,,2026-01-01
11320-00008,무궁화,어린이공원,서울특별시 도봉구 방학로15길,서울특별시 도봉구 방학동 655-31,37.667800,127.042100,1003,,,,,,,,,2026-01-01
11320-00009,사슴,어린이공원,서울특별시 도봉구 도봉로143길,서울특별시 도봉구 방학동 681-13,37.6644568,127.0417367,970,,,,,,,,,2026-01-01
11320-00010,소망,어린이공원,서울특별시 도봉구 해등로32가길 16,서울특별시 도봉구 방학동 547,37.66029179,127.0222644,973,,,,,,,,,2026-01-01
11320-00011,금성윗들,어린이공원,서울특별시 도봉구 도봉로150마길 37,서울특별시 도봉구 방학동 717-1,37.66773077,127.0449375,1289,,,,,,,,,2026-01-01
11320-00012,생잇들,어린이공원,서울특별시 도봉구 도봉로146길,서울특별시 도봉구 방학동 644-28,37.66900475,127.039176,970,,,,,,,,,2026-01-01
11320-00013,개나리,어린이공원,서울특별시 도봉구 시루봉로15라길,서울특별시 도봉구 방학동 638-12,37.66733162,127.0371368,960,,,,,,,,,2026-01-01
11320-00014,샘말,어린이공원,서울특별시 도봉구 시루봉로15마길 13,서울특별시 도봉구 방학동 612-28,37.66812722,127.0315428,1085,,,,,,,,,2026-01-01
11320-00015,뒷말,어린이공원,서울특별시 도봉구 도당로13길 3,서울특별시 도봉구 방학동 662-34,37.66496533,127.0356152,1000,,,,,,,,,2026-01-01
11320-00016,꿈동산,어린이공원,서울특별시 도봉구 초안산로 116,서울특별시 도봉구 창동 663-1,37.65028686,127.036861,1008,,,,,,,,,2026-01-01
11320-00017,은행나무,어린이공원,서울특별시 도봉구 해등로 50,서울특별시 도봉구 창동 347,37.64999808,127.0433017,3199,,,,,,,,,2026-01-01
11320-00018,반석,어린이공원,서울특별시 도봉구 덕릉로63길,서울특별시 도봉구 창동 354,37.64716834,127.0412891,2596,,,,,,,,,2026-01-01
11320-00019,밤골,어린이공원,서울특별시 도봉구 해등로4길 38,서울특별시 도봉구 창동 368,37.64881821,127.0455437,2279,,,,,,,,,2026-01-01
11320-00020,뱃골,어린이공원,서울특별시 도봉구 해등로4길 38,서울특별시 도봉구 창동 368,37.64881821,127.0455437,2319,,,,,,,,,2026-01-01
11320-00021,창골,어린이공원,서울특별시 도봉구 덕릉로63길,서울특별시 도봉구 창동 381,37.643075,127.048626,4236,,,,,,,,,2026-01-01
11320-00022,창고개,어린이공원,서울특별시 도봉구 덕릉로59길,서울특별시 도봉구 창동 608-5,37.64476713,127.039341,990,,,,,,,,,2026-01-01
11320-00023,다람쥐,어린이공원,서울특별시 도봉구 덕릉로59길,서울특별시 도봉구 창동 624-16,37.64520352,127.0349066,988,,,,,,,,,2026-01-01
11320-00024,장미,어린이공원,서울특별시 도봉구 도봉로114길,서울특별시 도봉구 창동 553-8,37.638146,127.036365,1000,,,,,,,,,2026-01-01
11320-00025,달내,어린이공원,서울특별시 도봉구 덕릉로59길,서울특별시 도봉구 창동 630-4,37.642803,127.0352563,1001,,,,,,,,,2026-01-01
11320-00026,신창,어린이공원,서울특별시 도봉구 덕릉로57길,서울특별시 도봉구 창동 449-103,37.64005013,127.0408422,579,,,,,,,,,2026-01-01
11320-00027,물방울,어린이공원,서울특별시 도봉구 우이천로4길,서울특별시 도봉구 창동 458-6,37.63771613,127.0413394,646,,,,,,,,,2026-01-01
11320-00028,효자,어린이공원,서울특별시 도봉구 마들로11길 20,서울특별시 도봉구 창동 1-10,37.65511059,127.0508313,1573,,,,,,,,,2026-01-01
11320-00029,유만,어린이공원,서울특별시 도봉구 노해로69길,서울특별시 도봉구 창동 33-4,37.65038208,127.0529523,1500,,,,,,,,,2026-01-01
11320-00030,모랫,어린이공원,서울특별시 도봉구 노해로69길,서울특별시 도봉구 창동 30-1,37.64683187,127.0517828,1500,,,,,,,,,2026-01-01
11320-00031,대창,어린이공원,서울특별시 도봉구 도봉로136길,서울특별시 도봉구 창동 38-4,37.64436186,127.0522613,1500,,,,,,,,,2026-01-01
11320-00032,미화,어린이공원,서울특별시 도봉구 도봉로118길,서울특별시 도봉구 창동 715-17,37.65501352,127.0396967,996,,,,,,,,,2026-01-01
11320-00033,창원,어린이공원,서울특별시 도봉구 해등로32길,서울특별시 도봉구 창동 307,37.65298653,127.0403959,2329,,,,,,,,,2026-01-01
11320-00034,무지개,어린이공원,서울특별시 도봉구 도봉로169나길,서울특별시 도봉구 도봉동 570-13,37.685648,127.045024,921,,,,,,,,,2026-01-01
11320-00035,해태,어린이공원,서울특별시 도봉구 도봉로163길 42,서울특별시 도봉구 도봉동 614-37,37.67195803,127.0411999,962,,,,,,,,,2026-01-01
11320-00036,서원,어린이공원,서울특별시 도봉구 도봉로169길,서울특별시 도봉구 도봉동 576-13,37.68386081,127.0432817,921,,,,,,,,,2026-01-01
11320-00037,새동네,어린이공원,서울특별시 도봉구 도봉로180나길,서울특별시 도봉구 도봉동 289-5,37.68889354,127.0431764,1289,,,,,,,,,2026-01-01
11320-00038,무수,어린이공원,서울특별시 도봉구 도봉로169가길 33,서울특별시 도봉구 도봉동 585,37.68154186,127.0428342,1003,,,,,,,,,2026-01-01
11320-00039,갈대밭,어린이공원,서울특별시 도봉구 마들로 760,서울특별시 도봉구 도봉동 629-6,37.67761781,127.0493276,973,,,,,,,,,2026-01-01
11320-00040,누원,어린이공원,서울특별시 도봉구 마들로 749,서울특별시 도봉구 도봉동 626,37.67739606,127.0471641,1515,,,,,,,,,2026-01-01
11320-00041,쌍문1구역,소공원,서울특별시 도봉구 우이천로 367,서울특별시 도봉구 쌍문동 732,37.64788419,127.0240704,118790,,,,,,,,,2026-01-01
11320-00042,창2마을공원,소공원,서울특별시 도봉구 덕릉로59길 63,서울특별시 도봉구 창동 582-22,37.64135474,127.0361404,310430,,,,,,,,,2026-01-01
11320-00043,창3마을공원,소공원,서울특별시 도봉구 우이천로4길 24-11,서울특별시 도봉구 창동 504-21,37.63310961,127.0411969,331400,,,,,,,,,2026-01-01
11320-00044,무수울,소공원,서울특별시 도봉구 도봉로169길 266-14,서울특별시 도봉구 도봉동 470-13,37.67823258,127.0361831,161,,,,,,,,,2026-01-01
11320-00045,무수골,소공원,서울특별시 도봉구 도봉로169길,서울특별시 도봉구 도봉동 427-89,37.67872504,127.0395213,854,,,,,,,,,2026-01-01
