관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11230-00001,청량,근린공원,,서울특별시 동대문구 청량리동 산1-1,37.59573175,127.0448296,119871,,,,홍릉수목원,,1940-03-12,서울특별시 동대문구청,02-2127-4772,2025-06-09
11230-00002,우산각,어린이공원,,서울특별시 동대문구 신설동 109-4,37.57385655,127.0241852,5294.2,,,,도서관,,1963-04-26,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00003,느티나무,어린이공원,,서울특별시 동대문구 용두동 138-61,37.57898555,127.032565,1719,,,,,,1976-03-11,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00004,안골,어린이공원,,서울특별시 동대문구 장안동 402,37.56526436,127.0643819,1652.3,,,,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00005,마로니에,어린이공원,,서울특별시 동대문구 장안동 325,37.5749393,127.0737198,1656.2,,,,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00006,늘푸른,어린이공원,,서울특별시 동대문구 장안동 303,37.57618959,127.0715754,1653.1,,,,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00007,늘봄,어린이공원,,서울특별시 동대문구 장안동 343,37.5713224,127.0725893,1659.2,,,,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00008,한내,어린이공원,,서울특별시 동대문구 장안동 348,37.56789456,127.0711623,1617.2,,,,,,1976-06-25,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00009,이삭,어린이공원,,서울특별시 동대문구 전농동 675,37.57874969,127.0495026,354.2,,,,,,1978-05-12,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00010,쉼터,어린이공원,,서울특별시 동대문구 답십리동 952-5,37.56484697,127.0593171,1695,,,,,,1978-06-12,서울특별시 동대문구청,02-2127-4776,2025-06-09
11230-00011,장안,근린공원,,서울특별시 동대문구 장안동 300,37.57716529,127.0709026,14744.8,,,,독서실,,1988-10-06,서울특별시 동대문구청,02-2127-4775,2025-06-09
