관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11440-00017,현석어린이공원,어린이공원,,서울특별시 마포구 현석동 1-5,37.54434200,126.93332500,1622,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00018,창전어린이공원,어린이공원,,서울특별시 마포구 창전동 35-28,37.55016100,126.92916200,1185,,,,,,1940-08-20,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00019,와우어린이공원,어린이공원,,서울특별시 마포구 상수동 72-7,37.54882900,126.92535600,2924,,,,,,1961-07-14,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00020,서교어린이공원,어린이공원,,서울특별시 마포구 서교동 391-1,37.55201900,126.91547500,1761,,,,,,1960-07-13,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00021,잔다리어린이공원,어린이공원,,서울특별시 마포구 서교동 479-1,37.55452400,126.91253230,774,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00022,윗잔다리어린이공원,어린이공원,,서울특별시 마포구 동교동 168-1,37.55701300,126.92566800,3251,,,,,,1995-05-20,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00023,동교어린이공원,어린이공원,,서울특별시 마포구 동교동 197-17,37.56009300,126.92345100,978,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00024,합정어린이공원,어린이공원,,서울특별시 마포구 서교동 489,37.55167300,126.91313800,3005,,,,,,2008-12-04,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00025,양화어린이공원,어린이공원,,서울특별시 마포구 합정동 394-1,37.55035357,126.90844900,1388,,,,,,1960-07-13,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00026,한마음어린이공원,어린이공원,,서울특별시 마포구 망원동 381-1,37.55468900,126.90801200,770,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00027,옹달샘어린이공원,어린이공원,,서울특별시 마포구 망원동 408-3,37.55500500,126.90221300,1134,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00028,두리어린이공원,어린이공원,,서울특별시 마포구 망원2동 436-1,37.56024900,126.90128700,1007,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00029,망원새싹어린이공원,어린이공원,,서울특별시 마포구 망원2동 509-1,37.55907200,126.89853100,559,,,,,,2004-08-25,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00030,느티나무어린이공원,어린이공원,,서울특별시 마포구 연남동 563-5,37.55950900,126.91871700,993,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00031,은행나무어린이공원,어린이공원,,서울특별시 마포구 연남동 250-1,37.56463400,126.92241200,994,,,,,,1967-01-21,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00032,다솜어린이공원,어린이공원,,서울특별시 마포구 성산동 113-2,37.56227300,126.91549700,975,,,,,,1965-11-08,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00033,뒤뜰어린이공원,어린이공원,,서울특별시 마포구 성산동 588-8,37.56317100,126.90933700,530,,,,,,1984-12-14,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00034,외주목어린이공원,어린이공원,,서울특별시 마포구 성산동 587-18 일대,37.56275300,126.90796200,263,,,,,,1980-12-23,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00035,성메어린이공원,어린이공원,,서울특별시 마포구 성산동 667-1,37.56809900,126.91483500,640,,,,,,2004-11-10,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00036,성황당어린이공원,어린이공원,,서울특별시 마포구 성산동 147-5,37.56903600,126.90732800,1367,,,,,,1971-05-05,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00037,큰길어린이공원,어린이공원,,서울특별시 마포구 성산동 200-50,37.56779200,126.90824190,942,,,,,,1970-03-26,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00038,쌍둥이어린이공원,어린이공원,,서울특별시 마포구 성산동 200-335,37.56574200,126.90675300,905,,,,,,1980-02-02,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00039,성사천어린이공원,어린이공원,,서울특별시 마포구 성산동 199-11,37.56537300,126.90486800,166,,,,,,1986-04-30,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00040,중동소어린이공원,어린이공원,,서울특별시 마포구 중동 36-27,37.57067636,126.90672600,779,,,,,,1985-04-12,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00041,중동어린이공원,어린이공원,,서울특별시 마포구 중동 228,37.56846100,126.91043800,377,,,,,,1985-04-12,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00042,샘터어린이공원,어린이공원,,서울특별시 마포구 중동 36-34,37.56989400,126.90674900,123,,,,,,1986-04-30,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00043,개나리어린이공원,어린이공원,,서울특별시 마포구 중동 40-5 일대,37.56991800,126.90918200,1481,,,,,,1986-04-30,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00044,새누리어린이공원,어린이공원,,서울특별시 마포구 상암동 1619,37.57550300,126.89822600,2897,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00045,휴암어린이공원,어린이공원,,서울특별시 마포구 상암동 14-5,37.57713600,126.89566200,921,,,,,,2004-10-09,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00046,부엉바위어린이공원,어린이공원,,서울특별시 마포구 상암동 1636,37.57539500,126.89247200,1511,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00047,물치어린이공원,어린이공원,,서울특별시 마포구 상암동 1656,37.57769400,126.88792100,1522,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00048,귀리어린이공원,어린이공원,,서울특별시 마포구 상암동 1681,37.58147300,126.88071400,1504,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00001,상암공원,근린공원,,서울특별시 마포구 상암동 산26-39,37.57869600,126.88326500,161153,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00002,매봉산공원,근린공원,,서울특별시 마포구 상암동 1631,37.57380700,126.89557990,13137,,,,,,2006-11-16,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00003,구룡공원,근린공원,,서울특별시 마포구 상암동 1583,37.58279100,126.88371300,14287,,,,,,2000-09-27,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00004,와우공원,근린공원,,서울특별시 마포구 창전동 3-231 등 59필지,37.55234400,126.92898400,73590,,,,,,1940-03-12,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00005,부엉이공원,근린공원,,서울특별시 마포구 상암동 1735,37.58464695,126.88328290,17640,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00006,성산공원,근린공원,,서울특별시 마포구 성산동 산11-1 등 38필지,37.56221200,126.90989500,103962,,,,,,1966-02-05,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00007,쌍룡산공원,근린공원,,서울특별시 마포구 아현동 768,37.55292800,126.95038800,5791,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00008,샛터공원,근린공원,,서울특별시 마포구 성산동 200-326 등 19필지,37.56619600,126.90618800,31100,,,,,,1977-07-09,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00009,노고산공원,근린공원,,서울특별시 마포구 대흥동 산1-30등17필지,37.55150300,126.94306300,528936,,,,,,1940-03-12,서울특별시 마포구청,02-3153-9557,2025-12-03
11440-00010,큰더기어린이공원,어린이공원,,서울특별시 마포구 공덕동 470-1,37.55016900,126.95319900,1949,,,,,,2006-12-28,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00011,공덕역어린이공원,어린이공원,,"서울특별시 마포구 공덕동 467-1,2,3",37.54510700,126.95130100,2435,,,,,,1985-12-24,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00012,마포어린이공원,어린이공원,,서울특별시 마포구 마포동 350-5,37.53580300,126.94366700,2030,,,,,,1984-12-04,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00013,복사꽃어린이공원,어린이공원,,서울특별시 마포구 도화동 533,37.53893500,126.94635200,1553,,,,,,1980-05-19,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00014,도화소어린이공원,어린이공원,,서울특별시 마포구 도화동 540,37.54105300,126.94535500,1646,,,,,,1985-12-24,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00015,삼개어린이공원,어린이공원,,서울특별시 마포구 도화동 555-1,37.54035700,126.94507600,3029,,,,,,1984-12-04,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00016,대흥어린이공원,어린이공원,,서울특별시 마포구 대흥동 660-1,37.54374900,126.94368700,1486,,,,,,1999-11-20,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00049,목련어린이공원,어린이공원,,서울특별시 마포구 상암동 1742,37.58737473,126.88022500,1501,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00050,산수유어린이공원,어린이공원,,서울특별시 마포구 상암동 1744,37.58548500,126.87900800,2011,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00051,산딸나무어린이공원,어린이공원,,서울특별시 마포구 상암동 1753,37.58354700,126.87792700,1499,,,,,,2006-09-07,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00052,애오개도담어린이공원,어린이공원,,서울특별시 마포구 아현동 800-6,37.55343300,126.95852900,3212,,,,,,2006-07-13,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00053,쌍룡산어린이공원,어린이공원,,서울특별시 마포구 아현동 769,37.55217300,126.95051200,5911,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00054,토정어린이공원,어린이공원,,서울특별시 마포구 용강동 63-2,37.54055800,126.94341100,2631,,,,,,2008-06-26,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00055,애오개어린이공원,어린이공원,,서울특별시 마포구 아현동 802번지 일대,37.55535300,126.95867200,1424,,,,,,2010-04-22,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00056,망원어린이공원,어린이공원,,서울특별시 마포구 망원동 458-64,37.55213200,126.90430300,2862,,,,,,2011-02-10,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00057,광흥창어린이공원,어린이공원,,서울특별시 마포구 창전동 26-1,37.54951200,126.93084600,1353,,,,,,2009-12-10,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00058,신수어린이공원,어린이공원,,서울특별시 마포구 신수동 95-5일원,37.55036600,126.93387800,3792.2,,,,,,2009-10-29,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00059,염리어린이공원,어린이공원,,서울특별시 마포구 염리동 533-10,37.54978200,126.94641970,1933,,,,,,2008-01-10,서울특별시 마포구청,02-3153-9554,2025-12-03
11440-00060,공덕소공원,소공원,,서울특별시 마포구 공덕동 475-1일대,37.54850600,126.95463700,1310,,,,,,1981-11-13,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00061,만리재소공원,소공원,,서울특별시 마포구 신공덕동 176,37.54443800,126.95522600,883,,,,,,2007-04-12,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00062,단풍소공원,소공원,,서울특별시 마포구 공덕동 470-3,37.54872900,126.95334400,274,,,,,,2006-12-28,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00063,아현새싹소공원,소공원,,서울특별시 마포구 아현동 786,37.55184700,126.95440900,613,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00064,아현초록소공원,소공원,,서울특별시 마포구 아현동 776,37.55438900,126.95320800,1035,,,,,,2005-12-29,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00065,용강나루소공원,소공원,,서울특별시 마포구 용강동 506,37.54186300,126.94227100,1088,,,,,,2008-06-26,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00066,용강소공원,소공원,,서울특별시 마포구 용강동 507,37.54302600,126.94030800,951,,,,,,2008-06-26,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00067,대흥소공원,소공원,,서울특별시 마포구 대흥동 804-4,37.54856700,126.94109100,1820,,,,,,2007-06-14,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00068,복자기소공원,소공원,,서울특별시 마포구 신수동 460,37.54588500,126.93660100,707,,,,,,2009-10-15,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00069,상수나루소공원,소공원,,서울특별시 마포구 상수동 402-2,37.54610993,126.92633600,1359,,,,,,2007-07-19,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00070,상수소공원,소공원,,서울특별시 마포구 상수동 399,37.54592600,126.92716300,1413,,,,,,2007-07-19,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00071,산사나무소공원,소공원,,서울특별시 마포구 상암동 1618-1,37.57526800,126.89626500,714,,,,,,1990-10-19,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00072,현석소공원,소공원,,서울특별시 마포구 현석동 225-2일대,37.54298300,126.93449200,6038,,,,,,2009-12-03,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00073,노고산소공원,소공원,,서울특별시 마포구 노고산동 57-53,37.55506300,126.93501300,1510,,,,,,2011-09-29,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00074,무쇠막소공원,소공원,,서울특별시 마포구 노고산동 123-1일원,37.55261200,126.93417400,449.1,,,,,,2010-05-06,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00075,독막소공원,소공원,,서울특별시 마포구 대흥동 18-101일대,37.55449100,126.94377900,2626,,,,,,2007-12-27,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00076,아소정소공원,소공원,,서울특별시 마포구 공덕동 479-1,37.54546800,126.94816930,1454.8,,,,,,2011-09-08,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00077,큰우물소공원,소공원,,서울특별시 마포구 공덕동 479-4,37.54553600,126.94963930,547.4,,,,,,2011-09-08,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00078,소금동네소공원,소공원,,서울특별시 마포구 염리동 532-8,37.55409700,126.94628130,1217.9,,,,,,2012-06-07,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00079,쌍룡산소공원,소공원,,서울특별시 마포구 염리동 533-1,37.55174941,126.95013410,885.9,,,,,,2008-01-10,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00080,밤섬문화공원,문화공원,,서울특별시 마포구 신정동 76-1,37.54278400,126.93186900,1638,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00081,서강나루문화공원,문화공원,,서울특별시 마포구 창전동 165-5,37.54527293,126.93107700,2429,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9555,2025-12-03
11440-00082,당인동문화공원,문화공원,,서울특별시 마포구 당인동 27-9,37.54541100,126.92015400,301,,,,,,2009-06-04,서울특별시 마포구청,02-3153-9555,2025-12-03
