관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11410-00002,궁동,근린공원,,서울특별시 서대문구 연희동 산118-1,37.56861286,126.9196524,126026,체육관(실내 배드민턴장) 1개동+배드민턴장 2개소+체력단련시설 23기,조합놀이대 1기+기타 4기,화장실 1개소,,,1940-03-12,서울특별시 서대문구청,02-330-1965,2025-08-22
11410-00026,독립,근린공원,,서울특별시 서대문구 현저동 101,37.57460851,126.9556118,113021.7,농구장 1개소+배드민턴장 1개소+체력단련시설 30기,미끄럼틀 1기+기타 3기,주차장 1개소(65대)+매점 2개소+화장실 3개소+음수대 4기,독립관 1동+3.1운동기념탑 1기+순국선열추념탑 1기+독립문 1기+서재필동상 1기+독립문이전비 1기+정보도서관 1동,,1989-05-10,서울특별시 서대문구청,02-330-8646,2025-08-22
11410-00008,백련,근린공원,,서울특별시 서대문구 홍은동 산11-313,37.59062231,126.9333664,993724,운동장 1개소+배드민턴장 3개소+골프연습장 1개소+체력단련시설 81기,조합놀이대 2기,주차장 2개소(80대)+화장실 1개소+발효식화장실 4기,문화회관 1개소,,1966-02-05,서울특별시 서대문구청,02-330-1965,2025-08-22
11410-00051,복주산,근린공원,,서울특별시 서대문구 북아현동176-25,37.574878,126.913075,11430,체력단련시설 6기,,,,,2008-02-05,서울특별시 서대문구청,02-330-1965,2025-08-22
11410-00037,중앙,근린공원,,서울특별시 서대문구 북가좌동 480,37.57514307,126.9133826,15466,다목적운동장 1개소+배드민턴장 1개소+체력단련시설 8기,,화장실 1개소+음수대 1개소,,,2007-03-22,서울특별시 서대문구청,02-330-1965,2025-08-22
11410-00029,창천,근린공원,,서울특별시 서대문구 창천동 4-55,37.5578737345,126.9402803289,6322,배드민턴장 1개소+체력단련시설 5기,,발효식화장실 2기,,,1997-01-15,서울특별시 서대문구청,02-330-1965,2025-08-22
11410-00030,홍제,근린공원,,서울특별시 서대문구 홍제동 454-2,37.5948548479,126.9530472071,9888,배드민턴장 1개소+체력단련시설 11기,조합놀이대 1기+시소 1기+기타 3기,,,,1998-12-01,서울특별시 서대문구청,02-330-1965,2025-08-22
11410-00004,대현,문화공원,,서울특별시 서대문구 대현동 146,37.5577976902,126.9454775012,3063.9,,,시계탑 1기,야외음악당 1개소,,1940-03-12,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00032,독립문,문화공원,,서울특별시 서대문구 영천동 265,37.556869,126.935113,2635,체력단련시설 4기,바닥분수,화장실 1개소,,,,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00001,창천,문화공원,,서울특별시 서대문구 창천동 57-18,37.55685968,126.935118,2326.9,,,화장실 1개소,,,1938-11-08,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00056,구청3별관,소공원,,서울특별시 서대문구 연희동 169-32,37.5794409703,126.9359586806,357,,,,,,,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00031,기차길옆,소공원,,서울특별시 서대문구 합동 118-1,37.5622254317,126.9653523286,381.3,,,,,,2000-06-04,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00053,남가좌동소공원,소공원,,서울특별시 서대문구 남가좌동 388-7,37.5807093619,126.9196878887,402,,,파고라 1조,,,,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00044,무궁화,소공원,,서울특별시 서대문구 홍제동 451-1,37.594565,126.948810,672,체력단련시설 4기,,,,,2008-07-31,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00042,문화,소공원,,서울특별시 서대문구 홍제동 280-2,37.59467058,126.948759,1456,배드민턴장 1개소,,,,,2010-05-13,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00036,아름다운,소공원,,서울특별시 서대문구 홍제동 469-1,37.5848519282,126.9471887554,441.5,,,,,,2006-05-04,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00052,아현역,소공원,,서울특별시 서대문구 북아현동136-3,37.580760,126.919715,563,,,,,,2008-02-05,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00057,연가,소공원,,서울특별시 서대문구 남가좌동 388-7,37.5807093619,126.9196878887,402,플랜터 등,,등의자+ 파고라,,,,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00045,하늘,소공원,,서울특별시 서대문구 홍은동 445-3,37.571701,126.915420,1375,체력단련시설 4기,,,,,2007-06-07,서울특별시 서대문구청,02-330-1749,2025-08-22
11410-00043,한울,소공원,,서울특별시 서대문구 남가좌동 382-5,37.5708440375,126.9165656268,1006,,,,,,2007-04-12,서울특별시 서대문구청,02-330-1749,2025-08-22
