관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11650-00001,반  포,근린공원,,서울특별시 서초구 반포동 114-3,37.49885315,126.9905157,26092,,,,,,1977-07-09,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00002,방아다리1,근린공원,,서울특별시 서초구 양재동 62,37.47833589,127.0355876,2871,,,,,,1988-06-15,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00003,방아다리2,근린공원,,서울특별시 서초구 양재동 72,37.47804736,127.0352143,2934,,,,,,1988-06-15,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00004,양재천,근린공원,,서울특별시 서초구 양재동 261-22,37.47661941,127.0422083,19258,,,,,,1988-12-20,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00005,마  방,근린공원,,서울특별시 서초구 양재동 237,37.47230907,127.0382419,6547,,,,,,1983-09-07,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00006,양  재,근린공원,,서울특별시 서초구 양재동 311,37.47189342,127.0424301,32523,,,,,,1983-09-07,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00007,용허리,근린공원,,서울특별시 서초구 서초동 1324-1,37.49428074,127.0230154,4642,,,,,,1971-08-06,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00008,명  달,근린공원,,서울특별시 서초구 서초동 1313-17,37.49905292,127.0211215,5466,,,,,,1971-08-06,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00009,사평리,근린공원,,서울특별시 서초구 잠원동 51-3,37.51987691,127.0147323,1914,,,,,,1989-11-23,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00010,잠  원,근린공원,,서울특별시 서초구 잠원동 62-5,37.51292423,127.010142,2374,,,,,,1989-11-23,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00011,신  동,근린공원,,서울특별시 서초구 잠원동 58-14,37.51436201,127.0145571,6648,,,,,,1979-02-08,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00012,고인돌,근린공원,,서울특별시 서초구 양재동 390,37.4712537,127.0467744,4579,,,,,,1989-01-01,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00013,바우뫼,근린공원,,서울특별시 서초구 양재동 105,37.47456671,127.0344603,16386,,,,,,1983-09-07,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00014,서래골,근린공원,,서울특별시 서초구 반포동 63-2,37.50162963,127.0030008,4691,,,,,,1995-05-29,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00015,명  주,근린공원,,서울특별시 서초구 잠원동 50-4,37.51717497,127.0151419,4953,,,,,,1979-02-08,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00016,신반포,근린공원,,서울특별시 서초구 반포동 18-5,37.50164463,126.998977,13607,,,,,,1905-01-03,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00017,원  촌,근린공원,,서울특별시 서초구 반포동 20-46,37.50591734,127.0102449,9942,,,,,,1904-11-09,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00018,태  봉,근린공원,,서울특별시 서초구 우면동 694,37.46382044,127.0227555,26556,,,,,,1905-09-13,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00019,섬  들,근린공원,,서울특별시 서초구 우면동 729,37.46274966,127.0264455,15590,,,,,,1905-09-13,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00020,망  루,근린공원,,서울특별시 서초구 우면동 703,37.46410507,127.0203438,56497,,,,,,1905-09-13,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00021,송  동,근린공원,,서울특별시 서초구 우면동 777,37.45879452,127.0203373,27473,,,,,,1909-09-28,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00022,세  빛,근린공원,,서울특별시 서초구 반포동 2-15,37.50490907,126.9921285,3452,,,,,,2014-02-20,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00023,서리풀,근린공원,,서울특별시 서초구 방배동 산23-1,37.48465445,127.0004196,465938,,,,,,1971-08-07,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00024,도구머리,근린공원,,서울특별시 서초구 방배동 산75-1,37.47955763,126.9881614,69578,,,,,,1978-02-16,서울특별시 서초구청,02-2155-6864,2025-08-07
11650-00025,뒷  벌,어린이공원,,서울특별시 서초구 방배동 821-1,37.49090764,126.9869296,5795,,,,,,1972-02-18,서울특별시 서초구청,02-2155-6864,2025-08-07
