관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11200-00001,응봉,근린공원,서울특별시 성동구 독서당로63길 85(금호동1가),,37.55374193,127.0273495,417284.88,"농구장 1개소, 배드민턴장 13, 게이트볼장 1개소. 체력단련시설 25개소 189기 등","조합놀이대 3기, 모래밭 1기, 그네 2기, 시소 1기",화장실 5개소,독서실 1개소,,1977-07-14,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00002,달맞이,근린공원,서울특별시 성동구 독서당로40길 25,서울특별시 성동구 금호동4가 산 27,37.5433496,127.0193024,63411.43,"배드민턴장 2개소, 체력단련시설 6개소 36개","조합놀이대 1기, 시소 2개",화장실 1개소,,,1940-03-12,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00003,무학봉,근린공원,서울특별시 성동구 난계로 114-31,서울특별시 성동구 하왕십리동 890-243,37.56123125,127.0259523,28843,"배드민턴장 1개소, 농구장 1개소, 체력단련시설 3개소 29개",,화장실 1개소,,,1977-07-14,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00004,금호,근린공원,서울특별시 성동구 금호산길 5-15(금호동3가),서울특별시 성동구 금호동3가 1266,37.54904117,127.0190199,13467.8,"다목적체육관 1동, 체력단련시설 1개소 4개",,,문화회관 1개소,,1963-04-26,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00005,용답휴식,근린공원,서울특별시 성동구 천호대로 232,서울특별시 성동구 용답동 128-3,37.56999106,127.0468202,6046.9,"배드민턴장 1개소, 농구정 1개소, 체력단련시설 1개소 7개",,화장실 1개소,,,1963-04-26,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00006,성수,근린공원,서울특별시 성동구 연무장3길 14,서울특별시 성동구 성수동2가 302-25,37.54477086,127.0518411,5197.7,"농구장 1개소, 체력단련시설 1개소 5개",,화장실 1개소,,,1997-03-21,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00007,성원,어린이공원,서울특별시 성동구 상원10길 21,서울특별시 성동구 성수동1가 13-21,37.55011556,127.0499031,982.5,체력단련시설 1개소 4개,"조합놀이대 1개소, 모래밭 1개소",,,,1961-04-16,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00008,동마장,어린이공원,서울특별시 성동구 마장로42길 13 동마장어린이공원,서울특별시 성동구 마장동 780-1,37.56622804,127.0456969,1090.9,체력단련시설 1개소 3개,"조합놀이대 1개소, 모래밭 1개소",화장실 1개소,,,1977-02-04,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00009,응봉새말,어린이공원,서울특별시 성동구 고산자로2길 6-12,서울특별시 성동구 응봉동 228-23,37.55186593,127.035857,311,,"조합놀이대 1개소, 모래밭 1개소",,,,1979-05-11,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00010,사근,어린이공원,,서울특별시 성동구 사근동 291-10,37.563417,127.0475948,496,체력단련시설 1개소 3개,"조합놀이대 1개소, 그네 1개",,,,1979-08-20,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00011,마장,어린이공원,서울특별시 성동구 마조로 51-2,서울특별시 성동구 마장동 399-102,37.56233458,127.0415003,911,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개, 시소 1개",,,,1977-04-28,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00012,성삼,어린이공원,서울특별시 성동구 성수이로18길 31,서울특별시 성동구 성수동2가 273-11,37.54195313,127.0606155,1812.2,"배드민터장 1개소, 체력단련시설 1개소 6개",,화장실 1개소,,,1961-04-16,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00013,은행나무터,어린이공원,서울특별시 성동구 연무장길 37-29,서울특별시 성동구 성수동2가 316-9,37.54369439,127.0537509,675.4,,"조합놀이대 1개소, 그네 1개",,,,1961-04-16,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00014,아남,어린이공원,서울특별시 성동구 아차산로15길 52,서울특별시 성동구 성수동2가 280-12,37.54732598,127.0646691,984.1,"족구장 1개소, 농구장 1개소, 체력단련시설 1개소 5개",,,,,1985-02-14,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00015,열림,어린이공원,서울특별시 성동구 성수이로12길 14,서울특별시 성동구 성수2가1동 327-3,37.53962218,127.056782,198,,조합놀이대 1개소,,,,1991-10-05,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00016,응봉개나리,어린이공원,서울특별시 성동구 독서당로62가길 62,서울특별시 성동구 응봉동 270,37.54866971,127.0318722,462,,"조합놀이대 1개소, 그네 1개소,",,,,1947-01-09,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00017,서마장,어린이공원,서울특별시 성동구 청계천로10가길 102,서울특별시 성동구 마장동 450-67,37.57152303,127.0374347,350.3,,조합놀이대 1개소,,,,1975-11-15,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00018,송정,어린이공원,서울특별시 성동구 동일로 263-49,서울특별시 성동구 송정동 90-4,37.55519167,127.0703837,236.4,,"조합놀이대 1개소, 그네 1개",,,,2001-11-23,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00019,미소,어린이공원,서울특별시 성동구 난계로 95,서울특별시 성동구 하왕십리동 1055,37.56051006,127.0235037,3411,체력단련시설 1개소 6개,"놀이대 2개소, 모래밭 1개소",,,,1974-03-29,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00020,응삼,어린이공원,서울특별시 성동구 고산자로 160,서울특별시 성동구 응봉동 15-1,37.55433983,127.0348842,1646.7,체력단련시설 1개소 2개,"조합놀이대 1개소, 그네 1개소, 미끄럼틀 1개소",,,,1975-04-25,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00021,상원,어린이공원,서울특별시 성동구 상원길 39,서울특별시 성동구 성수동1가 715-1,37.54753298,127.0483982,2636,체력단련시설 1개소 6개,"조합놀이대 1개소, 그네 1개소",,,,2001-04-12,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00022,보람,어린이공원,서울특별시 성동구 마장로 255,서울특별시 성동구 마장동 827,37.56613727,127.0381819,823.3,,"조합놀이대 1개소, 시소 1개소",,,,2000-03-18,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00023,무지개,어린이공원,서울특별시 성동구 성수이로7길 27,서울특별시 성동구 성수동2가 844,37.54157394,127.0534386,2143,,조합놀이대 2개소,,,,2005-05-12,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00032,도장골,소공원,서울특별시 성동구 행당로 82,서울특별시 성동구 행당동 346-2,37.55480888,127.0273997,678.3,,,,,,2009-05-28,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00024,도선,어린이공원,서울특별시 성동구 무학로8길 8 도선동공영주차장,서울특별시 성동구 홍익동 370,37.56550468,127.031418,2332.5,체력단련시설 1개소 7개,조합놀이대 1개소,,,,2005-03-11,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00025,살구골,어린이공원,서울특별시 성동구 고산자로 177,서울특별시 성동구 행당동 376-3,37.55573009,127.0335764,1573.9,체력단련시설 1개소 3개,,,,,2004-11-10,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00026,금동,어린이공원,서울특별시 성동구 무수막길 16,서울특별시 성동구 금호동2가 1218,37.54942229,127.0256915,2591,체력단련시설 1개소 6개,"조합놀이대 1개소, 모래밭 1개소, 미끄럼틀 1개, 시소 1개",,,,2006-07-20,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00029,논골새싹,어린이공원,서울특별시 성동구 난계로 56,서울특별시 성동구 행당동 347-2,37.55751131,127.0250458,2837.1,"체력단련시설 1개소 7개, 농구장 1개소","조합놀이대 1개소, 그네 1개소",화장실 1개소,,,2010-02-20,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00030,꽃재,어린이공원,서울특별시 성동구 마장로 161,서울특별시 성동구 하왕십리동 1069,37.56781934,127.0278897,2810,"운동장 1개소, 체력단련시설 1개소 4개","조합놀이대 1개, 오르기놀이대 1개",,,,2007-08-13,서울특별시 성동구청,02-2286-5655,2025-06-19
11200-00031,전관원,어린이공원,서울특별시 성동구 살곶이길 327,서울특별시 성동구 행당동 90-2,37.55467447,127.0404902,4760,체력단련시설 1개소 4개,"시소 1개, 기타 4개",,,,2008-07-31,서울특별시 성동구청,02-2286-5655,2025-06-19
11200-00033,동부,소공원,서울특별시 성동구 왕십리로6길 30,서울특별시 성동구 성수동1가 656-1735,37.54524583,127.0474356,251,체력단련시설 1개소 5개,,,,,2009-05-28,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00034,청송,소공원,서울특별시 성동구 아차산로9길 20,서울특별시 성동구 성수동2가 277-23,37.54599593,127.0587894,798.7,체력단련시설 1개소 6개,,,,,2009-05-28,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00035,향림,소공원,서울특별시 성동구 성수일로10길 23,서울특별시 성동구 성수동2가 289-28,37.54703666,127.0533154,987.8,체력단련시설 1개소 5개,,,,,2009-05-28,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00036,장미,소공원,서울특별시 성동구 동일로 227,서울특별시 성동구 송정동 107,37.5522684,127.0694222,485.4,체력단련시설 1개소 5개,,,,,2006-05-18,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00037,금옥,소공원,서울특별시 성동구 금호로 117,서울특별시 성동구 금호동2가 1213,37.55306047,127.0214356,1230,체력단련시설 1개소 5개,,,,,2006-07-20,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00038,금남,소공원,서울특별시 성동구 금호산8길 13,서울특별시 성동구 금호동3가 701,37.55054813,127.0213924,834,체력단련시설 1개소 4개,,,,,2006-11-30,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00039,옥정,소공원,서울특별시 성동구 매봉길 21 서울성동지역자활센터,서울특별시 성동구 옥수동 562-1,37.5458337,127.0153489,711.76,체력단련시설 1개소 4개,,,,,2006-06-29,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00040,매봉,소공원,서울특별시 성동구 매봉길 50,서울특별시 성동구 옥수동 561-1,37.54729549,127.0121475,2006.7,체력단련시설 1개소 4개,,,,,2006-06-29,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00041,왕십리 KCC스위첸,소공원,서울특별시 성동구 무학봉길 35,서울특별시 성동구 하왕십리동 1002-1,37.56067856,127.0268748,1514.1,체력단련시설 2개소 5개,,,,,2010-07-15,서울특별시 성동구청,02-2286-5655,2025-06-19
11200-00042,뉴타운2구역,기타,서울특별시 성동구 마장로 137,서울특별시 성동구 상왕십리동 811-3,37.56782502,127.0250536,2517,,,,,,2005-08-04,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00043,뉴타운1구역,기타,서울특별시 성동구 마장로 137,서울특별시 성동구 하왕십리동 1066-1,37.56782502,127.0250536,2452.4,,,,,,2006-03-16,서울특별시 성동구청,02-2886-5656,2025-06-19
11200-00028,청계꿈나무,어린이공원,서울특별시 성동구 마장로 161,서울특별시 성동구 하왕십리동 1068,37.56781934,127.0278905,1705,,"조합놀이대 1개소, 그네 1개",,,,2007-10-02,서울특별시 성동구청,02-2886-5655,2025-06-19
11200-00027,푸른,어린이공원,서울특별시 성동구 금호로1길 38,서울특별시 성동구 금호동4가 235-3,37.54733277,127.0235968,1681.8,체력단련시설 1개소 4개,"조합놀이대 1개소, 그네 1개소",,,,2004-07-15,서울특별시 성동구청,02-2886-5655,2025-06-19
