관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11290-00017,샛별,어린이공원,,서울특별시 성북구 석관동 168-86,37.614016,127.0642987,1638,체력단련시설(7),그네(1)+조합놀이대(1),장의자(5),,,1983-12-23,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00018,돌뫼,어린이공원,,서울특별시 성북구 석관동 산1-77,37.60510034,127.0528072,350,체력단련시설(7),조합놀이대(1),정자(1)+장의자(6),,,1983-12-23,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00019,새소리,어린이공원,,서울특별시 성북구 돈암동 626-2,37.600751,127.0254039,1371,체력단련시설(1),그네(1)+모래밭(1)+조합놀이대(1),장의자(3),,,1976-12-30,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00020,종암,어린이공원,,서울특별시 성북구 종암동 104-6,37.60012565,127.0372515,1514,,그네(1)+조합놀이대(1),정자(1)+장의자(7),,,1991-02-11,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00021,솔향기,어린이공원,,서울특별시 성북구 길음동 1190,37.608108,127.0213064,4031,체력단련시설(4),그네(1)+모래밭(1)+조합놀이대(1),정자(1)+장의자(8),,,2003-12-05,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00022,해맑은,어린이공원,,서울특별시 성북구 길음동 591-17,37.6085186,127.020925,2089,체력단련시설(5),,장의자(2),,,2003-12-05,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00023,한울,어린이공원,,서울특별시 성북구 정릉동 169-6,37.605709,127.013709,2675,체력단련시설(8),그네(1)+모래밭(1)+조합놀이대(1),정자(1)+장의자(4),,,2003-12-05,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00024,솔숲,어린이공원,,서울특별시 성북구 정릉동 170-10,37.60480863,127.014971,2922,체력단련시설(5),그네(1)+모래밭(1)+조합놀이대(1),정자(1)+장의자(4),,,2005-07-29,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00025,동망봉,어린이공원,서울특별시 성북구 보문사길 30,서울특별시 성북구 보문동3가 229-1,37.5838591,127.017073,6730,체력단련시설(5),조합놀이대(1),정자(2)+장의자(4),,,2007-10-04,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00026,맑은숲,어린이공원,,서울특별시 성북구 장위동 317-1,37.62144056,127.0463288,1601,,그네(1)+조합놀이대(1),장의자(4),,,2005-07-29,서울특별시 성북구청,02-2241-3682,2025-12-14
11290-00027,화랑,어린이공원,,서울특별시 성북구 석관동 407-6,37.60715757,127.0547542,2213,체력단련시설(4),그네(1)+모래밭(1)+오르기기구(1),장의자(12),,,2004-11-17,서울특별시 성북구청,02-2241-3682,2025-12-14
