관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11710-00001,가락,근린공원,서울특별시 송파구 양재대로64길 42,서울특별시 송파구 가락동 37,37.498469,127.125124,27648.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00002,개나리,근린공원,,서울특별시 송파구 잠실동 44-6,37.507553,127.0941112,6669.1,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00003,개롱,근린공원,서울특별시 송파구 동남로 178,서울특별시 송파구 가락동 195,37.493407,127.130026,21544.4,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00004,거여,근린공원,서울특별시 송파구 오금로51길 20,서울특별시 송파구 거여동 11,37.497007,127.140981,16185.1,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00005,건너말,근린공원,서울특별시 송파구 중대로10길 29,서울특별시 송파구 가락동 110,37.491603,127.123473,11327.8,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00006,글샘,근린공원,,"서울특별시 송파구 문정동 621,625",37.48044523,127.1205075,27289.9,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00007,글샘작은,근린공원,,서울특별시 송파구 문정동 631,37.477494,127.1212146,10209.9,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00009,누에머리,근린공원,서울특별시 송파구 동남로30길 29,서울특별시 송파구 오금동 110,37.50381027,127.141799,18607.5,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00010,동산,근린공원,,서울특별시 송파구 송파동 120,37.506226,127.1145005,5660.8,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00012,마천,근린공원,서울특별시 송파구 성내천로23길 12,서울특별시 송파구 마천동 11,37.50128584,127.1456483,10962.5,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00013,매미,근린공원,,서울특별시 송파구 잠실동 35-4,37.50934354,127.0887161,8012.3,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00014,목련,근린공원,서울특별시 송파구 동남로24길 25,서울특별시 송파구 오금동 156,37.499035,127.138842,8127.4,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00015,문정,근린공원,,서울특별시 송파구 문정동 18-4 외,37.486486,127.128916,49972,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00016,방이,근린공원,서울특별시 송파구 백제고분로 489,서울특별시 송파구 방이동 52,37.51435318,127.1136443,6930.1,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00017,백토,근린공원,서울특별시 송파구 양재대로72길 478,서울특별시 송파구 오금동 6,37.50811694,127.132113,10024.1,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00019,뽕나무,근린공원,,서울특별시 송파구 잠실동 19-3,37.51397635,127.0816397,11704.9,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00020,삼전,근린공원,서울특별시 송파구 백제고분로32길 630,서울특별시 송파구 삼전동 62-1,37.50179286,127.0933328,6607.6,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00022,소리,근린공원,서울특별시 송파구 법원로5길 3,서울특별시 송파구 문정동 357,37.4816116181,127.1199678258,36638.3,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00024,송파,근린공원,서울특별시 송파구 송파대로42길 29,서울특별시 송파구 송파동 113,37.50633354,127.110451,6621.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00025,송파나루,근린공원,"서울특별시 송파구 잠실로 180, 삼학사로 136","서울특별시 송파구 신천동 32, 잠실동 47",37.51210416,127.1077049,285757.6,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00026,숯내,근린공원,서울특별시 송파구 중대로4길 4,서울특별시 송파구 문정동 150-8,37.48970385,127.111231,10206.5,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00027,아시아,근린공원,서울특별시 송파구 올림픽로 44,서울특별시 송파구 잠실동 84,37.51068203,127.0759347,66027.8,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00028,연화,근린공원,서울특별시 송파구 새말로15길 175,서울특별시 송파구 문정동 92,37.4851599890,127.1297173897,14318.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00029,오금,근린공원,서울특별시 송파구 동남로 263,서울특별시 송파구 오금동 51,37.499994,127.134853,219167.4,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00030,온조마루,근린공원,,서울특별시 송파구 신천동 20-1,37.5199244,127.1100846,6734.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00031,웃말,근린공원,서울특별시 송파구 송이로15길 41,서울특별시 송파구 가락동 21,37.50167671,127.123153,11098.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00032,잠실,근린공원,서울특별시 송파구 백제고분로15길 7,서울특별시 송파구 잠실동 230,37.50621827,127.084165,6613.3,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00033,장수,근린공원,서울특별시 송파구 충민로 120,서울특별시 송파구 장지동 846,37.480889,127.1304766,9949,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00034,장지,근린공원,,서울특별시 송파구 장지동 산 11 외,37.484721,127.134551,133122.1,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00035,천마,근린공원,서울특별시 송파구 성내천로35길 53,서울특별시 송파구 마천동 산 2 외,37.500386,127.158815,182420,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00036,태양,근린공원,,서울특별시 송파구 풍납동 389-2,37.52544289,127.1152157,6611.6,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
11710-00037,풍납,근린공원,,서울특별시 송파구 풍납동 74,37.53809304,127.1217719,23746,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12
