관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11470-00001,오목,근린공원,,서울특별시 양천구 목1동 921,37.527761,126.873091,21470.4,,,,,,1983-11-01,서울특별시 양천구청 공원녹지과,02-2620-3574,2024-10-14
11470-00002,무지개,어린이공원,,서울특별시 양천구 목1동 925-1,37.528935,126.867044,2375.1,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00003,용왕산,근린공원,,서울특별시 양천구 목2동 199-51,37.541663,126.875061,213552,,,,,,1971-08-06,서울특별시 양천구청 공원녹지과,02-2620-3576,2024-10-14
11470-00004,목동,근린공원,,서울특별시 양천구 목2동 517 외 37,37.546529,126.879301,13366,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3576,2024-10-14
11470-00005,달마을,근린공원,,서울특별시 양천구 목2동 946-1,37.543331,126.868045,35214,,,,,,2003-10-30,서울특별시 양천구청 공원녹지과,02-2620-3576,2024-10-14
11470-00006,한두,어린이공원,,서울특별시 양천구 목3동 611-1,37.549391,126.865352,986.1,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00007,백석,어린이공원,,서울특별시 양천구 목3동 646-23,37.545356,126.864912,708.4,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00008,무궁화,어린이공원,,서울특별시 양천구 목3동 712-1,37.541877,126.864247,984.6,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00009,목동누리,어린이공원,,서울특별시 양천구 목3동 965-1,37.546104,126.865222,2190,,,,,,2011-07-28,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00010,나말,어린이공원,,서울특별시 양천구 목4동 724-1,37.538689,126.864464,1002.2,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00011,정목,어린이공원,,서울특별시 양천구 목4동 767-1,37.536923,126.868305,987.3,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00012,모세미,어린이공원,,서울특별시 양천구 목4동 772-1,37.535262,126.868644,988.9,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00013,마장,어린이공원,,서울특별시 양천구 목4동 791-22,37.533508,126.864686,785.4,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00014,파리,문화공원,,서울특별시 양천구 목5동 906,37.534645,126.877186,29619.3,,,,,,1983-11-01,서울특별시 양천구청 공원녹지과,02-2620-4569,2024-10-14
11470-00015,목마,근린공원,,서울특별시 양천구 목5동 910,37.538161,126.885426,12816.8,,,,,,1983-11-01,서울특별시 양천구청 공원녹지과,02-2620-3576,2024-10-14
11470-00016,햇님,어린이공원,,서울특별시 양천구 목5동 901-2,37.539933,126.879386,2299.5,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00017,별님,어린이공원,,서울특별시 양천구 목5동 902-2,37.537814,126.875231,4211.4,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00018,영도,어린이공원,,서울특별시 양천구 목5동 903-2,37.535067,126.872941,2985.4,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00019,진달래,어린이공원,,서울특별시 양천구 목5동 904-1,37.531972,126.870154,6517,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00020,달님,어린이공원,,서울특별시 양천구 목5동 911-5,37.535171,126.885482,3659.2,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00021,장미,어린이공원,,서울특별시 양천구 목5동 912-1,37.534427,126.882744,3963.8,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00022,은하수,어린이공원,,서울특별시 양천구 목5동 913-1,37.533387,126.878583,3815.8,,,,,,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00023,신대,어린이공원,,서울특별시 양천구 신월1동 100-1,37.534828,126.832752,1003.1,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00024,돌다리,어린이공원,,서울특별시 양천구 신월1동 119,37.531941,126.835812,925.1,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
11470-00025,반곡,어린이공원,,서울특별시 양천구 신월1동 230-1,37.529181,126.835481,946.7,,,,,,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-4565,2024-10-14
