관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11170-00001,효창공원,근린공원,서울특별시 용산구 임정로 26,서울특별시 용산구 효창동 255,37.544278,126.959255,171277,운동장+배드민턴장+게이트볼장 등,조합놀이대+그네 등,주차장+매점+화장실+음수대 등,동상+탑기념비,,1940-03-12,서울특별시 용산구청,02-2199-7594,2025-08-18
11170-00002,새나라어린이공원,어린이공원,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 190-1,37.548319,126.9763669,2340,다목적 인조잔디마당,조합놀이대+그네 등,화장실+음수대,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2025-08-18
11170-00003,늘푸른어린이공원,어린이공원,서울특별시 용산구 원효로41가길 14-19,서울특별시 용산구 원효로3가 1-139,37.53479369,126.956553,2300,,조합놀이대+그네 등,화장실,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2025-08-18
11170-00004,청파문화공원,문화공원,,서울특별시 용산구 서계동 226-3,37.553546,126.9682992,4296.4,,조합놀이대+그네 등,화장실,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2025-08-18
11170-00005,동자어린이공원,어린이공원,서울특별시 용산구 한강대로104길 30-4,서울특별시 용산구 동자동 24-11,37.55008633,126.973945,712,,조합놀이대+그네 등,화장실,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2025-08-18
11170-00006,이태원어린이공원,어린이공원,서울특별시 용산구 회나무로6길 11-8,서울특별시 용산구 이태원동 286-1,37.538407,126.989041,2858,,그네+시소 등,화장실,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2025-08-18
11170-00007,새꿈어린이공원,어린이공원,,서울특별시 용산구 동자동 8,37.552563,126.974476,1828,,조합놀이대,화장실,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2025-08-18
11170-00008,돌모루어린이공원,어린이공원,서울특별시 용산구 원효로97길 50,서울특별시 용산구 청파동3가 118-102,37.542772,126.9685904,3447,,조합놀이대,주차장+화장실,,,1940-03-12,서울특별시 용산구청,02-2199-7605,2025-08-18
11170-00009,신계공원,역사공원,서울특별시 용산구 청파로 139-25,서울특별시 용산구 신계동 55,37.535079,126.966284,15000,,,화장실+음수대,,,1940-03-12,서울특별시 용산구청,02-2199-7603,2025-08-18
11170-00010,소월길어린이공원,어린이공원,,서울특별시 용산구 이태원동 463,37.543563,126.989243,1630,,조합놀이대+그네 등,음수대,,,1963-12-16,서울특별시 용산구청,02-2199-7605,2025-08-18
