관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11380-00001,새록어린이공원,어린이공원,,서울특별시 은평구 녹번동 158-1,37.6039347476,126.9238721266,956,"트윈트위스트 1,스트레칭로라 1,워밍맘 1,철봉1, 평행봉1","조합놀이대1,그네 1,시소2","원형시계1, 화장실1, 사무실1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00002,응암동어린이공원,어린이공원,,서울특별시 은평구 응암동 85-41,37.6017212431,126.9235285369,992.1,"트윈위밍암 1, 파도타기1,크로스컨트리 1,허리돌리기 2,스트레칭로라 1,거꾸리머신 1",조합놀이대1유아용조합놀이대1,화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00003,신록어린이공원,어린이공원,,서울특별시 은평구 녹번동 20-6,37.6051629284,126.9382116719,469,"온몸당겨올리기 1,온몸밀어올리기 1,무릎펴서 걷기 1,어깨손목돌리기 1,허리돌리기 1, 허리흔들기1 ,레그프레스 1, 체어웨이트1",조합놀이대1,,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00004,참다래어린이공원,어린이공원,,서울특별시 은평구 응암동 120-22,37.5952985005,126.9173370393,954.4,"크로스컨트리1 허리돌리기1 스트레칭로라 1,스윙워커미신,온몸역기올리기 1,옆파도타기 1","조합놀이대1,그네1,시소1,흔들놀이5,모래놀이시설",음수대1 화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00005,포수동어린이공원,어린이공원,,서울특별시 은평구 응암동 115-25,37.5981006364,126.9195000672,987.8,"어깨손목돌리기1,무릎펴서걷기1,온몸비틀기1","조합놀이대1,그네1,모래놀이시설",화장실1 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00006,시루메어린이공원,어린이공원,,서울특별시 은평구 증산동 185-1,37.583033644,126.9065733201,999.6,철봉1,"조합놀이대1,유아용조합놀이대1,그네 1,흔들놀이2",화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00007,연서어린이공원,어린이공원,,서울특별시 은평구 역촌동 32-36,37.604138638,126.9166648762,956,"온몸허리돌리기2,거꾸리머신1,온몸근육풀기1,온몸지압기1,하늘걷기1,옆파도타기1","조합놀이대1,그네 1,시소2,흔들놀이 2",화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00008,역마을어린이공원,어린이공원,,서울특별시 은평구 역촌동 39-2,37.6011831707,126.9186750578,949.1,"온몸허리돌리기,옆파도타기1,온몸역기올리기,온몸근육풀기1,하늘걷기,마라톤운동1","조합놀이대1,그네1,모래놀이시설","화장실1 화장실1,관리실1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00009,역말어린이공원,어린이공원,,서울특별시 은평구 역촌동 47-1,37.6069167334,126.9142523563,966.3,"트윈스텝싸이클1,트윈체어풀1,트윈크로스컨트리1,철봉1,파도타기1, 공중걷기1","조합놀이대1,그네1,유아조합놀이대1,흔들놀이대2,모래놀이시설","화장실1, 음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00010,인조유기비어린이공원,어린이공원,,서울특별시 은평구 역촌동 8-11,37.6086839075,126.9165280095,1256.9,"롤링웨이스트 1,크로스컨트리 1",조합놀이대 1,,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00011,대조동어린이공원,어린이공원,,서울특별시 은평구 대조동 212,37.6153707638,126.9195726307,4176.9,"옆파도타기 1,온몸근육풀기 1,온몸역기올리기 1,마라톤운동 1,온몸지압기 1,온몸허리돌리기 1,하늘걷기 1,거꾸리머신 1, 바디싣업 1","조합놀이대1,유아용조합놀이대1,흔들놀이2,기타2,건너는기구1,모래놀이시설","공중전화2,시계탑1,화장실1,음수대2",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00012,길마어린이공원,어린이공원,,서울특별시 은평구 갈현동 474-1,37.614801423,126.915691147,1596.7,"파도타기 1(2020.),입식헬스싸이클 1,상체근육풀기 1,역기올리기 1,전신하늘걷기 1,트위스트머신 1,달리기운동 1","조합놀이대1,유아용조합놀이대1,그네1, 시소2,흔들놀이 2,날으는흔들놀이 2","파고라3,등의자8,연식의자2",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00013,궁말어린이공원,어린이공원,,서울특별시 은평구 갈현동 327-21,37.6168849263,126.9089400905,1190,"파도타기1,허리돌리기1,무릎펴서걷기1","조합놀이대1,요술 거울5,흔들놀이2,모래놀이시설","안내판3,공원등3,CCTV2,음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00014,박석어린이공원,어린이공원,,서울특별시 은평구 갈현동 416-3,37.6250844333,126.9184395729,856.9,"파도타기 1,공중걷기 1,좌식자전거운동 1,철봉 1","조합놀이대1,그네1,흔들놀이3","화장실1,음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00015,좌월어린이공원,어린이공원,,서울특별시 은평구 갈현동 513-1,37.6173167517,126.9133097585,1398.3,"허리돌리기 2, 철봉 1,윗몸일으키기 1,온몸역기올리기 1,온몸근육풀기 1,거꾸리머신 1,러닝싸이클 1,옆회전운동 1,공중걷기 1,싸이클링트레이너 1","조합놀이대1,유아용조합놀이대1,그네 1, 흔들놀이 1,흔들말 2",화장실1 (25㎡),,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00016,갈곡리어린이공원,어린이공원,,서울특별시 은평구 갈현동 436-51,37.6238888205,126.9166300329,1738.7,"워밍암 1,크로스컨트리 1,체어웨이트 1,파도타기 1","조합놀이대2,시소 1,그네 1,흔들놀이2",음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00017,새락골어린이공원,어린이공원,,서울특별시 은평구 신사동 5-21,37.5989547732,126.911325089,994,"하늘걷기1,옆파도타기1,멀티즘1","조합놀이대1, 그네1,시소2,흔들놀이2",화장실1(49.35㎡) 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00018,호연어린이공원,어린이공원,,서울특별시 은평구 녹번동 95-44,37.6054842139,126.9310602386,528,,"싱글워밍맘1,트윈트위스트머신1",안내판1 공원등3 CCTV1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00019,분토골어린이공원,어린이공원,,서울특별시 은평구 증산동 163-34,37.5868335149,126.9118763633,996,"허리흔들기1,허리돌리기1,하늘걷기1","조합놀이대1,그네1,흔들놀이2,모래놀이시설",화장실1 (19.8㎡),,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00020,서갈현동어린이공원,어린이공원,,서울특별시 은평구 갈현동 434-38,37.621374693,126.9157238232,1532.2,"파도타기 1,공중걷기 1,달리기운동 1","조합놀이대1,그네1,흔들말3,모래놀이시설",화장실1(42.6㎡) 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00021,새장골어린이공원,어린이공원,,서울특별시 은평구 불광동 444-1,37.6251324246,126.9261927814,992,"어께손목돌리기1,무릎펴서걷기1,허리돌리기1","조합놀이대1,그네1,모래놀이시설",화장실1(25㎡) 음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00022,시내어린이공원,어린이공원,,서울특별시 은평구 불광동 444-15,37.6250056546,126.9273307976,659,,"조합놀이대1,그네1,흔들놀이2",음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00023,관동어린이공원,어린이공원,,서울특별시 은평구 불광동 270-11,37.6136361654,126.9297610758,331,"헨들웨이트1,롤링웨이스트1,멀티즘1",조합놀이대1,음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00024,가람어린이공원,어린이공원,,서울특별시 은평구 불광동 448-51,37.586711,126.911699,249,,"조합놀이대1,그네1",,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00025,신흥어린이공원,어린이공원,,서울특별시 은평구 신사동 31-2,37.5959470098,126.9119463532,937.9,"달리기운동1,파도타기1,공중걷기1","조합놀이대1,시소2, 그네1,모래놀이시설","화장실1,음수대1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00026,아까시아어린이공원,어린이공원,,서울특별시 은평구 신사동 200-27,37.594425618,126.908655916,982,"롤링웨이스트 1,트리플트위스트 1,워밍암 1",,,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00027,개나리어린이공원,근린공원,,서울특별시 은평구 신사동 237-177,37.5956099811,126.90433228,2896,"제자리높이뛰기1,무릎펴서걷기1,허리돌리기2, 허리흔들기2",조합놀이대1,,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00028,오래뜰어린이공원,어린이공원,,서울특별시 은평구 응암동 742-9,37.5832990522,126.9161039427,1526,"크로스컨트리1, 워밍암1,스트레칭로라1, 멀티즘1,롤링웨이트1, 풀웨이트1,오버턴스트레칭1,허리돌리기1",조합놀이대1,음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00029,불광동어린이공원,어린이공원,,서울특별시 은평구 불광동 236-5,37.6163816849,126.9314597674,496,"트리플트위스트1,롤링웨이스트 1","조합놀이대1,그네1",음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00030,백련아름어린이공원,어린이공원,,서울특별시 은평구 응암동 761-9,37.58705726,126.9230245,2244.3,"양팔줄운동1,파도타기1,마라톤운동1,온몸허리돌리기1","조합놀이대1,경사놀이대1, 그네1, 시소1, 미끄럼틀1,흔들놀이1, 유아놀이대1,모래놀이시설","음수대1,벽천1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00031,다래어린이공원,마을마당,,서울특별시 은평구 응암동751-22,37.58716318,126.9190129,584.9,"크로스컨트리1, 워밍암1,체어웨이트1, 풀웨이트1,,트윈트위스트1, 롤링웨이스트1,스트레칭로라1,레그스트레치 1","조합놀이대1,그네1,유아용조합놀이대1,흔들놀이 2",아리수음수대1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00032,연신어린이공원,어린이공원,,서울특별시 은평구 불광동 339,37.6197194989,126.9250822702,1236,"온몸허리돌리기2,거꾸리머신1,온몸근육풀기1,온몸지압기1,하늘걷기1,옆파도타기1","조합놀이대1,그네 1,시소2,흔들놀이 2",화장실1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00033,양천리누리터 어린이공원,어린이공원,,서울특별시 은평구 녹번동 281-4,37.60640813,126.9343765,5153.3,"트윈트위스트1, 체어웨이트1,롤링웨이스트1","조합놀이대1,유아조합놀이대2,4인시소2, 흔들놀이대4,그네1, 건너는기구1,,스피드레이서1","화장실1,음수대1,바닥분수 1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00034,응암동새싹어린이공원,어린이공원,,서울특별시 은평구 응암동 240-7,37.59302004,126.9221859,1602,"사이클1,트위스트1,레그프레스1,크로스컨트리1,로잉머신1","조합놀이대1,그네1,흔들놀이3",음수대 1,,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00035,매바위어린이공원,어린이공원,,서울특별시 은평구 응암동 767-1,37.59579569,126.9196114,4144.8,"어깨손목돌리기1,옆파도타기1,구름다리걷기2,다리뻗히기2,배드민턴장1","조합놀이대1,그네2,시소1, 흔들놀이대2,,모래놀이시설 1","음수대 1,바닥분수 1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00036,응암동행복어린이공원,어린이공원,,서울특별시 은평구 응암동764-2,37.58904802,126.9214351,3090.1,"역기내리기1, 달리기운동1,노젓기1, 하늘걷기1,허리돌리기1, 평행봉1,오금펴기1,상체돌리기1","그네 1,미끄럼틀 1,흔들놀이기구 2,등반오르기 1,조합놀이대 1 모래놀이터 1,시소1","음수대 1,벽천분수 1",,,,서울특별시 은평구시설관리공단,02-350-5248,2025-07-29
11380-00037,북한산,근린공원,,서울특별시 은평구 불광동 산42-5,37.61129705,126.9400901,60789,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8003,2025-07-29
11380-00038,봉산,근린공원,,서울특별시 은평구 구산동 산136-5,37.61720135,126.9032419,173394.2,"축구장, 족구장, 농구장, 풋살구장, 체력단련장, 야외운동기구 등","조합놀이대, 짚라인, 모래놀이터, 흔들놀이대 등","주차장, 화장실",,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00039,서오능,근린공원,,서울특별시 은평구 진관동 산63-4,37.63840258,126.9138099,58509.5,"테니스장, 체력단련장, 야외운동기구 등","조합놀이대, 짚라인 등",,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00040,불  광,근린공원,,서울특별시 은평구 불광동 산33-1,37.62117415,126.9310166,118314.2,"배드민턴장, 운동장, 야외운동기구 등",,"화장실, 주차장",도서관,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00041,백  련,근린공원,,서울특별시 은평구 응암동 산1-27,37.59941022,126.9357364,205090.9,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8004,2025-07-29
11380-00042,진  관,근린공원,,서울특별시 은평구 진관동 산95 일대,37.616340,126.931455,585480.1,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8005,2025-07-29
11380-00043,향   림,근린공원,,서울특별시 은평구 진관동 산52,37.62933219,126.9273554,202993,"테니스장, 축구장, 구민체육센터, 다목적운동장, 야외운동기구 등",,주차장,"야생초화류원, 도시농업체험원",,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00044,신  사,근린공원,,서울특별시 은평구 신사동 산80-64일대,37.604686,126.915235,71848.1,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8004,2025-07-29
11380-00045,물 푸 레,근린공원,,서울특별시 은평구 진관동 산100-44,37.63783996,126.9165117,147441.6,"풋살장, 족구장, 야외운동기구 등",,화장실,,반려견놀이터,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00046,기 자 촌,근린공원,,서울특별시 은평구 진관동 106-17,37.63392387,126.9143248,128953.7,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8016,2025-07-29
11380-00047,녹번동서,근린공원,,서울특별시 은평구 녹번동 85-1,37.60372262,126.9272021,29945,야외운동기구 등,,,문화예술회관,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00048,녹번동,근린공원,,서울특별시 은평구 녹번동 산27,37.60325117,126.9322993,25854.7,야외운동기구 등,"숲놀이터(조합놀이대, 미끄럼틀 등)",,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00049,거 북 골,근린공원,,서울특별시 은평구 구산동 산37-4,37.61013255,126.9070389,43812.6,야외운동기구 등,숲놀이터(짚라인 등),,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00050,구  산,근린공원,,서울특별시 은평구 구산동 산48-7,37.60733325,126.9077646,12445.7,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00051,상림,근린공원,,서울특별시 은평구 진관동 5-3,37.6486642,126.9295653,4749.8,야외운동기구 등,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00052,못자리골,근린공원,,"서울특별시 은평구 진관동13-2, 12-1",37.64653435,126.9269594,16176.1,야외운동기구 등,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00053,덕수천,근린공원,,서울특별시 은평구 진관동 14-3,37.6447552,126.9239666,5569.1,야외운동기구 등,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00054,마고정,근린공원,,서울특별시 은평구 진관동 101-2,37.63252943,126.9191135,4551.6,야외운동기구 등,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00055,우물골,근린공원,,"서울특별시 은평구 진관동 85-1,2,3",37.63513448,126.9253782,7203.1,야외운동기구 등,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00056,신도,근린공원,,서울특별시 은평구 진관동 206-21,37.594288,126.919595,12020,"배드민턴장, 야외운동기구 등","조합놀이대, 어린이물놀이터 등",화장실,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00057,마실길,근린공원,,서울특별시 은평구 진관동 125-22,37.64118472,126.9428673,45170.5,야외운동기구 등,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00058,역촌동동소공원,소공원,,"서울특별시 은평구 역촌동 85-34,36",37.59953752,126.915543,318,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00059,거북이소공원,소공원,,서울특별시 은평구 구산동 309-38,37.61813526,126.9053281,250,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00060,요  산소공원,소공원,,서울특별시 은평구 불광동 13-33외 3,37.591827,126.918252,805,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
11380-00061,백련산숲속소공원,소공원,,서울특별시 은평구 응암동 761-7,37.58744179,126.9257878,880.8,,,,,,,서울특별시 은평구청 공원녹지과,02-351-8008,2025-07-29
