관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11110-00033,창덕공원,근린공원,서울특별시 종로구 율곡로 99 (와룡동),서울특별시 종로구 와룡동 2-71,37.578868,126.989712,491328,,,음수대,,,1962-12-20,서울특별시 종로구청+문화재청,02-2148-2842,2025-11-28
11110-00034,청진공원,근린공원,,서울특별시 종로구 청진동 146-3,37.571415,126.9799007,2802,,,,,,1977-06-29,서울특별시 종로구청,02-2148-2842,2025-11-28
11110-00007,원서공원,근린공원,서울특별시 종로구 창덕궁길 19 (원서동),서울특별시 종로구 원서동 181,37.578234,126.988566,10004.6,,,음수대,,,1985-01-18,서울특별시 종로구청,02-2148-2842,2025-11-28
11110-00008,탑골공원,근린공원,서울특별시 종로구 종로 99 (종로2가),서울특별시 종로구 종로2가 38-1,37.570612,126.9880601,14808.7,,,화장실+공중전화+음수대,동상+탑기념비,,1996-12-16,서울특별시 종로구청,02-2148-2843,2025-11-28
11110-00010,연지공원,근린공원,,서울특별시 종로구 연지동 1-38,37.575758,127.0008075,2827.6,,,,,,1999-11-13,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00011,내수어울공원,근린공원,,서울특별시 종로구 내수동 71-2,37.57368596,126.9703773,2392.1,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00012,내수공원,근린공원,,서울특별시 종로구 내수동 73-3,37.5723883,126.9715781,2192.2,체력단련시설,,음수대,,,2000-03-09,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00013,사직공원,근린공원,서울특별시 종로구 사직로9길 7 (사직동),서울특별시 종로구 사직동 1-28,37.57628582,126.9682319,168099.8,궁도장+배드민턴장+체력단련시설,,,,,2006-07-06,서울특별시 종로구청,02-2148-2832,2025-11-28
11110-00014,월암공원,근린공원,,서울특별시 종로구 송월동 1-2,37.57077796,126.9657457,10662,체력단련시설,,,,,2006-08-31,서울특별시 종로구청,02-2148-2843,2025-11-28
11110-00022,삼청공원,근린공원,서울특별시 종로구 북촌로 134-1 (삼청동),서울특별시 종로구 삼청동 산2-1,37.58769948,126.983451,468348.2,테니스장+농구장+배드민턴장+체력단련시설,,화장실,동상+탑기념비,숲속도서관,2020-06-29,서울특별시 종로구청,02-2148-2843,2025-11-28
11110-00023,와룡공원,근린공원,서울특별시 종로구 와룡공원길 192 (명륜3가),서울특별시 종로구 명륜3가 53-52,37.591168,126.990122,204369,테니스장+배드민턴장+체력단련시설,,화장실+음수대,,,2010-01-21,서울특별시 종로구청,02-2148-2843,2025-11-28
11110-00024,숭인공원,근린공원,서울특별시 종로구 동망산길 150 (숭인동),서울특별시 종로구 숭인동 58,37.57756126,127.0181626,45615,농구장+배드민턴장+체력단련시설,,화장실+음수대,,,2010-04-22,서울특별시 종로구청,02-2148-2843,2025-11-28
11110-00026,흥인지문공원,근린공원,,서울특별시 종로구 종로6가 70,37.57253066,127.0085453,11519.7,,,,,,2010-09-09,서울특별시 종로구청,02-2148-2842,2025-11-28
11110-00027,수송공원,근린공원,,서울특별시 종로구 수송동 80-7,37.57375558,126.981143,3567.2,,,,동상+탑기념비,,2010-12-30,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00031,인왕산공원,근린공원,,서울특별시 종로구 옥인동 179-1,37.58302366,126.9634885,201704,배드민턴장+체력단련시설,미끄럼틀+조합놀이대,화장실+음수대,,,2020-06-29,서울특별시 종로구청,02-2148-2835,2025-11-28
11110-00035,북한산공원,근린공원,서울특별시 종로구 북악산로 267,서울특별시 종로구 평창동 산6-17,37.601976,126.980549,19902.4,,,화장실+편의점,,북악팔각정,2020-06-29,서울특별시 종로구청,02-2148-2832,2025-11-28
11110-00021,마로니에공원,문화공원,서울특별시 종로구 대학로 104 (동숭동),서울특별시 종로구 동숭동 1-124,37.580336,127.002513,5802,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2843,2025-11-28
11110-00016,후창공원,소공원,,서울특별시 종로구 평창동 568-2,37.6101992,126.9646152,1920,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00017,서린공원,소공원,서울특별시 종로구 종로 30-1 (서린동),서울특별시 종로구 서린동 82,37.569989,126.980784,1398,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00018,덕수공원,소공원,,서울특별시 종로구 신문로1가 174-7,37.569254,126.974735,869.2,,,,,,2009-05-28,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00025,평창공원,소공원,,서울특별시 종로구 평창동 108-3,37.61062979,126.9778078,1117.6,,,,,,2010-05-13,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00036,달바위공원,소공원,,서울특별시 종로구 송월동 145-2,37.57065597,126.9654229,3317.8,,,,,,2006-04-13,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00037,솔빛공원,소공원,,서울특별시 종로구 송월동 145-3,37.569973,126.965539,1793.3,,,,,,2016-09-08,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00038,소담공원,소공원,,서울특별시 종로구 행촌동 211-4,37.572146,126.9616546,491.4,,,,,,2017-03-30,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00039,부암튼튼공원,소공원,,서울특별시 종로구 부암동 262-1,37.59228294,126.9645674,1258,족구장,미끄럼틀+암벽오르기,,,,2011-06-09,서울특별시 종로구청,02-2148-2832,2025-11-28
11110-00040,의주공원,소공원,,서울특별시 종로구 무악동 46-71,37.57384186,126.960267,364,,,,,,2006-03-23,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00030,창신공원,어린이공원,,서울특별시 종로구 창신동 23-362,37.57798312,127.012931,710,,시소+조합놀이,,,,2013-10-10,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00032,무악공원,어린이공원,,서울특별시 종로구 무악동 산2-83,37.57745181,126.960547,5136,,,음수대,,,2015-09-13,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00029,낙산공원,어린이공원,서울특별시 종로구 창신길 210-11 (창신동),서울특별시 종로구 창신동 611-19,37.579546,127.010184,660,,시소+조합놀이,,,,2013-10-10,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00001,참샘골공원,어린이공원,,서울특별시 종로구 평창동 470,37.61517106,126.9746192,2737,,그네+조합놀이,음수대,,,1971-06-28,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00002,감나무골공원,어린이공원,,서울특별시 종로구 평창동 495-4,37.61276822,126.970377,2403,,그네+미끄럼틀,음수대,,,1971-06-28,서울특별시 종로구청,02-2148-2845,2025-11-28
11110-00003,옥인공원,어린이공원,,서울특별시 종로구 옥인동 187-2,37.58231136,126.9623815,472.1,,,,,,1974-03-23,서울특별시 종로구청,02-2148-2845,2025-11-28
