관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11260-00007,능말공원,근린공원,,서울특별시 중랑구 신내동 817-4,37.6160163,127.1080257,19098.6,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25
11260-00008,배말공원,근린공원,,서울특별시 중랑구 신내동 819,37.61415177,127.1119491,19887.9,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25
11260-00009,청남공원,근린공원,,서울특별시 중랑구 신내동 산2-45,37.62011974,127.1104604,223100,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25
11260-00010,원  묵,어린이공원,,서울특별시 중랑구 묵동 13-1,37.616747,127.084772,1500.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00011,서  당,어린이공원,,서울특별시 중랑구 묵동 20-1,37.61706409,127.0881222,2000.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00012,은하수,어린이공원,,서울특별시 중랑구 신내동 650-1,37.6156627,127.0912651,1999.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00013,꽃동산,어린이공원,,서울특별시 중랑구 망우동 441-1,37.59124873,127.0991535,1004,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00014,달동산,어린이공원,,서울특별시 중랑구 망우동 520-6,37.59221339,127.095187,984.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00015,샛  별,어린이공원,,서울특별시 중랑구 망우동 416-1,37.59339462,127.1008446,950.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00016,햇  님,어린이공원,,서울특별시 중랑구 망우동 474-11,37.59360721,127.0952679,593,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00022,면  목,어린이공원,,서울특별시 중랑구 면목동 127-33,37.58956391,127.0859226,993,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00023,양  지,어린이공원,,서울특별시 중랑구 면목동 98-20,37.59020491,127.088887,979.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00024,겸  재,어린이공원,,서울특별시 중랑구 면목동 70-3,37.58797605,127.093223,975.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00025,오거리,어린이공원,,서울특별시 중랑구 면목동 351,37.57710827,127.0844469,1357,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00026,열  매,어린이공원,,서울특별시 중랑구 면목동 142-15,37.58857132,127.0809543,1192.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00027,사  랑,어린이공원,,서울특별시 중랑구 면목동 153-6,37.58564763,127.0818678,1009.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00028,남  촌,어린이공원,,서울특별시 중랑구 면목동 110-1,37.58548947,127.0912564,1010.6,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00029,햇  살,어린이공원,,서울특별시 중랑구 면목동 137-14,37.5899334,127.0832088,867.4,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00030,까  치,어린이공원,,서울특별시 중랑구 면목동 570,37.58350827,127.086969,3231.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00031,샘  터,어린이공원,,서울특별시 중랑구 면목동 656,37.57303751,127.0834002,1591.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00032,송  계,어린이공원,,서울특별시 중랑구 면목동 173-1,37.58453565,127.0779651,1019.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00001,용마산근린공원,근린공원,,서울특별시 중랑구 망우동 산69-1,37.59614533,127.1049026,588871.2,,,,,,,서울특별시 중랑구청,02-2094-2353,2026-02-25
11260-00002,봉화산근린공원,근린공원,,서울특별시 중랑구 묵동 산 46-19,37.60899267,127.0868214,556451.3,,,,,,,서울특별시 중랑구청,02-2094-2357,2026-02-25
11260-00004,신내어울공원,근린공원,,서울특별시 중랑구 신내동 315-5,37.61398523,127.0986292,12915.6,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25
11260-00005,능산공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.611635,127.0973915,12350.6,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25
11260-00006,구릉공원,근린공원,,서울특별시 중랑구 신내동 234,37.61873149,127.1123335,25600.7,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25
11260-00038,봉  황,어린이공원,,서울특별시 중랑구 상봉동 114-1,37.59505385,127.0844896,1013.6,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00039,상  봉,어린이공원,,서울특별시 중랑구 상봉동 122-31,37.5931312,127.0824887,1057.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00040,상  리,어린이공원,,서울특별시 중랑구 상봉동 136-35,37.59193672,127.0739354,1005.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00041,봉  화,어린이공원,,서울특별시 중랑구 중화동 302-57,37.59827363,127.0773921,824.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00042,중화리,어린이공원,,서울특별시 중랑구 중화동 280-16,37.60403621,127.0805855,941.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00043,초  롱,어린이공원,,서울특별시 중랑구 중화동 323-14,37.5957492,127.0727829,1433.4,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00044,배  꽃,어린이공원,,서울특별시 중랑구 중화동 332-48,37.6041874,127.0749772,1396,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00045,세  화,어린이공원,,서울특별시 중랑구 중화동 328-14,37.59920895,127.0738061,1147.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00046,본  동,어린이공원,,서울특별시 중랑구 중화동 131-20,37.60113637,127.0857752,248,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00047,소  망,어린이공원,,서울특별시 중랑구 묵동 240-100,37.61114293,127.0748852,1224.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00048,먹  골,어린이공원,,서울특별시 중랑구 묵동 177-5,37.61153715,127.0790717,1006.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00017,안  골,어린이공원,,서울특별시 중랑구 신내동 474-33,37.60453182,127.0978631,184,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00018,한아름,어린이공원,,서울특별시 중랑구 신내동 656-1,37.61328191,127.0941169,2005.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00019,꽃피울,어린이공원,,서울특별시 중랑구 신내동 660-1,37.60842712,127.0940364,1500.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00020,신  현,어린이공원,,서울특별시 중랑구 상봉동 484-1,37.60347172,127.0897486,1492.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00021,망우동,어린이공원,,서울특별시 중랑구 망우동 583-2,37.60215539,127.1038444,2908.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00049,등나무,어린이공원,,서울특별시 중랑구 망우동 492-6,37.59773924,127.0966044,988.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00050,갓바위,어린이공원,,서울특별시 중랑구 망우동 155-2,37.59914936,127.1035307,996,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00051,방  죽,어린이공원,,서울특별시 중랑구 망우동 344-11,37.60240392,127.1026933,1002.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00052,새  싹,어린이공원,,서울특별시 중랑구 면목동 1545-3,37.58228867,127.083337,6793.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00053,묵  동,어린이공원,,서울특별시 중랑구 묵동 396-1,37.61712154,127.0813554,1686.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25
11260-00054,푸름소공원,소공원,,서울특별시 중랑구 묵동 164-52,37.61531263,127.078096,165.9,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25
11260-00055,마중소공원,소공원,,서울특별시 중랑구 묵동 396-2,37.614773,127.0824509,854.6,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25
11260-00056,빛길소공원,소공원,,서울특별시 중랑구 면목동 1537-1,37.57193391,127.086431,1221.8,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25
11260-00057,꽃가람소공원,소공원,,서울특별시 중랑구 면목동 1544-2,37.581647,127.078936,1261.8,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25
11260-00058,소담소공원,소공원,,서울특별시 중랑구 면목동 1548-1,37.572832,127.085867,500.2,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25
11260-00059,면목어울소공원,소공원,,서울특별시 중랑구 면목동 1549-1,37.586168,127.096224,446.7,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25
