housing_id,housing_name,park_id,park_name,park_type,straight_m,walk_m,walk_sec,status
784,만리동예술인협동조합,1577,손기정체육공원,체육공원,289,420,335,ok
784,만리동예술인협동조합,1507,애오개도담어린이공원,어린이공원,325,653,554,ok
784,만리동예술인협동조합,1510,애오개어린이공원,어린이공원,328,500,408,ok
781,황학롯데캐슬(황학),1249,동묘공원,역사공원,383,552,490,ok
781,황학롯데캐슬(황학),894,우산각,어린이공원,415,733,687,ok
781,황학롯데캐슬(황학),739,뉴타운1구역,기타,459,704,556,ok
780,중림삼성(충정삼성),1577,손기정체육공원,체육공원,130,690,554,ok
780,중림삼성(충정삼성),1571,만리소공원(만리2구역2),소공원,303,875,674,ok
780,중림삼성(충정삼성),1572,만리2구역3(가칭)_만리1,소공원,303,875,674,ok
787,해든집(남대문 기부채납),134,새꿈어린이공원,어린이공원,265,391,315,ok
787,해든집(남대문 기부채납),143,두텁바위어린이공원,어린이공원,348,521,407,ok
787,해든집(남대문 기부채납),132,동자어린이공원,어린이공원,542,602,468,ok
778,하왕한진그랑빌(하왕1-2),1575,신당제11구역2(가칭),소공원,68,600,479,ok
778,하왕한진그랑빌(하왕1-2),1548,무학봉공원,근린공원,147,748,590,ok
778,하왕한진그랑빌(하왕1-2),1547,응봉공원,근린공원,147,748,590,ok
786,동대문역사문화공원역 166 tower,1551,쌍림어린이공원,어린이공원,117,186,170,ok
786,동대문역사문화공원역 166 tower,1565,쌍림동소공원,소공원,292,369,298,ok
786,동대문역사문화공원역 166 tower,1546,훈련원공원,근린공원,491,836,715,ok
785,서울역센트럴자이(만리2구역),1577,손기정체육공원,체육공원,126,244,216,ok
779,남산타운(신당3),141,응봉공원,근린공원,254,1152,906,ok
776,약수하이츠동아(신당4),1554,청구어린이공원,어린이공원,230,391,323,ok
777,신당삼성(신당5),1560,동화어린이공원,어린이공원,220,427,370,ok
782,래미안신당하이베르(신당6),1559,꿈누리어린이공원,어린이공원,65,253,198,ok
783,청구e-편한세상(신당7),1560,동화어린이공원,어린이공원,243,310,258,ok
37,더원역삼,821,역삼개나리공원,어린이공원,152,154,118,ok
24,역삼자이,868,역삼미소공원,소공원,54,120,96,ok
11,청담자이,760,청수근린공원,근린공원,142,239,199,ok
22,수서하니움,766,탄천근린공원,근린공원,112,208,155,ok
5,래미안그레이튼,777,길섶근린공원,근린공원,85,175,142,ok
4,신사삼지래미안,237,사평리,근린공원,432,843,851,ok
16,테헤란아이파크,880,개나리4차아파트소공원,소공원,118,180,158,ok
13,개나리에스케이뷰,796,역삼나들이소공원,소공원,38,37,30,ok
39,대치푸르지오써밋,886,대치구마을 1지구 소공원,소공원,262,417,302,ok
23,래미안대치팰리스,874,래미안대치팰리스소공원1,소공원,215,348,265,ok
36,강남센트럴아이파크,880,개나리4차아파트소공원,소공원,83,132,103,ok
41,개포자이프레지던스,883,개포17근린공원,근린공원,131,477,364,ok
19,경복논현아크로힐스,797,아크로힐스소공원,소공원,116,150,112,ok
