자치구,공원명,공원구분,위도,경도,면적,같은좌표_행수,유형
서초구,신원천,수변공원,37.4835872,127.0326987,11854,2,이름다름
서초구,서초무지개,어린이공원,37.4835872,127.0326987,4395,2,이름다름
강남구,개포동근린공원,근린공원,37.48970641,127.0682905,9705.6,2,이름다름
강남구,학여울근린공원,근린공원,37.48970641,127.0682905,12505.6,2,이름다름
송파구,가락1(시영아파트),어린이공원,37.49761457,127.1025318,1617.7,2,완전중복
송파구,가락1(시영아파트),근린공원,37.49761457,127.1025318,19159.2,2,완전중복
구로구,개봉,소공원,37.49958755,126.849609,3023,2,완전중복
구로구,개봉,기타,37.49958755,126.849609,3684.6,2,완전중복
서초구,초  롱,어린이공원,37.50071099,126.9912369,2575,2,이름다름
서초구,푸  른,어린이공원,37.50071099,126.9912369,1851,2,이름다름
서초구,만  남,어린이공원,37.50159119,126.9857678,2965,2,이름다름
서초구,한  수,어린이공원,37.50159119,126.9857678,4400,2,이름다름
서초구,나  리,어린이공원,37.50528152,126.9890691,4155,2,이름다름
서초구,장  미,어린이공원,37.50528152,126.9890691,4083,2,이름다름
양천구,기린,어린이공원,37.516283,126.869774,2029.7,2,이름다름
양천구,꿈나래,어린이공원,37.516283,126.869774,2433.9,2,이름다름
중구,충현어린이공원,어린이공원,37.55110795,127.0056933,1571,2,이름다름
중구,늘푸른어린이공원,어린이공원,37.55110795,127.0056933,423,2,이름다름
중구,만리소공원(만리2구역1),소공원,37.55446168,126.9658367,1204.2,3,이름다름
중구,만리소공원(만리2구역2),소공원,37.55446168,126.9658367,3394.5,3,이름다름
중구,만리2구역3(가칭)_만리1,소공원,37.55446168,126.9658367,427,3,이름다름
중구,경찰기념공원,소공원,37.56056785,126.9688672,1039,2,이름다름
중구,서소문역사공원,역사공원,37.56056785,126.9688672,21363,2,이름다름
중구,응봉공원,근린공원,37.56251273,127.0250052,110176.5,2,이름다름
중구,무학봉공원,근린공원,37.56251273,127.0250052,38054,2,이름다름
중구,명동문화공원,문화공원,37.56472834,126.9869241,2117,2,이름다름
중구,남대문로5가문화공원,문화공원,37.56472834,126.9869241,1576.2,2,이름다름
성동구,뉴타운1구역,기타,37.56782502,127.0250536,2452.4,2,이름다름
성동구,뉴타운2구역,기타,37.56782502,127.0250536,2517,2,이름다름
서대문구,연가,소공원,37.5807093619,126.9196878887,402,2,이름다름
서대문구,남가좌동소공원,소공원,37.5807093619,126.9196878887,402,2,이름다름
서대문구,홍제1구역(푸르지오센트럴파크),어린이공원,37.584298,126.944335,2281,2,이름다름
서대문구,홍제2구역(홍제센트럴아이파크),어린이공원,37.584298,126.944335,2499,2,이름다름
성북구,삼청,근린공원,37.59555894,126.9864035,73.6,2,이름다름
성북구,북악산,근린공원,37.59555894,126.9864035,87616.5,2,이름다름
강북구,북한산근린공원,근린공원,37.6210716,127.0083592,123527.6,2,이름다름
강북구,북한산도시자연공원,기타,37.6210716,127.0083592,84448.4,2,이름다름
강북구,소귀,어린이공원,37.6385644,127.0186984,961,2,완전중복
강북구,소귀,어린이공원,37.6385644,127.0186984,961,2,완전중복
은평구,북한산풀잎소공원,소공원,37.648497,126.929826,1919,2,이름다름
은평구,불광동3구역소공원,소공원,37.648497,126.929826,7274.1,2,이름다름
