행정동코드,population
11110515,368385.51
11110530,776587.19
11110540,121742.03
11110550,264291.25
11110560,366971.65
11110570,103463.72
11110580,251216.73
11110600,207044.13
11110615,1312795.46
11110630,492079.97
11110640,1169649.15
11110650,572382.96
11110670,210434.9
11110680,139730.34
11110690,110977.59
11110700,153990.24
11110710,287390.56
11140520,1001751.81
11140540,903955.52
11140550,1401671.21
11140570,468988.16
11140580,250782.58
11140590,600546.71
11140605,429345.75
11140615,423812.19
11140625,333792.3
11140635,392020.69
11140645,144479.5
11140650,221822.72
11140665,304241.25
11140670,314689.06
11140680,308044.35
11170510,270940.36
11170520,253371.8
11170530,488388.13
11170555,604720.5
11170560,393279.66
11170570,307033.57
11170580,219912.33
11170590,227768.72
11170625,1315969.55
11170630,513308.06
11170640,93636.82
11170650,238047.73
11170660,294498.95
11170685,696184.44
11170690,329826.01
11170700,167598.7
11200520,259492.05
11200535,704780.47
11200540,579519.29
11200550,547025.97
11200560,614337.22
11200570,426330.17
11200580,266524.76
11200590,297273.09
11200615,467190.51
11200620,306990.72
11200645,449093.51
11200650,451922.87
11200660,570570.59
11200670,396916.55
11200690,849181.21
11200720,247918.55
11200790,392165.0
11215710,972611.45
11215730,551252.88
11215740,357149.62
11215750,410129.06
11215760,330085.76
11215770,689822.83
11215780,317405.02
11215810,782876.98
11215820,520451.16
11215830,606636.22
11215840,685302.47
11215847,543704.75
11215850,494260.64
11215860,557067.83
11215870,728042.89
11230515,489549.69
11230533,550321.52
11230545,644056.11
11230560,912706.43
11230570,415680.05
11230600,572204.06
11230610,655815.31
11230650,805293.37
11230660,753278.24
11230705,459759.23
11230710,425675.09
11230720,393378.29
11230730,561287.09
11230740,717795.85
11230750,391122.61
11260520,558745.68
11260540,384834.94
11260550,272018.43
11260565,780315.21
11260570,440919.5
11260575,562609.35
11260580,443625.5
11260590,557312.19
11260600,395010.61
11260610,507540.0
11260620,666096.51
11260630,478243.7
11260655,916869.87
11260660,241355.79
11260680,835638.1
11260690,359456.43
11290525,487007.06
11290555,619037.7
11290575,520697.26
11290580,264271.2
11290590,216095.69
11290600,811881.06
11290610,420400.95
11290620,336422.03
11290630,441069.15
11290640,375081.18
11290650,486503.6
11290660,743986.87
11290685,460029.47
11290705,940719.93
11290715,539253.45
11290725,577799.06
11290760,512148.22
11290770,298546.12
11290780,291935.48
11290810,618190.73
11305534,490059.39
11305535,475091.32
11305545,710163.61
11305555,585900.13
11305575,536470.08
11305595,475923.27
11305603,314287.95
11305608,321211.79
11305615,388310.28
11305625,449048.87
11305635,602101.87
11305645,467805.18
11305660,617416.24
11320511,500741.16
11320512,600986.33
11320513,271409.63
11320514,646091.66
11320515,511059.8
11320521,510199.53
11320522,549423.95
11320660,397738.65
11320670,380584.97
11320680,350887.98
11320681,454109.1
11320690,635956.04
11320700,295965.12
11320710,509029.71
11350560,527397.18
11350570,522036.17
11350580,636378.77
11350595,863015.84
11350600,1157515.6
11350611,679632.27
11350612,274697.04
11350619,498997.12
11350621,594306.69
11350624,403037.65
11350625,697992.75
11350630,778234.19
11350640,556284.0
11350665,537797.98
11350670,455925.92
11350695,878754.49
11350700,452833.94
11350710,355691.62
11350720,339647.49
11380510,837738.26
11380520,671101.65
11380530,584136.85
11380551,371986.24
11380552,531151.26
11380560,702334.96
11380570,795729.15
11380580,644461.77
11380590,496141.69
11380600,505768.78
11380625,977883.49
11380631,511834.57
11380632,384512.61
11380640,280181.39
11380650,417701.79
11380690,1248363.39
11410520,362783.59
11410555,263890.05
11410565,1063975.89
11410585,1500851.74
11410615,936278.55
11410620,533325.62
11410640,404393.41
11410655,228182.49
11410660,432056.95
11410685,581703.69
11410690,282651.2
11410700,712665.87
11410710,335485.39
11410720,626256.61
11440555,664218.03
11440565,875466.49
11440585,555235.49
11440590,546524.04
11440600,584868.82
11440610,475915.1
11440630,479275.42
11440655,752996.92
11440660,1454094.14
11440680,469431.1
11440690,444078.29
11440700,388712.51
11440710,364713.45
11440720,487099.87
11440730,860663.0
11440740,1201269.03
11470510,828157.1
11470520,630833.44
11470530,311819.88
11470540,470864.01
11470550,944181.81
11470560,405281.58
11470570,291104.37
11470580,285858.64
11470590,228470.89
11470600,336158.03
11470610,321872.1
11470611,379175.27
11470620,304533.93
11470630,389372.23
11470640,1134814.74
11470650,816978.28
11470670,391869.72
11470680,577016.17
11500510,808236.45
11500520,641434.58
11500530,429237.64
11500535,886229.49
11500540,1073947.82
11500550,292473.23
11500560,367525.4
11500570,387123.71
11500590,681051.46
11500591,555446.17
11500593,849061.07
11500603,1289421.65
11500604,312486.61
11500605,284825.51
