공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
원터공원,근린공원,서울특별시 강동구 명일2동 37,37.5524155,127.1430368,24508.5,2023-08-18
송림공원,근린공원,서울특별시 강동구 고덕동 310,37.55504732,127.1539494,11491.0,2023-08-18
까치공원,근린공원,서울특별시 강동구 고덕1동 493,37.557079,127.149995,19464.8,2023-08-18
두레공원,근린공원,서울특별시 강동구 고덕1동 497,37.558206,127.152203,13460.2,2023-08-18
동자공원,근린공원,서울특별시 강동구 고덕1동 648,37.559711,127.152467,6416.6,2023-08-18
샘터공원,근린공원,서울특별시 강동구 고덕2동 287,37.561901,127.159087,63320.9,2023-08-18
방죽공원,근린공원,서울특별시 강동구 고덕2동 296,37.5591586,127.1598268,87748.6,2023-08-18
동명공원,근린공원,서울특별시 강동구 고덕2동 229 외1,37.561146,127.164455,99599.9,2023-08-18
상일공원,근린공원,서울특별시 강동구 상일동 188,37.5469247,127.167312,9704.0,2023-08-18
방아다리공원,어린이공원,서울특별시 강동구 명일2동 236,37.548156,127.153648,2010.4,2023-08-18
둔촌공원,어린이공원,서울특별시 강동구 둔촌2동 79-4,37.531437,127.143288,2226.0,2023-08-18
암사동공원,소공원,서울특별시 강동구 암사동 518-1,37.54888077,127.1233123,1022.0,2023-08-18
솔말소공원,근린공원,서울특별시 강동구 암사3동 400-1,37.556493,127.139147,1108.6,2023-08-18
솜다래공원,근린공원,서울특별시 강동구 암사1동 413-4,37.553691,127.141229,3993.8,2023-08-18
암사공원,근린공원,서울특별시 강동구 암사3동 414-20,37.5565294,127.1417157,7047.0,2023-08-18
천일공원,어린이공원,서울특별시 강동구 천호1동 221-3,37.54498878,127.1362629,2408.0,2023-08-18
당말공원,어린이공원,서울특별시 강동구 천호3동 167-195,37.53912769,127.133246,2409.0,2023-08-18
다솜공원,어린이공원,서울특별시 강동구 강일동 333-1,37.546877,127.167582,3125.0,2023-08-18
꽃보라공원,어린이공원,서울특별시 강동구 강일동 317-1,37.565352,127.175724,3185.0,2023-08-18
윤슬공원,어린이공원,서울특별시 강동구 강일동 448-1,37.562677,127.177545,2591.0,2023-08-18
꿈터공원,어린이공원,서울특별시 강동구 강일동 429-1,37.560861,127.180266,1804.0,2023-08-18
나루공원,어린이공원,서울특별시 강동구 천호2동 569-1,37.547038,127.123604,1500.0,2023-08-18
강일공원,근린공원,서울특별시 강동구 강일동 332-5,37.569526,127.1744407,34591.6,2023-08-18
벌말공원,근린공원,서울특별시 강동구 강일동 산8-1,37.559936,127.177202,86205.7,2023-08-18
암사공원,어린이공원,서울특별시 강동구 암사1동 산59-2,37.552756,127.137981,1780.0,2023-08-18
강덕공원,근린공원,서울특별시 강동구 강일동 산11-6,37.558585,127.174682,46699.6,2023-08-18
능골공원,근린공원,서울특별시 강동구 강일동 산19,37.556768,127.174727,31464.2,2023-08-18
