공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
벽오산,어린이공원,서울특별시 강북구 미아동 258-56,37.6275862,127.0302734,1250.0,2025-08-29
미아도심소,어린이공원,서울특별시 강북구 미아동 258-148,37.62544556,127.0313106,1127.0,2025-08-29
오패,어린이공원,서울특별시 강북구 미아동 258-236,37.6223139,127.0323129,1084.0,2025-08-29
한빛,어린이공원,서울특별시 강북구 미아동 222-20,37.6275981,127.0229662,1192.1,2025-08-29
운산,어린이공원,서울특별시 강북구 미아동 165-3,37.6321329,127.025456,995.1,2025-08-29
솔샘,어린이공원,서울특별시 강북구 송천동 329-15,37.6184142,127.0270508,1264.1,2025-08-29
으뜸,어린이공원,서울특별시 강북구 미아동 309-43,37.6236134,127.0262421,681.0,2025-08-29
세일,어린이공원,서울특별시 강북구 미아동 159-71,37.6338794,127.0252746,839.7,2025-08-29
북한산도시자연공원,기타,서울특별시 강북구 미아동 산108-19,37.6210716,127.0083592,84448.4,2025-08-29
청암,어린이공원,서울특별시 강북구 삼양동 776-17,37.6241079,127.0171437,661.0,2025-08-29
응달마을,어린이공원,서울특별시 강북구 송천동 707-73,37.618455,127.024343,866.0,2025-08-29
하늘,어린이공원,서울특별시 강북구 삼양동 791-1776,37.6247032,127.012899,3367.0,2025-08-29
송월,어린이공원,서울특별시 강북구 송중동 92-7,37.6163653,127.0321067,807.0,2025-08-29
소망,소공원,서울특별시 강북구 삼양동 791-1467,37.6258055,127.0154221,320.0,2025-08-29
미래,소공원,서울특별시 강북구 삼양동 791-1712,37.6246182,127.0145881,564.0,2025-08-29
늘푸른,소공원,서울특별시 강북구 삼양동 797-9,37.6254089,127.0197435,646.0,2025-08-29
폭포,소공원,서울특별시 강북구 삼각산동 813-6,37.612576,127.021656,1238.0,2025-08-29
꼭지,소공원,서울특별시 강북구 삼각산동 811-7,37.6188024,127.017338,746.0,2025-08-29
테두리,어린이공원,서울특별시 강북구 삼각산동 811-8,37.6186251,127.0176915,1913.0,2025-08-29
고갯마루,어린이공원,서울특별시 강북구 삼각산동 811-13,37.6164203,127.0169389,2185.8,2025-08-29
미아,어린이공원,서울특별시 강북구 송중동 8-73,37.6152567,127.0375807,992.0,2025-08-29
미,소공원,서울특별시 강북구 송중동 71-1,37.6137937,127.0305656,424.4,2025-08-29
번남,어린이공원,서울특별시 강북구 번1동 447-1,37.6357586,127.0247969,1014.9,2025-08-29
논골,어린이공원,서울특별시 강북구 번1동 417-27,37.6386856,127.0279086,991.7,2025-08-29
샛강,어린이공원,서울특별시 강북구 번1동 472-44,37.6395202,127.0329966,858.2,2025-08-29
오동근린공원,근린공원,서울특별시 강북구 번동 산20-1,37.6292331,127.0330524,1025284.1,2025-08-29
오얏골,어린이공원,서울특별시 강북구 번2동 228,37.6341439,127.0344484,5070.7,2025-08-29
벌리,어린이공원,서울특별시 강북구 번3동 240,37.6275219,127.0445034,4083.5,2025-08-29
벌말,어린이공원,서울특별시 강북구 번2동 235,37.6296813,127.0396722,4641.3,2025-08-29
오현,어린이공원,서울특별시 강북구 번3동 244,37.6245294,127.0466034,3661.0,2025-08-29
색동,어린이공원,서울특별시 강북구 수유1동 49-7,37.6331377,127.0205711,2341.2,2025-08-29
흰구름,어린이공원,서울특별시 강북구 수유2동 252-19,37.6455986,127.0205211,1064.0,2025-08-29
희망,어린이공원,서울특별시 강북구 수유3동 194-41,37.6407466,127.0243466,976.9,2025-08-29
은모루,어린이공원,서울특별시 강북구 수유3동 172-209,37.642469,127.0267036,918.0,2025-08-29
소귀,어린이공원,서울특별시 강북구 수유3동 25-1,37.6385644,127.0186984,961.0,2025-08-29
