공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
우장,근린공원,서울특별시 강서구 화곡동 산60-1,37.55065104,126.8456037,359435.2,2025-04-02
궁산,근린공원,서울특별시 강서구 가양동 산4-7,37.574254,126.841332,135002.7,2025-04-02
염창,근린공원,서울특별시 강서구 염창동 산24-1,37.557765,126.868792,112070.0,2025-04-02
꿩고개,근린공원,서울특별시 강서구 방화동 산97-1,37.578139,126.816895,180000.0,2025-04-02
봉제산,근린공원,서울특별시 강서구 화곡동 산1,37.540731,126.858825,917190.0,2025-04-02
개화,근린공원,서울특별시 강서구 개화동 산17,37.588011,126.805798,386500.0,2025-04-02
등마루,근린공원,서울특별시 강서구 화곡동 산199,37.552521,126.855152,74299.0,2025-04-02
공암나루,근린공원,서울특별시 강서구 가양동 1459-9,37.570635,126.849087,25680.4,2025-04-02
구암,근린공원,서울특별시 강서구 가양동 1471,37.567599,126.853729,29843.8,2025-04-02
황금내,근린공원,서울특별시 강서구 가양동 1485-5,37.561783,126.864104,22002.9,2025-04-02
원당,근린공원,서울특별시 강서구 등촌동 690-5,37.559782,126.842567,10096.4,2025-04-02
등촌,근린공원,서울특별시 강서구 등촌동 687-4,37.563683,126.841391,10051.6,2025-04-02
서낭당,근린공원,서울특별시 강서구 등촌동 706,37.558865,126.849984,10248.8,2025-04-02
방화,근린공원,서울특별시 강서구 방화동 855,37.580907,126.8141207095,72132.0,2025-04-02
옹기골,근린공원,서울특별시 강서구 방화동 842,37.573562,126.821695,9723.6,2025-04-02
매화,근린공원,서울특별시 강서구 등촌동 630-14,37.557535,126.852151,1980.4,2025-04-02
까치산,근린공원,서울특별시 강서구 화곡동 산162-1,37.536938,126.843936,27658.0,2025-04-02
수명산,근린공원,서울특별시 강서구 내발산동 748,37.550967,126.829893,83807.1,2025-04-02
발산,근린공원,서울특별시 강서구 내발산동 739,37.5545410777,126.825837,17825.5,2025-04-02
서울식물원,근린공원,서울특별시 강서구 마곡동 255-1,37.569824,126.83183,503875.0,2025-04-02
마곡나루,근린공원,서울특별시 강서구 방화동 210-1,37.566183,126.813091,17283.0,2025-04-02
마곡하늬,근린공원,서울특별시 강서구 공항동 1220,37.556699,126.812659,24597.0,2025-04-02
이수,어린이공원,서울특별시 강서구 염창동 281-3,37.548299,126.874234,1805.1,2025-04-02
백합,어린이공원,서울특별시 강서구 염창동 267-24,37.551163,126.869438,939.3,2025-04-02
아리수,어린이공원,서울특별시 강서구 염창동 299-3,37.551693,126.875286,862.5,2025-04-02
등서,어린이공원,서울특별시 강서구 등촌동 639-2,37.559235,126.854759,879.7,2025-04-02
백석,어린이공원,서울특별시 강서구 등촌동 646-41,37.5526114739,126.863328,993.6,2025-04-02
등마루,어린이공원,서울특별시 강서구 등촌동 641-5,37.556036,126.857412,970.9,2025-04-02
도림,어린이공원,서울특별시 강서구 등촌동 635-1,37.555596,126.862861,1033.8,2025-04-02
능안,어린이공원,서울특별시 강서구 등촌동 517-1,37.546638,126.859908,853.9,2025-04-02
한마음,어린이공원,서울특별시 강서구 등촌동 690-3,37.560521,126.843248,1791.8,2025-04-02
새나라,어린이공원,서울특별시 강서구 등촌동 707-2,37.561557,126.852004,1563.4,2025-04-02
백합,어린이공원,서울특별시 강서구 등촌동 695-4,37.559219,126.844996,1547.4,2025-04-02
채송화,어린이공원,서울특별시 강서구 등촌동 694-1,37.562841,126.846117,1544.9,2025-04-02
푸르매,어린이공원,서울특별시 강서구 등촌동 705-3,37.559023,126.847504,1538.3,2025-04-02
새벗,어린이공원,서울특별시 강서구 등촌동 688-3,37.560711,126.840304,1565.8,2025-04-02
코끼리,어린이공원,서울특별시 강서구 등촌동 702-1,37.563238,126.848535,1594.5,2025-04-02
구름,어린이공원,서울특별시 강서구 화곡동 98-22,37.543303,126.844116,833.0,2025-04-02
볏골,어린이공원,서울특별시 강서구 화곡동 98-99,37.541815,126.844354,4219.0,2025-04-02
노을,어린이공원,서울특별시 강서구 화곡동 105-194,37.539837,126.843928,1031.0,2025-04-02
까치산,어린이공원,서울특별시 강서구 화곡동 102-206,37.538280207,126.844436,1805.0,2025-04-02
비둘기,어린이공원,서울특별시 강서구 화곡동 61-96,37.541392,126.846938,1086.0,2025-04-02
큰별,어린이공원,서울특별시 강서구 화곡동 46-41,37.544454,126.848941,1067.0,2025-04-02
꿈돌이,어린이공원,서울특별시 강서구 화곡동 24-128,37.546097,126.845352,1507.0,2025-04-02
소나무,어린이공원,서울특별시 강서구 화곡동 29-31,37.547058,126.847807,942.0,2025-04-02
산새,어린이공원,서울특별시 강서구 화곡동 772,37.546268,126.850385,539.0,2025-04-02
박장,어린이공원,서울특별시 강서구 화곡동 56-25,37.540768,126.849087,929.0,2025-04-02
참새,어린이공원,서울특별시 강서구 화곡동 56-638,37.539725,126.847003,256.0,2025-04-02
한글,어린이공원,서울특별시 강서구 화곡동 56-3,37.538536,126.850451,965.0,2025-04-02
효심,어린이공원,서울특별시 강서구 화곡동 922-10,37.529495,126.840632,1056.5,2025-04-02
버들,어린이공원,서울특별시 강서구 화곡동 424-45,37.531101,126.841222,1087.2,2025-04-02
필마,어린이공원,서울특별시 강서구 화곡동 355-12,37.531491,126.8388196017,1615.5,2025-04-02
다운,어린이공원,서울특별시 강서구 화곡동 346-26,37.532101,126.844653,1290.6,2025-04-02
호돌이,어린이공원,서울특별시 강서구 화곡동 906-26,37.528191,126.846009,811.6,2025-04-02
곰돌이,어린이공원,서울특별시 강서구 화곡동 900-46,37.529614,126.845017,1006.9,2025-04-02
골말,어린이공원,서울특별시 강서구 화곡동 865-1,37.533313,126.8560516878,977.9,2025-04-02
뜸부기,어린이공원,서울특별시 강서구 화곡동 845-19,37.530115,126.856902,998.4,2025-04-02
하마터,어린이공원,서울특별시 강서구 화곡동 883-3,37.530115,126.853739,1026.8,2025-04-02
바탕골,어린이공원,서울특별시 강서구 화곡동 1016-34,37.5447004433,126.834711,976.6,2025-04-02
미리내,어린이공원,서울특별시 강서구 화곡동 1008-32,37.547649,126.834751,967.5,2025-04-02
수명산,어린이공원,서울특별시 강서구 화곡동 1044-31,37.540958,126.834336,984.9,2025-04-02
대원,어린이공원,서울특별시 강서구 화곡동 1022,37.544928,126.835911,276.9,2025-04-02
천사,어린이공원,서울특별시 강서구 화곡동 1139-1,37.5468298505,126.833001,2395.2,2025-04-02
두레,어린이공원,서울특별시 강서구 화곡동 792-9,37.531104,126.859414,986.1,2025-04-02
달빛,어린이공원,서울특별시 강서구 화곡동783-1,37.531248,126.862932,976.2,2025-04-02
무지개,어린이공원,서울특별시 강서구 화곡동806-10,37.533937,126.861301,976.2,2025-04-02
