공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
상도근린공원,근린공원,서울특별시 관악구 봉천동 산 103-52,37.491879,126.9414281,87458,2025-11-17
호박골,어린이공원,서울특별시 관악구 신림동 1580-22,37.48197587,126.923932,417,2025-11-17
해태,어린이공원,서울특별시 관악구 신림동 103-141,37.472323,126.940612,1359,2025-11-17
당곡,어린이공원,서울특별시 관악구 봉천동 662-122,37.48872668,126.9335718,294,2025-11-17
군아파트,어린이공원,서울특별시 관악구 남현동 602-143,37.471823,126.978932,926,2025-11-17
상록,어린이공원,서울특별시 관악구 남현동 602-196,37.472906,126.980544,1557,2025-11-17
남현,어린이공원,서울특별시 관악구 남현동 602-333,37.47191194,126.981333,554,2025-11-17
예촌,어린이공원,서울특별시 관악구 남현동 1083-1,37.47453441,126.9768782,1509,2025-11-17
난우,어린이공원,서울특별시 관악구 신림동 652-160,37.466402,126.921869,241,2025-11-17
남부,어린이공원,서울특별시 관악구 신림동 483-14,37.48480913,126.920679,990,2025-11-17
새들,어린이공원,서울특별시 관악구 신림동 1441-42,37.48863225,126.925741,979,2025-11-17
색동,어린이공원,서울특별시 관악구 신림동 1418-1,37.486533,126.932555,952,2025-11-17
새숲,어린이공원,서울특별시 관악구 신림동 539-14,37.4824133,126.9130864,991,2025-11-17
장군봉,소공원,서울특별시 관악구 신림동 94-252,37.4781262,126.939008,175,2025-11-17
은천,어린이공원,서울특별시 관악구 봉천동 635-309,37.488223,126.942996,443,2025-11-17
국회단지,어린이공원,서울특별시 관악구 봉천동 635-37,37.49031557,126.9431126,1200,2025-11-17
국지,어린이공원,,37.490053,126.940606,1650,2025-11-17
서원,어린이공원,,37.476815,126.933237,2324,2025-11-17
송학,어린이공원,서울특별시 관악구 봉천동 877-21,37.480272,126.9493248,1013,2025-11-17
백설,어린이공원,,37.476236,126.953512,1655,2025-11-17
신화,어린이공원,서울특별시 관악구 신림동 408-10,37.47672757,126.935702,850,2025-11-17
미도,어린이공원,서울특별시 관악구 신림동 675-200,37.462803,126.915263,978,2025-11-17
무궁화,어린이공원,서울특별시 관악구 신림동 645-1,37.46963167,126.9235717,660,2025-11-17
신림근린공원,근린공원,,37.480884,126.918234,90960,2025-11-17
장군봉근린공원,근린공원,서울특별시 관악구 신림동 산1-1,37.478631,126.939049,128100,2025-11-17
문성,어린이공원,,37.482015,126.9028913,988,2025-11-17
비안,어린이공원,서울특별시 관악구 봉천동 1530-14,37.480767,126.9401567,1661,2025-11-17
선봉,어린이공원,,37.485144,126.939678,1021,2025-11-17
국사봉,어린이공원,서울특별시 관악구 봉천동 1511-5,37.48999461,126.934035,454,2025-11-17
중앙,어린이공원,,37.484446,126.948278,977,2025-11-17
새싹,어린이공원,,37.484451,126.949378,1797,2025-11-17
까치산근린공원,근린공원,서울특별시 관악구 봉천동 산66-1,37.47774405,126.9672315,64534,2025-11-17
봉림,어린이공원,서울특별시 관악구 신림동 1510-2,37.48272102,126.935717,988,2025-11-17
쑥고개,어린이공원,서울특별시 관악구 신림동 1564-68,37.475822,126.940794,1124,2025-11-17
난곡,어린이공원,서울특별시 관악구 신림동 1563-56,37.47411595,126.9152598,695,2025-11-17
새빛,어린이공원,,37.486319,126.915149,875,2025-11-17
신라,어린이공원,서울특별시 관악구 신림동 744-1,37.47360972,126.912623,514,2025-11-17
학다리,어린이공원,서울특별시 관악구 봉천동 647-175,37.488732,126.937591,221,2025-11-17
용담,어린이공원,서울특별시 관악구 봉천동 850-8,37.47550045,126.9436117,646,2025-11-17
원당,어린이공원,서울특별시 관악구 봉천동 196-2,37.474839,126.963329,1647,2025-11-17
교체,어린이공원,서울특별시 관악구 봉천동 196-193,37.4733206,126.9640439,813,2025-11-17
보명,어린이공원,,37.475841,126.925639,1319,2025-11-17
일선,어린이공원,,37.477823,126.949514,1244,2025-11-17
청룡,어린이공원,서울특별시 관악구 봉천동 1557-34,37.477619,126.944732,853,2025-11-17
까치,어린이공원,,37.479924,126.959507,1602,2025-11-17
