공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
성화공원,어린이공원,서울특별시 광진구 자양동 199-4,37.53620746,127.061859,253.0,2025-03-10
양마장공원,어린이공원,서울특별시 광진구 자양동 689-6,37.5308707,127.0887271,1113.0,2025-03-10
자양공원,어린이공원,서울특별시 광진구 자양동 792-1,37.5335548,127.0698629,494.8,2025-03-10
가중나무공원,어린이공원,서울특별시 광진구 화양동 32-1,37.54651869,127.0677034,971.6,2025-03-10
한아름공원,어린이공원,서울특별시 광진구 화양동 12-55,37.5443368,127.0704685,936.2,2025-03-10
햇님공원,어린이공원,서울특별시 광진구 화양동 45-3,37.5426933,127.0670227,1002.3,2025-03-10
화양공원,어린이공원,서울특별시 광진구 화양동 8-36,37.54160778,127.0696005,996.4,2025-03-10
남일공원,어린이공원,서울특별시 광진구 군자동 159-1,37.5559474,127.0736903,238.0,2025-03-10
군자공원,어린이공원,서울특별시 광진구 군자동 115-1,37.55456506,127.0728509,642.0,2025-03-10
중곡공원,어린이공원,서울특별시 광진구 중곡동 232-44,37.5645362,127.079141,995.7,2025-03-10
배나무터공원,어린이공원,서울특별시 광진구 중곡동 695,37.56834108,127.0802695,971.9,2025-03-10
해오름공원,어린이공원,서울특별시 광진구 중곡동 100-16,37.55678467,127.0921845,840.0,2025-03-10
한마음공원,어린이공원,서울특별시 광진구 중곡동 51-6,37.5595627,127.083993,897.8,2025-03-10
긴고랑공원,어린이공원,서울특별시 광진구 중곡동 68-19,37.55888021,127.0910186,633.0,2025-03-10
개나리공원,어린이공원,서울특별시 광진구 구의동 216-5,37.538013,127.0923645,988.8,2025-03-10
목련공원,어린이공원,서울특별시 광진구 구의동 223-4,37.54064005,127.0906545,989.8,2025-03-10
무궁화공원,어린이공원,서울특별시 광진구 구의동 206-10,37.5412468,127.0945509,1041.7,2025-03-10
장미공원,어린이공원,서울특별시 광진구 구의동 590-2,37.5362728,127.0901418,986.5,2025-03-10
푸른동산공원,어린이공원,서울특별시 광진구 구의동 227-13,37.5429034,127.0911933,933.2,2025-03-10
구둘공원,어린이공원,서울특별시 광진구 구의동 60-8,37.5481208,127.0921708,788.1,2025-03-10
산마루공원,어린이공원,서울특별시 광진구 구의동 560-5,37.55507,127.095143,917.0,2025-03-10
구의공원,어린이공원,서울특별시 광진구 구의동 546-2,37.53650324,127.0947414,10464.0,2025-03-10
명성공원,어린이공원,서울특별시 광진구 구의동 249-25,37.541424,127.0867221,548.4,2025-03-10
온달공원,어린이공원,서울특별시 광진구 광장동 242-1,37.54598669,127.1040763,1012.0,2025-03-10
평강공원,어린이공원,서울특별시 광진구 광장동 387-1,37.54811752,127.1005781,325.0,2025-03-10
약초원공원,어린이공원,서울특별시 광진구 자양동 74-21,37.532914,127.0664003,826.0,2025-03-10
정말공원,어린이공원,서울특별시 광진구 자양동 619-20,37.53316616,127.0781758,989.4,2025-03-10
자마장공원,어린이공원,서울특별시 광진구 자양동 630,37.53444854,127.0821916,998.8,2025-03-10
장독골공원,어린이공원,서울특별시 광진구 자양동 804-10,37.5356422,127.0778292,997.4,2025-03-10
언덕배기공원,어린이공원,서울특별시 광진구 자양동 686-52,37.53214981,127.0879487,800.4,2025-03-10
금모래공원,어린이공원,서울특별시 광진구 자양동 651-50,37.53030963,127.0825402,1022.5,2025-03-10
동자공원,어린이공원,서울특별시 광진구 자양동 582-19,37.5318659,127.0742753,985.9,2025-03-10
노유산공원,어린이공원,서울특별시 광진구 자양동 5-7,37.5391102,127.0685096,993.1,2025-03-10
화양동정자마당소공원,소공원,서울특별시 광진구 화양동 110-34,37.54652182,127.0718116,2382.0,2025-03-10
능동정자마당소공원,소공원,서울특별시 광진구 능동 369-12,37.55343589,127.0793355,1518.0,2025-03-10
구의가로휴식소공원,소공원,서울특별시 광진구 구의동 589-4,37.53641296,127.0933277,95.2,2025-03-10
약초원소공원,소공원,서울특별시 광진구 자양동 553-22,37.53498194,127.0679085,1337.0,2025-03-10
세모꼴소공원,소공원,서울특별시 광진구 자양동 859-1,37.53839854,127.0815488,862.0,2025-03-10
능동소공원,소공원,서울특별시 광진구 능동 242-26,37.55243686,127.082877,1062.0,2025-03-10
홍련산의소공원,소공원,서울특별시 광진구 구의동 668-5,37.54613706,127.0886173,1291.1,2025-03-10
뚝섬유원지역쉼터소공원,소공원,서울특별시 광진구 자양동 854-1,37.53189643,127.0673192,802.3,2025-03-10
중곡역소공원(가칭),소공원,서울특별시 광진구 중곡동 30-79,37.56587772,127.0849113662,1276.7,2025-03-10
신양소공원(가칭),소공원,서울특별시 광진구 자양동 510-38,37.53699,127.068941,310.2,2025-03-10
