공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
온수(잣절지구),근린공원,서울특별시 구로구 개봉동 45-2,37.50199617,126.8397231,77320.6,2025-05-29
온수(반달지구),근린공원,서울특별시 구로구 오류동 18-141,37.49947855,126.8418368,1529.2,2025-05-29
온수(궁동지구),근린공원,서울특별시 구로구 오류동 산4,37.49780089,126.8375987,868.0,2025-05-29
온수(벽산지구),근린공원,서울특별시 구로구 온수동 9-44,37.49459859,126.8244691,26074.7,2025-05-29
온수(온수골지구),근린공원,서울특별시 구로구 온수동 산4-25,37.4940823,126.821833,7985.3,2025-05-29
온수(온수체육지구),근린공원,서울특별시 구로구 온수동 산10-4,37.49330391,126.8193736,17413.2,2025-05-29
고척,근린공원,서울특별시 구로구 고척동 산9-14,37.50658242,126.8532783,108120.0,2025-05-29
계남,근린공원,서울특별시 구로구 고척동 산8,37.509285,126.850122,158814.0,2025-05-29
개웅산,근린공원,서울특별시 구로구 개봉동 산53-3,37.48690364,126.8471261,411972.0,2025-05-29
천왕(시)(천왕골),근린공원,서울특별시 구로구 천왕동 173,37.48261513,126.8337054,9908.0,2025-05-29
천왕(시)(항골),근린공원,서울특별시 구로구 항동 147-2,37.47854975,126.8290997,52032.4,2025-05-29
천왕(구),근린공원,서울특별시 구로구 천왕동 276,37.4764232,126.8417584,33677.0,2025-05-29
연지,근린공원,서울특별시 구로구 천왕동 274-2,37.47965771,126.8379653,44478.0,2025-05-29
봉화대,근린공원,서울특별시 구로구 천왕동 산13-1,37.48469858,126.8424192,60975.0,2025-05-29
구로,근린공원,서울특별시 구로구 구로동 102,37.49748278,126.8896027,7901.0,2025-05-29
신도림테크노,근린공원,서울특별시 구로구 구로동 3-33,37.50811753,126.8908707,10482.0,2025-05-29
덕의,근린공원,서울특별시 구로구 고척동 339-4,37.50702571,126.8558381,5565.0,2025-05-29
항동 2호,근린공원,서울특별시 구로구 항동 76-1,37.48192505,126.826833,14425.6,2025-05-29
항동 3호,근린공원,서울특별시 구로구 항동 산50-2,37.4751259,126.8154416,12549.5,2025-05-29
항동 4호,근린공원,서울특별시 구로구 항동 산50-3,37.47418114,126.8176643,14084.4,2025-05-29
항동,근린공원,서울특별시 구로구 오류동 산45-5,37.48925322,126.8273745,10701.0,2025-05-29
대성디큐브시티,문화공원,서울특별시 구로구 신도림동 692-1,37.50923794,126.8902377,3322.0,2025-05-29
오류역,문화공원,서울특별시 구로구 오류동 299-29,37.49463217,126.8455221,7510.0,2025-05-29
고척,문화공원,서울특별시 구로구 고척동 100,37.49813087,126.8585712,3733.0,2025-05-29
항동,체육공원,서울특별시 구로구 항동 162,37.47613508,126.8220008,12813.0,2025-05-29
개봉,기타,서울특별시 구로구 개봉동 492-1,37.49958755,126.849609,3684.6,2025-05-29
개웅,어린이공원,서울특별시 구로구 개봉동 340-8,37.489928,126.852866,1797.4,2025-05-29
소막골,어린이공원,서울특별시 구로구 개봉동 271-17,37.48853123,126.852386,516.0,2025-05-29
절골,어린이공원,서울특별시 구로구 개봉동 312-25,37.482821,126.851652,369.0,2025-05-29
가린열,어린이공원,서울특별시 구로구 개봉동 458-4,37.500611,126.8542042,332.9,2025-05-29
오금,어린이공원,서울특별시 구로구 고척동 57-22,37.505038,126.866221,348.0,2025-05-29
능골,어린이공원,서울특별시 구로구 고척동 220-3,37.506852,126.854254,357.0,2025-05-29
골목,어린이공원,서울특별시 구로구 고척동 224-3,37.507017,126.853545,266.0,2025-05-29
도레미,어린이공원,서울특별시 구로구 고척동 331-1,37.508017,126.852322,326.3,2025-05-29
꿈마을,어린이공원,서울특별시 구로구 구로동 777-1,37.487173,126.8901545,909.0,2025-05-29
환경,어린이공원,서울특별시 구로구 구로동 797-1,37.48502191,126.888408,528.0,2025-05-29
희망,어린이공원,서울특별시 구로구 구로동 745-74,37.48703809,126.886243,669.0,2025-05-29
삼각,어린이공원,서울특별시 구로구 구로동 47,37.50135772,126.8920128,2633.5,2025-05-29
삭새,어린이공원,서울특별시 구로구 궁동 237-6,37.496337,126.825012,2077.0,2025-05-29
수른,어린이공원,서울특별시 구로구 궁동 279-6,37.49794413,126.829601,332.0,2025-05-29
온수,어린이공원,서울특별시 구로구 온수동 73-5,37.494631,126.8177077,475.0,2025-05-29
화원,어린이공원,서울특별시 구로구 구로동 478-1,37.49791653,126.8804405,4544.0,2025-05-29
신도림,어린이공원,서울특별시 구로구 신도림동 646-1,37.51070916,126.8883753,2292.0,2025-05-29
구로리,어린이공원,서울특별시 구로구 구로동 139-82,37.4904165,126.891578,7782.0,2025-05-29
애경,어린이공원,서울특별시 구로구 구로동 501-22,37.500156,126.8846598,2996.0,2025-05-29
미래사랑,어린이공원,서울특별시 구로구 신도림동 314-2,37.50984705,126.8890762,5870.0,2025-05-29
