공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
감로천생태공원,근린공원,서울특별시 금천구 독산동 373,37.46964774,126.9078499,15000.0,2025-08-14
산기슭공원,근린공원,서울특별시 금천구 시흥동 산138-3,37.46364031,126.9076165,8412.0,2025-08-14
금천체육공원,근린공원,서울특별시 금천구 독산동 산118-4,37.468313,126.908522,18083.0,2025-08-14
삼성산시민휴식공원,근린공원,서울특별시 금천구 시흥동 산116,37.454747,126.9100496,10118.0,2025-08-14
독산자연공원,근린공원,서울특별시 금천구 독산동 산89-5,37.47348901,126.9072777,7650.0,2025-08-14
독산근린공원,근린공원,서울특별시 금천구 독산동 1086,37.46327361,126.8849344,18005.5,2025-08-14
금천폭포공원,근린공원,서울특별시 금천구 시흥동 937-2,37.44639673,126.9044447,4835.2,2025-08-14
조마,어린이공원,서울특별시 금천구 가산동 148-11,37.47561479,126.8955477,1003.0,2025-08-14
무아래,어린이공원,서울특별시 금천구 가산동 234-29,37.473337,126.893278,1162.6,2025-08-14
골말,어린이공원,서울특별시 금천구 가산동 28-2,37.482876,126.884528,1485.0,2025-08-14
참새,어린이공원,서울특별시 금천구 독산동 1088-2,37.45695474,126.8871937,1500.1,2025-08-14
파랑새,어린이공원,서울특별시 금천구 독산동 1095-1,37.454889,126.8888743,1500.0,2025-08-14
철쭉,어린이공원,서울특별시 금천구 독산동 1112,37.45288913,126.8896337,1501.6,2025-08-14
두산,어린이공원,서울특별시 금천구 독산동 298-1,37.47303262,126.8942618,974.9,2025-08-14
다람쥐,어린이공원,서울특별시 금천구 독산동 999-11,37.46824515,126.8908193,1019.6,2025-08-14
푸른골,어린이공원,서울특별시 금천구 독산동 1038-9,37.466546,126.9032037,977.3,2025-08-14
무지개,어린이공원,서울특별시 금천구 독산동 1063-14,37.46282267,126.9009392,972.1,2025-08-14
옥계,어린이공원,서울특별시 금천구 독산동 1067-9,37.460149,126.900302,1058.6,2025-08-14
무궁화,어린이공원,서울특별시 금천구 독산동 378-291,37.46442655,126.9044106,1336.0,2025-08-14
정훈,어린이공원,서울특별시 금천구 독산동 378-4,37.46567731,126.9063221,1094.0,2025-08-14
꿈나무,어린이공원,서울특별시 금천구 독산동 378-434,37.46346975,126.9049179,567.0,2025-08-14
목화,어린이공원,서울특별시 금천구 독산동 883-9,37.477455,126.907262,985.8,2025-08-14
동산,어린이공원,서울특별시 금천구 독산동 993-29,37.47292006,126.9059645,1017.2,2025-08-14
남문,어린이공원,서울특별시 금천구 독산동 160-6,37.472321,126.900396,883.6,2025-08-14
구룡,어린이공원,서울특별시 금천구 독산동 964,37.477891,126.9027669,934.9,2025-08-14
반수,어린이공원,서울특별시 금천구 독산동 980-44,37.4740151,126.902233,990.6,2025-08-14
한사랑,어린이공원,서울특별시 금천구 독산동 925-2,37.467716,126.904573,585.9,2025-08-14
쌈지,어린이공원,서울특별시 금천구 독산동 189-1,37.47090493,126.9039831,982.8,2025-08-14
소망,어린이공원,서울특별시 금천구 독산동 196-8,37.46936829,126.9016706,998.0,2025-08-14
남서울,어린이공원,서울특별시 금천구 시흥동 986-2,37.448336,126.902123,1155.7,2025-08-14
새재미,어린이공원,서울특별시 금천구 시흥동 855,37.45884579,126.904239,1185.2,2025-08-14
해태,어린이공원,서울특별시 금천구 시흥동 871-24,37.457773,126.901866,962.6,2025-08-14
부장천,어린이공원,서울특별시 금천구 시흥동 893,37.45266794,126.9044062,944.0,2025-08-14
풍림,어린이공원,서울특별시 금천구 시흥동 1026-3,37.44783408,126.9017969,2195.0,2025-08-14
중앙,어린이공원,서울특별시 금천구 시흥동 1027-2,37.44641126,126.9016027,1515.0,2025-08-14
꾸러기,어린이공원,서울특별시 금천구 시흥동 943-16,37.44316993,126.905877,359.4,2025-08-14
비둘기,어린이공원,서울특별시 금천구 시흥동 947-4,37.441597,126.906264,985.2,2025-08-14
까치,어린이공원,서울특별시 금천구 시흥동 959-2,37.439645,126.904994,925.3,2025-08-14
진달래,어린이공원,서울특별시 금천구 시흥동 970-3,37.434878,126.904883,992.2,2025-08-14
단군,어린이공원,서울특별시 금천구 시흥동 169-21,37.45569721,126.9086585,250.0,2025-08-14
산장,어린이공원,서울특별시 금천구 시흥동 3-17,37.46089265,126.9124998,678.0,2025-08-14
장미,어린이공원,서울특별시 금천구 시흥동 3-82,37.46163335,126.912238,1207.0,2025-08-14
신흥,어린이공원,서울특별시 금천구 시흥동 4-128,37.45990738,126.907849,312.0,2025-08-14
효봉,어린이공원,서울특별시 금천구 시흥동 4-28,37.46069907,126.910507,503.0,2025-08-14
송록,어린이공원,서울특별시 금천구 시흥동 791-35,37.46134022,126.906169,947.1,2025-08-14
느티나무,어린이공원,서울특별시 금천구 시흥동 817,37.45613382,126.906735,939.2,2025-08-14
은행,어린이공원,서울특별시 금천구 시흥동 836,37.45204371,126.9071079,865.0,2025-08-14
별장길,어린이공원,서울특별시 금천구 시흥동 925-32,37.448147,126.908596,971.4,2025-08-14
금나래중앙,문화공원,서울특별시 금천구 독산동 1151,37.45807525,126.8949359,16331.3,2025-08-14
도하,소공원,서울특별시 금천구 독산동 1149,37.458753,126.8953896,3057.7,2025-08-14
박미사랑,소공원,서울특별시 금천구 시흥동 963-1,37.43762998,126.904519,2162.6,2025-08-14
독산,문화공원,서울특별시 금천구 독산동 1160-2,37.46391741,126.8926887,1011.1,2025-08-14
