공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
청량,근린공원,서울특별시 동대문구 청량리동 산1-1,37.59573175,127.0448296,119871.0,2025-06-09
우산각,어린이공원,서울특별시 동대문구 신설동 109-4,37.57385655,127.0241852,5294.2,2025-06-09
느티나무,어린이공원,서울특별시 동대문구 용두동 138-61,37.57898555,127.032565,1719.0,2025-06-09
안골,어린이공원,서울특별시 동대문구 장안동 402,37.56526436,127.0643819,1652.3,2025-06-09
마로니에,어린이공원,서울특별시 동대문구 장안동 325,37.5749393,127.0737198,1656.2,2025-06-09
늘푸른,어린이공원,서울특별시 동대문구 장안동 303,37.57618959,127.0715754,1653.1,2025-06-09
늘봄,어린이공원,서울특별시 동대문구 장안동 343,37.5713224,127.0725893,1659.2,2025-06-09
한내,어린이공원,서울특별시 동대문구 장안동 348,37.56789456,127.0711623,1617.2,2025-06-09
이삭,어린이공원,서울특별시 동대문구 전농동 675,37.57874969,127.0495026,354.2,2025-06-09
쉼터,어린이공원,서울특별시 동대문구 답십리동 952-5,37.56484697,127.0593171,1695.0,2025-06-09
장안,근린공원,서울특별시 동대문구 장안동 300,37.57716529,127.0709026,14744.8,2025-06-09
장평,근린공원,서울특별시 동대문구 장안동 356,37.56748813,127.0737398,15698.4,2025-06-09
미나리,어린이공원,서울특별시 동대문구 장안동 449,37.5638584,127.067902,1636.3,2025-06-09
장미,어린이공원,서울특별시 동대문구 장안동 386,37.5716162,127.0691872,1652.8,2025-06-09
샛별,어린이공원,서울특별시 동대문구 장안동 379,37.5678428,127.0674928,1652.9,2025-06-09
천장,어린이공원,서울특별시 동대문구 이문동 264-181,37.59889444,127.0538436,1656.0,2025-06-09
홍릉,근린공원,서울특별시 동대문구 청량리동 산1-145,37.58958379,127.0435376,102920.0,2025-06-09
답십리,근린공원,서울특별시 동대문구 답십리동 산2-9,37.57332011,127.0638172,160857.6,2025-06-09
배봉산,근린공원,서울특별시 동대문구 전농동 산32-20,37.58121225,127.0675943,232813.7,2025-06-09
미리내,어린이공원,서울특별시 동대문구 장안동 93-29,37.5806911,127.0717358,833.0,2025-06-09
이슬,어린이공원,서울특별시 동대문구 장안동 190-62,37.5678099,127.0635673,336.0,2025-06-09
용머리,어린이공원,서울특별시 동대문구 용두동 696-8,37.57276909,127.0365661,738.5,2025-06-09
장일,어린이공원,서울특별시 동대문구 장안동 164-1,37.5698546,127.0651081,992.0,2025-06-09
아름,어린이공원,서울특별시 동대문구 휘경동 43-275,37.5868279,127.0693157,1116.0,2025-06-09
동산,어린이공원,서울특별시 동대문구 답십리동 998-1,37.5668782,127.0575108,1359.2,2025-06-09
용두희망,어린이공원,서울특별시 동대문구 용두동 715,37.58018269,127.0267395,1291.0,2025-06-09
방아다리,어린이공원,서울특별시 동대문구 제기동 132-1,37.5851297,127.034885,1537.0,2025-06-09
용두,근린공원,서울특별시 동대문구 용두동 34-1,37.57324573,127.0401114,17182.0,2025-06-09
텃골,근린공원,서울특별시 동대문구 전농동 553-1,37.5775463,127.051609,5282.7,2025-06-09
새샘,근린공원,서울특별시 동대문구 답십리동 294-69,37.5689696,127.0549292,8910.1,2025-06-09
장령당,소공원,서울특별시 동대문구 답십리동 1004-4,37.5697319,127.0534939,1424.1,2025-06-09
휘봉,어린이공원,서울특별시 동대문구 휘경동 43-275,37.58689393,127.069321,1398.0,2025-06-09
꿈동산,어린이공원,서울특별시 동대문구 답십리동 1002-1,37.57329025,127.0458182,1570.7,2025-06-09
작은언덕,소공원,서울특별시 동대문구 회기동 351-6,37.5893275,127.0540547,400.0,2025-06-09
아름드리,어린이공원,서울특별시 동대문구 전농동 688-7,37.57902483,127.0596823,2626.5,2025-06-09
선농단,역사공원,서울특별시 동대문구 제기동 274-1,37.58118377,127.0318885,3933.0,2025-06-09
내길,소공원,서울특별시 동대문구 휘경동 368-4,37.59029026,127.0650995,514.9,2025-06-09
진달래,어린이공원,서울특별시 동대문구 휘경동 49-384,37.58449851,127.0686626,2345.0,2025-06-09
솔바람,소공원,서울특별시 동대문구 용두동 794-1,37.57991757,127.030411,1763.2,2025-06-09
샛말,어린이공원,서울특별시 동대문구 전농동 695-1,37.57749,127.0501308,2545.0,2025-06-09
새움,어린이공원,서울특별시 동대문구 답십리동 1009-1,37.57076016,127.0486741,2107.0,2025-06-09
휘경,어린이공원,서울특별시 동대문구 휘경동 372-2,37.59351092,127.0678028,3426.3,2025-06-09
장이,소공원,서울특별시 동대문구 장안동 587-1,37.57441814,127.0705664,1403.6,2025-06-09
휘경마당,소공원,서울특별시 동대문구 휘경동 375-1,37.59108223,127.0611301,654.0,2025-06-09
용두5구역,어린이공원,서울특별시 동대문구 용두동 795-2,37.57114658,127.0285473,4063.0,2025-06-09
용두6구역,소공원,서울특별시 동대문구 용두동 765-12,37.5789782,127.026565,1865.0,2025-06-09
용두6구역 대체공원,소공원,서울특별시 동대문구 답십리동 53-43,37.57234275,127.0583286,142.0,2025-06-09
간데메,근린공원,서울특별시 동대문구 답십리동 471,37.57278098,127.0490643,15179.7,2025-06-09
푸르미르,기타(가로공원),서울특별시 동대문구 용두동 798-2,37.57786417,127.0431956,3303.9,2025-06-09
한별,어린이공원,서울특별시 동대문구 용두동 795-1,37.571552,127.0281015,1857.2,2025-06-09
