공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
제비,어린이공원,서울특별시 동작구 대방동 362-11,37.506438,126.925844,1813.9,2026-03-18
상도,근린공원,서울특별시 동작구 상도동 산75,37.49321807,126.9384079,359342.8,2026-03-18
노량진,근린공원,서울특별시 동작구 노량진동 225-291,37.509371,126.943688,413203.0,2026-03-18
용봉정,근린공원,"서울특별시 동작구 본동 산3-9일대, 흑석동 141-2일대",37.511663,126.958792,80804.2,2026-03-18
현충,근린공원,서울특별시 동작구 사당동 산24-17,37.48538566,126.9757312,1106402.2,2026-03-18
사육신,역사공원,서울특별시 동작구 노량진동 155-1,37.51345628,126.9494127,47832.0,2026-03-18
꿈동산,어린이공원,서울특별시 동작구 상도동 426,37.50336478,126.9543235,613.8,2026-03-18
해님,어린이공원,서울특별시 동작구 상도1동 424,37.5015852,126.951273,876.0,2026-03-18
별님,어린이공원,서울특별시 동작구 상도4동 211-415,37.498885,126.944953,259.0,2026-03-18
삼일,근린공원,서울특별시 동작구 사당동 산32,37.483419,126.966736,36660.0,2026-03-18
까치,어린이공원,서울특별시 동작구 사당동 1028-1,37.48053895,126.979537,1604.3,2026-03-18
까치산,근린공원,서울특별시 동작구 흑석동141-2일대,37.51066813,126.9627656,384026.0,2026-03-18
은하수,어린이공원,서울특별시 동작구 신대방동 492-222외 1,37.494528,126.912513,4726.0,2026-03-18
장미,어린이공원,서울특별시 동작구 상도동 380-2,37.49366825,126.936031,410.5,2026-03-18
노루,어린이공원,서울특별시 동작구 사당동 316-23,37.48182555,126.974225,337.0,2026-03-18
새싹,어린이공원,서울특별시 동작구 사당동 316-33,37.479905,126.973124,780.0,2026-03-18
꿈돌이,어린이공원,서울특별시 동작구 사당동 300-26,37.48033513,126.9699916,761.0,2026-03-18
동산,어린이공원,서울특별시 동작구 사당동 1000,37.47945513,126.9697982,466.1,2026-03-18
토끼,어린이공원,서울특별시 동작구 사당동 1000-13,37.47817735,126.970241,821.7,2026-03-18
참새,어린이공원,서울특별시 동작구 대방동 414-29 외 5,37.498336,126.921885,2982.7,2026-03-18
양지,어린이공원,서울특별시 동작구 사당동 316-37,37.4798868,126.974021,568.0,2026-03-18
새벽,어린이공원,서울특별시 동작구 상도동 335-141,37.50092249,126.930155,496.0,2026-03-18
옹달샘,어린이공원,서울특별시 동작구 상도동 299-193,37.49518283,126.929617,445.0,2026-03-18
동작주차,근린공원,서울특별시 동작구 동작동 326외 1,37.503828,126.977294,42220.0,2026-03-18
샛별,어린이공원,서울특별시 동작구 사당동 1144,37.48740186,126.965401,344.7,2026-03-18
반달,어린이공원,서울특별시 동작구 사당동 233-12,37.48355007,126.967932,182.0,2026-03-18
늘푸른,어린이공원,서울특별시 동작구 사당동 산32-76,37.48244858,126.9690493,1503.0,2026-03-18
본동,어린이공원,서울특별시 동작구 본동 483,37.51062857,126.9544535,2195.5,2026-03-18
개나리,어린이공원,서울특별시 동작구 사당동 1138-1,37.48622359,126.965684,454.0,2026-03-18
청명,어린이공원,서울특별시 동작구 신대방동 719-1,37.487572,126.9080022,1024.0,2026-03-18
해당화,어린이공원,서울특별시 동작구 신대방동 719-3,37.48687458,126.905905,374.0,2026-03-18
비계,소공원,서울특별시 동작구 흑석동 335-7,37.505468,126.966378,298.4,2026-03-18
태양,어린이공원,서울특별시 동작구 상도동 527-1외 2,37.506795,126.944663,1514.5,2026-03-18
서달,소공원,서울특별시 동작구 흑석동 339-4,37.50115916,126.9599134,254.8,2026-03-18
희망,어린이공원,서울특별시 동작구 동작동 333-3,37.49388882,126.9801298,2654.3,2026-03-18
남성,소공원,서울특별시 동작구 사당동 1131-17(영아),37.48499215,126.9721592,924.1,2026-03-18
충효,소공원,서울특별시 동작구 본동 494-9,37.51401526,126.950109,1081.8,2026-03-18
꿈나무,어린이공원,서울특별시 동작구 상도동 521-1,37.50329035,126.9427329,1500.0,2026-03-18
빙수골,소공원,서울특별시 동작구 상도동 296-6,37.49668291,126.932279,822.0,2026-03-18
국화원,소공원,서울특별시 동작구 상도동 529-1 상도두산위브아파트,37.50479617,126.942298,757.0,2026-03-18
흐리목,소공원,서울특별시 동작구 상도동 531-2,37.49448602,126.9530398,1869.7,2026-03-18
까망돌,어린이공원,서울특별시 동작구 흑석동 335-10,37.506578,126.964102,1904.5,2026-03-18
해밀,어린이공원,서울특별시 동작구 사당동 1157-1,37.48852684,126.9744312,2392.0,2026-03-18
영도,소공원,서울특별시 동작구 상도동 535-6,37.50338581,126.9411913,1737.0,2026-03-18
나비,소공원,서울특별시 동작구 상도동 535-3,37.50334639,126.943593,564.1,2026-03-18
꽃담길,소공원,서울특별시 동작구 상도동 25-8,37.505644,126.942102,206.0,2026-03-18
흑석,소공원,서울특별시 동작구 흑석동 186-135,37.50916104,126.957863,442.0,2026-03-18
칸나,소공원,서울특별시 동작구 신대방동 698,37.48562691,126.9043083,241.0,2026-03-18
꿈나래,어린이공원,서울특별시 동작구 상도동 36-1,37.5052677,126.9481801,1720.2,2026-03-18
새빛,소공원,서울특별시 동작구 사당동 164-1,37.48733571,126.9744112,1680.0,2026-03-18
까막골,소공원,서울특별시 동작구 흑석동 231-31,37.5045058,126.9605347,1420.1,2026-03-18
비둘기,어린이공원,서울특별시 동작구 상도1동 558,37.505903,126.9517486,2114.7,2026-03-18
