공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
현석어린이공원,어린이공원,서울특별시 마포구 현석동 1-5,37.544342,126.933325,1622.0,2025-12-03
창전어린이공원,어린이공원,서울특별시 마포구 창전동 35-28,37.550161,126.929162,1185.0,2025-12-03
와우어린이공원,어린이공원,서울특별시 마포구 상수동 72-7,37.548829,126.925356,2924.0,2025-12-03
서교어린이공원,어린이공원,서울특별시 마포구 서교동 391-1,37.552019,126.915475,1761.0,2025-12-03
잔다리어린이공원,어린이공원,서울특별시 마포구 서교동 479-1,37.554524,126.9125323,774.0,2025-12-03
윗잔다리어린이공원,어린이공원,서울특별시 마포구 동교동 168-1,37.557013,126.925668,3251.0,2025-12-03
동교어린이공원,어린이공원,서울특별시 마포구 동교동 197-17,37.560093,126.923451,978.0,2025-12-03
합정어린이공원,어린이공원,서울특별시 마포구 서교동 489,37.551673,126.913138,3005.0,2025-12-03
양화어린이공원,어린이공원,서울특별시 마포구 합정동 394-1,37.55035357,126.908449,1388.0,2025-12-03
한마음어린이공원,어린이공원,서울특별시 마포구 망원동 381-1,37.554689,126.908012,770.0,2025-12-03
옹달샘어린이공원,어린이공원,서울특별시 마포구 망원동 408-3,37.555005,126.902213,1134.0,2025-12-03
두리어린이공원,어린이공원,서울특별시 마포구 망원2동 436-1,37.560249,126.901287,1007.0,2025-12-03
망원새싹어린이공원,어린이공원,서울특별시 마포구 망원2동 509-1,37.559072,126.898531,559.0,2025-12-03
느티나무어린이공원,어린이공원,서울특별시 마포구 연남동 563-5,37.559509,126.918717,993.0,2025-12-03
은행나무어린이공원,어린이공원,서울특별시 마포구 연남동 250-1,37.564634,126.922412,994.0,2025-12-03
다솜어린이공원,어린이공원,서울특별시 마포구 성산동 113-2,37.562273,126.915497,975.0,2025-12-03
뒤뜰어린이공원,어린이공원,서울특별시 마포구 성산동 588-8,37.563171,126.909337,530.0,2025-12-03
외주목어린이공원,어린이공원,서울특별시 마포구 성산동 587-18 일대,37.562753,126.907962,263.0,2025-12-03
성메어린이공원,어린이공원,서울특별시 마포구 성산동 667-1,37.568099,126.914835,640.0,2025-12-03
성황당어린이공원,어린이공원,서울특별시 마포구 성산동 147-5,37.569036,126.907328,1367.0,2025-12-03
큰길어린이공원,어린이공원,서울특별시 마포구 성산동 200-50,37.567792,126.9082419,942.0,2025-12-03
쌍둥이어린이공원,어린이공원,서울특별시 마포구 성산동 200-335,37.565742,126.906753,905.0,2025-12-03
성사천어린이공원,어린이공원,서울특별시 마포구 성산동 199-11,37.565373,126.904868,166.0,2025-12-03
중동소어린이공원,어린이공원,서울특별시 마포구 중동 36-27,37.57067636,126.906726,779.0,2025-12-03
중동어린이공원,어린이공원,서울특별시 마포구 중동 228,37.568461,126.910438,377.0,2025-12-03
샘터어린이공원,어린이공원,서울특별시 마포구 중동 36-34,37.569894,126.906749,123.0,2025-12-03
개나리어린이공원,어린이공원,서울특별시 마포구 중동 40-5 일대,37.569918,126.909182,1481.0,2025-12-03
새누리어린이공원,어린이공원,서울특별시 마포구 상암동 1619,37.575503,126.898226,2897.0,2025-12-03
휴암어린이공원,어린이공원,서울특별시 마포구 상암동 14-5,37.577136,126.895662,921.0,2025-12-03
부엉바위어린이공원,어린이공원,서울특별시 마포구 상암동 1636,37.575395,126.892472,1511.0,2025-12-03
물치어린이공원,어린이공원,서울특별시 마포구 상암동 1656,37.577694,126.887921,1522.0,2025-12-03
귀리어린이공원,어린이공원,서울특별시 마포구 상암동 1681,37.581473,126.880714,1504.0,2025-12-03
상암공원,근린공원,서울특별시 마포구 상암동 산26-39,37.578696,126.883265,161153.0,2025-12-03
매봉산공원,근린공원,서울특별시 마포구 상암동 1631,37.573807,126.8955799,13137.0,2025-12-03
구룡공원,근린공원,서울특별시 마포구 상암동 1583,37.582791,126.883713,14287.0,2025-12-03
와우공원,근린공원,서울특별시 마포구 창전동 3-231 등 59필지,37.552344,126.928984,73590.0,2025-12-03
부엉이공원,근린공원,서울특별시 마포구 상암동 1735,37.58464695,126.8832829,17640.0,2025-12-03
성산공원,근린공원,서울특별시 마포구 성산동 산11-1 등 38필지,37.562212,126.909895,103962.0,2025-12-03
쌍룡산공원,근린공원,서울특별시 마포구 아현동 768,37.552928,126.950388,5791.0,2025-12-03
샛터공원,근린공원,서울특별시 마포구 성산동 200-326 등 19필지,37.566196,126.906188,31100.0,2025-12-03
노고산공원,근린공원,서울특별시 마포구 대흥동 산1-30등17필지,37.551503,126.943063,528936.0,2025-12-03
큰더기어린이공원,어린이공원,서울특별시 마포구 공덕동 470-1,37.550169,126.953199,1949.0,2025-12-03
공덕역어린이공원,어린이공원,"서울특별시 마포구 공덕동 467-1,2,3",37.545107,126.951301,2435.0,2025-12-03
마포어린이공원,어린이공원,서울특별시 마포구 마포동 350-5,37.535803,126.943667,2030.0,2025-12-03
복사꽃어린이공원,어린이공원,서울특별시 마포구 도화동 533,37.538935,126.946352,1553.0,2025-12-03
도화소어린이공원,어린이공원,서울특별시 마포구 도화동 540,37.541053,126.945355,1646.0,2025-12-03
삼개어린이공원,어린이공원,서울특별시 마포구 도화동 555-1,37.540357,126.945076,3029.0,2025-12-03
대흥어린이공원,어린이공원,서울특별시 마포구 대흥동 660-1,37.543749,126.943687,1486.0,2025-12-03
목련어린이공원,어린이공원,서울특별시 마포구 상암동 1742,37.58737473,126.880225,1501.0,2025-12-03
산수유어린이공원,어린이공원,서울특별시 마포구 상암동 1744,37.585485,126.879008,2011.0,2025-12-03
산딸나무어린이공원,어린이공원,서울특별시 마포구 상암동 1753,37.583547,126.877927,1499.0,2025-12-03
애오개도담어린이공원,어린이공원,서울특별시 마포구 아현동 800-6,37.553433,126.958529,3212.0,2025-12-03
쌍룡산어린이공원,어린이공원,서울특별시 마포구 아현동 769,37.552173,126.950512,5911.0,2025-12-03
토정어린이공원,어린이공원,서울특별시 마포구 용강동 63-2,37.540558,126.943411,2631.0,2025-12-03
애오개어린이공원,어린이공원,서울특별시 마포구 아현동 802번지 일대,37.555353,126.958672,1424.0,2025-12-03
망원어린이공원,어린이공원,서울특별시 마포구 망원동 458-64,37.552132,126.904303,2862.0,2025-12-03
광흥창어린이공원,어린이공원,서울특별시 마포구 창전동 26-1,37.549512,126.930846,1353.0,2025-12-03
신수어린이공원,어린이공원,서울특별시 마포구 신수동 95-5일원,37.550366,126.933878,3792.2,2025-12-03
염리어린이공원,어린이공원,서울특별시 마포구 염리동 533-10,37.549782,126.9464197,1933.0,2025-12-03
공덕소공원,소공원,서울특별시 마포구 공덕동 475-1일대,37.548506,126.954637,1310.0,2025-12-03
만리재소공원,소공원,서울특별시 마포구 신공덕동 176,37.544438,126.955226,883.0,2025-12-03
단풍소공원,소공원,서울특별시 마포구 공덕동 470-3,37.548729,126.953344,274.0,2025-12-03
아현새싹소공원,소공원,서울특별시 마포구 아현동 786,37.551847,126.954409,613.0,2025-12-03
아현초록소공원,소공원,서울특별시 마포구 아현동 776,37.554389,126.953208,1035.0,2025-12-03
용강나루소공원,소공원,서울특별시 마포구 용강동 506,37.541863,126.942271,1088.0,2025-12-03
용강소공원,소공원,서울특별시 마포구 용강동 507,37.543026,126.940308,951.0,2025-12-03
대흥소공원,소공원,서울특별시 마포구 대흥동 804-4,37.548567,126.941091,1820.0,2025-12-03
복자기소공원,소공원,서울특별시 마포구 신수동 460,37.545885,126.936601,707.0,2025-12-03
상수나루소공원,소공원,서울특별시 마포구 상수동 402-2,37.54610993,126.926336,1359.0,2025-12-03
상수소공원,소공원,서울특별시 마포구 상수동 399,37.545926,126.927163,1413.0,2025-12-03
산사나무소공원,소공원,서울특별시 마포구 상암동 1618-1,37.575268,126.896265,714.0,2025-12-03
현석소공원,소공원,서울특별시 마포구 현석동 225-2일대,37.542983,126.934492,6038.0,2025-12-03
노고산소공원,소공원,서울특별시 마포구 노고산동 57-53,37.555063,126.935013,1510.0,2025-12-03
무쇠막소공원,소공원,서울특별시 마포구 노고산동 123-1일원,37.552612,126.934174,449.1,2025-12-03
독막소공원,소공원,서울특별시 마포구 대흥동 18-101일대,37.554491,126.943779,2626.0,2025-12-03
아소정소공원,소공원,서울특별시 마포구 공덕동 479-1,37.545468,126.9481693,1454.8,2025-12-03
큰우물소공원,소공원,서울특별시 마포구 공덕동 479-4,37.545536,126.9496393,547.4,2025-12-03
소금동네소공원,소공원,서울특별시 마포구 염리동 532-8,37.554097,126.9462813,1217.9,2025-12-03
쌍룡산소공원,소공원,서울특별시 마포구 염리동 533-1,37.55174941,126.9501341,885.9,2025-12-03
밤섬문화공원,문화공원,서울특별시 마포구 신정동 76-1,37.542784,126.931869,1638.0,2025-12-03
서강나루문화공원,문화공원,서울특별시 마포구 창전동 165-5,37.54527293,126.931077,2429.0,2025-12-03
당인동문화공원,문화공원,서울특별시 마포구 당인동 27-9,37.545411,126.920154,301.0,2025-12-03
가온문화공원,문화공원,서울특별시 마포구 상암동 1594,37.581827,126.887611,4631.0,2025-12-03
DMC문화공원,문화공원,서울특별시 마포구 상암동 1611,37.578087,126.892245,3829.0,2025-12-03
물빛문화공원,문화공원,서울특별시 마포구 상암동 1608+1609,37.58003606,126.893162,5827.0,2025-12-03
휴암문화공원,문화공원,서울특별시 마포구 상암동 670,37.584722,126.8781707,5285.0,2025-12-03
홍익문화공원,문화공원,서울특별시 마포구 서교동 359,37.552186,126.922987,2230.0,2025-12-03
양화진역사공원,역사공원,서울특별시 마포구 합정동 139-21 일대,37.545546,126.911201,4804.0,2025-12-03
외국인묘지공원,묘지공원,서울특별시 마포구 합정동145-3 등 10필지,37.546524,126.911775,13224.0,2025-12-03
아현어울림소공원,소공원,서울특별시 마포구 아현동 591-62일대,37.5563985,126.9507057,4429.6,2025-12-03
