공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
궁동,근린공원,서울특별시 서대문구 연희동 산118-1,37.56861286,126.9196524,126026.0,2025-08-22
독립,근린공원,서울특별시 서대문구 현저동 101,37.57460851,126.9556118,113021.7,2025-08-22
백련,근린공원,서울특별시 서대문구 홍은동 산11-313,37.59062231,126.9333664,993724.0,2025-08-22
복주산,근린공원,서울특별시 서대문구 북아현동176-25,37.574878,126.913075,11430.0,2025-08-22
중앙,근린공원,서울특별시 서대문구 북가좌동 480,37.57514307,126.9133826,15466.0,2025-08-22
창천,근린공원,서울특별시 서대문구 창천동 4-55,37.5578737345,126.9402803289,6322.0,2025-08-22
홍제,근린공원,서울특별시 서대문구 홍제동 454-2,37.5948548479,126.9530472071,9888.0,2025-08-22
대현,문화공원,서울특별시 서대문구 대현동 146,37.5577976902,126.9454775012,3063.9,2025-08-22
독립문,문화공원,서울특별시 서대문구 영천동 265,37.556869,126.935113,2635.0,2025-08-22
창천,문화공원,서울특별시 서대문구 창천동 57-18,37.55685968,126.935118,2326.9,2025-08-22
구청3별관,소공원,서울특별시 서대문구 연희동 169-32,37.5794409703,126.9359586806,357.0,2025-08-22
기차길옆,소공원,서울특별시 서대문구 합동 118-1,37.5622254317,126.9653523286,381.3,2025-08-22
남가좌동소공원,소공원,서울특별시 서대문구 남가좌동 388-7,37.5807093619,126.9196878887,402.0,2025-08-22
무궁화,소공원,서울특별시 서대문구 홍제동 451-1,37.594565,126.94881,672.0,2025-08-22
문화,소공원,서울특별시 서대문구 홍제동 280-2,37.59467058,126.948759,1456.0,2025-08-22
아름다운,소공원,서울특별시 서대문구 홍제동 469-1,37.5848519282,126.9471887554,441.5,2025-08-22
아현역,소공원,서울특별시 서대문구 북아현동136-3,37.58076,126.919715,563.0,2025-08-22
연가,소공원,서울특별시 서대문구 남가좌동 388-7,37.5807093619,126.9196878887,402.0,2025-08-22
하늘,소공원,서울특별시 서대문구 홍은동 445-3,37.571701,126.91542,1375.0,2025-08-22
한울,소공원,서울특별시 서대문구 남가좌동 382-5,37.5708440375,126.9165656268,1006.0,2025-08-22
홍은3,소공원,서울특별시 서대문구 홍은동 산1-549,37.5996593129,126.943399505,747.0,2025-08-22
홍은14구역,소공원,서울특별시 서대문구 홍은동 24-12,37.59278,126.940705,1371.0,2025-08-22
홍은1구역,소공원,서울특별시 서대문구 홍은동 97-9,37.5927648608,126.9407005481,841.0,2025-08-22
홍은6구역1,소공원,서울특별시 서대문구 홍은동 13-39,37.6006211857,126.944493812,396.0,2025-08-22
홍은6구역2,소공원,서울특별시 서대문구 홍은동 15-27,37.5994337583,126.9443681229,299.0,2025-08-22
홍제2구역,소공원,서울특별시 서대문구 홍제동 156-145,37.589198,126.946179,188.0,2025-08-22
홍제제3구역 소공원,소공원,서울특별시 서대문구 홍제동 237-2,37.58920185,126.9461696,2922.0,2025-08-22
가재울,어린이공원,서울특별시 서대문구 남가좌동 385-2,37.5730923176,126.9191177351,9508.0,2025-08-22
가좌,어린이공원,서울특별시 서대문구 남가좌동 376-4,37.5758499539,126.9205374332,1665.0,2025-08-22
갈매연,어린이공원,서울특별시 서대문구 남가좌동 377,37.5784941245,126.9173895829,1653.0,2025-08-22
거꾸로,어린이공원,서울특별시 서대문구 북가좌동 338-21,37.58503469,126.9132171,1125.3,2025-08-22
궁뜰,어린이공원,서울특별시 서대문구 연희동 123-5,37.5690194186,126.9304024051,983.8,2025-08-22
궁말,어린이공원,서울특별시 서대문구 연희동 86-3,37.5710871432,126.9336095869,886.9,2025-08-22
나비울,어린이공원,서울특별시 서대문구 북가좌동 475,37.5748096667,126.9096220861,6757.0,2025-08-22
