공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
반  포,근린공원,서울특별시 서초구 반포동 114-3,37.49885315,126.9905157,26092,2025-08-07
방아다리1,근린공원,서울특별시 서초구 양재동 62,37.47833589,127.0355876,2871,2025-08-07
방아다리2,근린공원,서울특별시 서초구 양재동 72,37.47804736,127.0352143,2934,2025-08-07
양재천,근린공원,서울특별시 서초구 양재동 261-22,37.47661941,127.0422083,19258,2025-08-07
마  방,근린공원,서울특별시 서초구 양재동 237,37.47230907,127.0382419,6547,2025-08-07
양  재,근린공원,서울특별시 서초구 양재동 311,37.47189342,127.0424301,32523,2025-08-07
용허리,근린공원,서울특별시 서초구 서초동 1324-1,37.49428074,127.0230154,4642,2025-08-07
명  달,근린공원,서울특별시 서초구 서초동 1313-17,37.49905292,127.0211215,5466,2025-08-07
사평리,근린공원,서울특별시 서초구 잠원동 51-3,37.51987691,127.0147323,1914,2025-08-07
잠  원,근린공원,서울특별시 서초구 잠원동 62-5,37.51292423,127.010142,2374,2025-08-07
신  동,근린공원,서울특별시 서초구 잠원동 58-14,37.51436201,127.0145571,6648,2025-08-07
고인돌,근린공원,서울특별시 서초구 양재동 390,37.4712537,127.0467744,4579,2025-08-07
바우뫼,근린공원,서울특별시 서초구 양재동 105,37.47456671,127.0344603,16386,2025-08-07
서래골,근린공원,서울특별시 서초구 반포동 63-2,37.50162963,127.0030008,4691,2025-08-07
명  주,근린공원,서울특별시 서초구 잠원동 50-4,37.51717497,127.0151419,4953,2025-08-07
신반포,근린공원,서울특별시 서초구 반포동 18-5,37.50164463,126.998977,13607,2025-08-07
원  촌,근린공원,서울특별시 서초구 반포동 20-46,37.50591734,127.0102449,9942,2025-08-07
태  봉,근린공원,서울특별시 서초구 우면동 694,37.46382044,127.0227555,26556,2025-08-07
섬  들,근린공원,서울특별시 서초구 우면동 729,37.46274966,127.0264455,15590,2025-08-07
망  루,근린공원,서울특별시 서초구 우면동 703,37.46410507,127.0203438,56497,2025-08-07
송  동,근린공원,서울특별시 서초구 우면동 777,37.45879452,127.0203373,27473,2025-08-07
세  빛,근린공원,서울특별시 서초구 반포동 2-15,37.50490907,126.9921285,3452,2025-08-07
서리풀,근린공원,서울특별시 서초구 방배동 산23-1,37.48465445,127.0004196,465938,2025-08-07
도구머리,근린공원,서울특별시 서초구 방배동 산75-1,37.47955763,126.9881614,69578,2025-08-07
뒷  벌,어린이공원,서울특별시 서초구 방배동 821-1,37.49090764,126.9869296,5795,2025-08-07
청  두,어린이공원,서울특별시 서초구 방배동 463-14,37.48062644,126.9850072,1658,2025-08-07
가  꿀,어린이공원,서울특별시 서초구 방배동 859-1,37.48797031,126.9875858,994,2025-08-07
새  말,어린이공원,서울특별시 서초구 방배동 794-16,37.49331535,126.9886123,985,2025-08-07
너른골,어린이공원,서울특별시 서초구 방배동 144-18,37.48755334,126.9947018,1216,2025-08-07
정  문,어린이공원,서울특별시 서초구 방배동 985-3,37.48115675,126.9996186,993,2025-08-07
안  산,어린이공원,서울특별시 서초구 방배동 979-44,37.480099,126.9924823,1616,2025-08-07
방  현,어린이공원,서울특별시 서초구 방배동 537-50,37.47849967,126.9916733,1782,2025-08-07
동  덕,어린이공원,서울특별시 서초구 방배동 593-43,37.47556272,126.9937092,936,2025-08-07
사도감,어린이공원,서울특별시 서초구 서초동 1359-12,37.4857832,127.0312471,947,2025-08-07
예  술,어린이공원,서울특별시 서초구 서초동 1455-4,37.48330429,127.0146705,1006,2025-08-07
신  중,어린이공원,서울특별시 서초구 서초동 1484-14,37.48237076,127.010693,975,2025-08-07
장  안,어린이공원,서울특별시 서초구 서초동 1556-5,37.49169948,127.011444,969,2025-08-07
마산말,어린이공원,서울특별시 서초구 서초동 1343-8,37.48719478,127.0267204,985,2025-08-07
분토골,어린이공원,서울특별시 서초구 서초동 1627-4,37.48837886,127.017457,999,2025-08-07
상명달,어린이공원,서울특별시 서초구 서초동 1488-4,37.48215525,127.0056396,992,2025-08-07
궁  현,어린이공원,서울특별시 서초구 서초동 1547-2,37.48834283,127.0103823,986,2025-08-07
하명달,어린이공원,서울특별시 서초구 서초동 1518-1,37.48583499,127.0054546,992,2025-08-07
당  골,어린이공원,서울특별시 서초구 서초동 1436-6,37.48545764,127.022509,1616,2025-08-07
고무래,어린이공원,서울특별시 서초구 반포동 30-5,37.50354045,127.0154238,5507,2025-08-07
싸리재,어린이공원,서울특별시 서초구 잠원동 30-10,37.51342232,127.0182498,992,2025-08-07
주  흥,어린이공원,서울특별시 서초구 잠원동 33-6,37.51213309,127.0166762,959,2025-08-07
언구비,어린이공원,서울특별시 서초구 반포동 720,37.50893407,127.0201712,1032,2025-08-07
청  룡,어린이공원,서울특별시 서초구 반포동 86-1,37.49587178,126.9997213,945,2025-08-07
서  래,어린이공원,서울특별시 서초구 반포동 71-6,37.49827251,127.0003099,997,2025-08-07
종  열,어린이공원,서울특별시 서초구 양재동 103-4,37.47404511,127.0337157,848,2025-08-07
암  산,어린이공원,서울특별시 서초구 우면동 46-12,37.47327477,127.0256786,1506,2025-08-07
