공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
응봉,근린공원,,37.55374193,127.0273495,417284.88,2025-06-19
달맞이,근린공원,서울특별시 성동구 금호동4가 산 27,37.5433496,127.0193024,63411.43,2025-06-19
무학봉,근린공원,서울특별시 성동구 하왕십리동 890-243,37.56123125,127.0259523,28843.0,2025-06-19
금호,근린공원,서울특별시 성동구 금호동3가 1266,37.54904117,127.0190199,13467.8,2025-06-19
용답휴식,근린공원,서울특별시 성동구 용답동 128-3,37.56999106,127.0468202,6046.9,2025-06-19
성수,근린공원,서울특별시 성동구 성수동2가 302-25,37.54477086,127.0518411,5197.7,2025-06-19
성원,어린이공원,서울특별시 성동구 성수동1가 13-21,37.55011556,127.0499031,982.5,2025-06-19
동마장,어린이공원,서울특별시 성동구 마장동 780-1,37.56622804,127.0456969,1090.9,2025-06-19
응봉새말,어린이공원,서울특별시 성동구 응봉동 228-23,37.55186593,127.035857,311.0,2025-06-19
사근,어린이공원,서울특별시 성동구 사근동 291-10,37.563417,127.0475948,496.0,2025-06-19
마장,어린이공원,서울특별시 성동구 마장동 399-102,37.56233458,127.0415003,911.0,2025-06-19
성삼,어린이공원,서울특별시 성동구 성수동2가 273-11,37.54195313,127.0606155,1812.2,2025-06-19
은행나무터,어린이공원,서울특별시 성동구 성수동2가 316-9,37.54369439,127.0537509,675.4,2025-06-19
아남,어린이공원,서울특별시 성동구 성수동2가 280-12,37.54732598,127.0646691,984.1,2025-06-19
열림,어린이공원,서울특별시 성동구 성수2가1동 327-3,37.53962218,127.056782,198.0,2025-06-19
응봉개나리,어린이공원,서울특별시 성동구 응봉동 270,37.54866971,127.0318722,462.0,2025-06-19
서마장,어린이공원,서울특별시 성동구 마장동 450-67,37.57152303,127.0374347,350.3,2025-06-19
송정,어린이공원,서울특별시 성동구 송정동 90-4,37.55519167,127.0703837,236.4,2025-06-19
미소,어린이공원,서울특별시 성동구 하왕십리동 1055,37.56051006,127.0235037,3411.0,2025-06-19
응삼,어린이공원,서울특별시 성동구 응봉동 15-1,37.55433983,127.0348842,1646.7,2025-06-19
상원,어린이공원,서울특별시 성동구 성수동1가 715-1,37.54753298,127.0483982,2636.0,2025-06-19
보람,어린이공원,서울특별시 성동구 마장동 827,37.56613727,127.0381819,823.3,2025-06-19
무지개,어린이공원,서울특별시 성동구 성수동2가 844,37.54157394,127.0534386,2143.0,2025-06-19
도장골,소공원,서울특별시 성동구 행당동 346-2,37.55480888,127.0273997,678.3,2025-06-19
도선,어린이공원,서울특별시 성동구 홍익동 370,37.56550468,127.031418,2332.5,2025-06-19
살구골,어린이공원,서울특별시 성동구 행당동 376-3,37.55573009,127.0335764,1573.9,2025-06-19
금동,어린이공원,서울특별시 성동구 금호동2가 1218,37.54942229,127.0256915,2591.0,2025-06-19
논골새싹,어린이공원,서울특별시 성동구 행당동 347-2,37.55751131,127.0250458,2837.1,2025-06-19
꽃재,어린이공원,서울특별시 성동구 하왕십리동 1069,37.56781934,127.0278897,2810.0,2025-06-19
전관원,어린이공원,서울특별시 성동구 행당동 90-2,37.55467447,127.0404902,4760.0,2025-06-19
동부,소공원,서울특별시 성동구 성수동1가 656-1735,37.54524583,127.0474356,251.0,2025-06-19
청송,소공원,서울특별시 성동구 성수동2가 277-23,37.54599593,127.0587894,798.7,2025-06-19
향림,소공원,서울특별시 성동구 성수동2가 289-28,37.54703666,127.0533154,987.8,2025-06-19
장미,소공원,서울특별시 성동구 송정동 107,37.5522684,127.0694222,485.4,2025-06-19
금옥,소공원,서울특별시 성동구 금호동2가 1213,37.55306047,127.0214356,1230.0,2025-06-19
금남,소공원,서울특별시 성동구 금호동3가 701,37.55054813,127.0213924,834.0,2025-06-19
옥정,소공원,서울특별시 성동구 옥수동 562-1,37.5458337,127.0153489,711.76,2025-06-19
매봉,소공원,서울특별시 성동구 옥수동 561-1,37.54729549,127.0121475,2006.7,2025-06-19
왕십리 KCC스위첸,소공원,서울특별시 성동구 하왕십리동 1002-1,37.56067856,127.0268748,1514.1,2025-06-19
뉴타운2구역,기타,서울특별시 성동구 상왕십리동 811-3,37.56782502,127.0250536,2517.0,2025-06-19
뉴타운1구역,기타,서울특별시 성동구 하왕십리동 1066-1,37.56782502,127.0250536,2452.4,2025-06-19
청계꿈나무,어린이공원,서울특별시 성동구 하왕십리동 1068,37.56781934,127.0278905,1705.0,2025-06-19
푸른,어린이공원,서울특별시 성동구 금호동4가 235-3,37.54733277,127.0235968,1681.8,2025-06-19
견우,어린이공원,서울특별시 성동구 상왕십리동 816-3,37.5665905,127.0240825,1500.0,2025-06-19
직녀,어린이공원,서울특별시 성동구 하왕십리동 1070-5,37.5667467,127.0278177,1500.0,2025-06-19
트리마제,소공원,서울특별시 성동구 성수동1가 718,37.53923821,127.0446715,2762.8,2025-06-19
하왕1-5구역,소공원,서울특별시 성동구 하왕십리동 1071-2,37.56007539,127.0241246,1451.1,2025-06-19
행당4구역,소공원,서울특별시 성동구 행당동 323-24,37.5555693,127.0320798,1235.0,2025-06-19
