공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
샛별,어린이공원,서울특별시 성북구 석관동 168-86,37.614016,127.0642987,1638.0,2025-12-14
돌뫼,어린이공원,서울특별시 성북구 석관동 산1-77,37.60510034,127.0528072,350.0,2025-12-14
새소리,어린이공원,서울특별시 성북구 돈암동 626-2,37.600751,127.0254039,1371.0,2025-12-14
종암,어린이공원,서울특별시 성북구 종암동 104-6,37.60012565,127.0372515,1514.0,2025-12-14
솔향기,어린이공원,서울특별시 성북구 길음동 1190,37.608108,127.0213064,4031.0,2025-12-14
해맑은,어린이공원,서울특별시 성북구 길음동 591-17,37.6085186,127.020925,2089.0,2025-12-14
한울,어린이공원,서울특별시 성북구 정릉동 169-6,37.605709,127.013709,2675.0,2025-12-14
솔숲,어린이공원,서울특별시 성북구 정릉동 170-10,37.60480863,127.014971,2922.0,2025-12-14
동망봉,어린이공원,서울특별시 성북구 보문동3가 229-1,37.5838591,127.017073,6730.0,2025-12-14
맑은숲,어린이공원,서울특별시 성북구 장위동 317-1,37.62144056,127.0463288,1601.0,2025-12-14
화랑,어린이공원,서울특별시 성북구 석관동 407-6,37.60715757,127.0547542,2213.0,2025-12-14
매화,어린이공원,서울특별시 성북구 돈암동 45-6,37.60011962,127.0207412,1595.0,2025-12-14
고암,어린이공원,서울특별시 성북구 종암동 133-5,37.59998725,127.0318095,1449.0,2025-12-14
옛시장,어린이공원,서울특별시 성북구 종암동 135-4,37.60232547,127.0339269,958.0,2025-12-14
성북,근린공원,서울특별시 성북구 성북동 168-274,37.595122,127.0072875,69676.5,2025-12-14
늘푸른,어린이공원,서울특별시 성북구 길음동 1284-14,37.60850569,127.0204223,1580.0,2025-12-14
아름,어린이공원,서울특별시 성북구 길음동 1284-1,37.60759757,127.0164324,2167.0,2025-12-14
벌집,어린이공원,서울특별시 성북구 종암동 134-3,37.599625,127.0367262,1788.0,2025-12-14
일신,어린이공원,서울특별시 성북구 종암동 134-8,37.59999069,127.0395876,950.0,2025-12-14
길음골,소공원,서울특별시 성북구 길음동 1285,37.60944177,127.0193237,1244.0,2025-12-14
길섶,소공원,서울특별시 성북구 길음동 1285-10,37.61057497,127.0186126,383.0,2025-12-14
잔월,소공원,서울특별시 성북구 하월곡동 230-1,37.6040624,127.031506,481.0,2025-12-14
행복한,소공원,서울특별시 성북구 길음동 1284-13,37.60822513,127.0195532,1173.0,2025-12-14
두레,소공원,서울특별시 성북구 길음동 1284-8,37.60655851,127.0176651,287.0,2025-12-14
돌마루,소공원,서울특별시 성북구 삼선동3가 116-1,37.5880187,127.012142,877.0,2025-12-14
되너미,소공원,서울특별시 성북구 돈암동 644-2,37.5992171,127.0137028,1069.0,2025-12-14
꿈빛,소공원,서울특별시 성북구 정릉동 1039,37.60224083,127.0116561,719.0,2025-12-14
길빛,근린공원,서울특별시 성북구 길음동 1288-12,37.60976006,127.0265188,146038.0,2025-12-14
정릉동,근린공원,서울특별시 성북구 정릉동 1021-2,37.61846189,127.0045308,5779.1,2025-12-14
자주바위,어린이공원,서울특별시 성북구 보문동6가 458-3,37.58287149,127.0178925,1519.3,2025-12-14
동방,어린이공원,서울특별시 성북구 장위동 219-223,37.61664297,127.0435038,982.0,2025-12-14
오동,근린공원,서울특별시 성북구 하월곡동 산2-1,37.61064628,127.0404131,233989.7,2025-12-14
개운산,근린공원,서울특별시 성북구 돈암동 산 6-1,37.59720671,127.0257184,208618.0,2025-12-14
청량,근린공원,서울특별시 성북구 석관동 409,37.60635811,127.0539954,329290.0,2025-12-14
모랫말,근린공원,서울특별시 성북구 하월곡동 90-206,37.604825,127.032787,1740.0,2025-12-14
아름드리,근린공원,서울특별시 성북구 하월곡동 225-2,37.60992341,127.037977,3782.0,2025-12-14
숭인,근린공원,서울특별시 성북구 보문동6가 458-4,37.58287311,127.0178911,5332.6,2025-12-14
삼선,어린이공원,서울특별시 성북구 삼선동1가 303,37.58323585,127.01039,10957.0,2025-12-14
범바위,어린이공원,서울특별시 성북구 안암동2가 140-3,37.58549036,127.0214092,1514.0,2025-12-14
꿈나라,어린이공원,서울특별시 성북구 보문동7가 108-2,37.58029718,127.023018,1564.0,2025-12-14
배밭골,어린이공원,서울특별시 성북구 정릉동 895,37.60812583,126.9986863,263.0,2025-12-14
동산,어린이공원,서울특별시 성북구 하월곡동 96-78,37.60459386,127.034528,417.0,2025-12-14
밤골,어린이공원,서울특별시 성북구 하월곡동 산2-140,37.607541,127.039921,600.0,2025-12-14
햇살,어린이공원,서울특별시 성북구 상월곡동 97-37,37.60591304,127.0485162,300.0,2025-12-14
향기,어린이공원,서울특별시 성북구 상월곡동 101-6,37.6091215585,127.0447354027,1000.0,2025-12-14
맑은소리,소공원,서울특별시 성북구 길음동 1288-11,37.61025298,127.0270613,2549.1,2025-12-14
별빛누리,소공원,서울특별시 성북구 길음동 1287-3,37.60760199,127.0161349,949.0,2025-12-14
돌이음,소공원,서울특별시 성북구 석관동 410-3,37.6069043,127.0652173,1103.4,2025-12-14
도란도란,소공원,서울특별시 성북구 석관동 410-4,37.60567055,127.0653636,426.0,2025-12-14
상길례,문화공원,서울특별시 성북구 장위동 319-2,37.61972141,127.0453689,4090.2,2025-12-14
북악산,근린공원,서울특별시 성북구 성북동 산 25-1,37.59555894,126.9864035,87616.5,2025-12-14
북한산,근린공원,서울특별시 성북구 정릉동 산1-1,37.61906876,127.0054953,93472.9,2025-12-14
삼청,근린공원,서울특별시 성북구 성북동 산25-1,37.59555894,126.9864035,73.6,2025-12-14
