공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
가락,근린공원,서울특별시 송파구 가락동 37,37.498469,127.125124,27648.2,2024-08-12
개나리,근린공원,서울특별시 송파구 잠실동 44-6,37.507553,127.0941112,6669.1,2024-08-12
개롱,근린공원,서울특별시 송파구 가락동 195,37.493407,127.130026,21544.4,2024-08-12
거여,근린공원,서울특별시 송파구 거여동 11,37.497007,127.140981,16185.1,2024-08-12
건너말,근린공원,서울특별시 송파구 가락동 110,37.491603,127.123473,11327.8,2024-08-12
글샘,근린공원,"서울특별시 송파구 문정동 621,625",37.48044523,127.1205075,27289.9,2024-08-12
글샘작은,근린공원,서울특별시 송파구 문정동 631,37.477494,127.1212146,10209.9,2024-08-12
누에머리,근린공원,서울특별시 송파구 오금동 110,37.50381027,127.141799,18607.5,2024-08-12
동산,근린공원,서울특별시 송파구 송파동 120,37.506226,127.1145005,5660.8,2024-08-12
마천,근린공원,서울특별시 송파구 마천동 11,37.50128584,127.1456483,10962.5,2024-08-12
매미,근린공원,서울특별시 송파구 잠실동 35-4,37.50934354,127.0887161,8012.3,2024-08-12
목련,근린공원,서울특별시 송파구 오금동 156,37.499035,127.138842,8127.4,2024-08-12
문정,근린공원,서울특별시 송파구 문정동 18-4 외,37.486486,127.128916,49972.0,2024-08-12
방이,근린공원,서울특별시 송파구 방이동 52,37.51435318,127.1136443,6930.1,2024-08-12
백토,근린공원,서울특별시 송파구 오금동 6,37.50811694,127.132113,10024.1,2024-08-12
뽕나무,근린공원,서울특별시 송파구 잠실동 19-3,37.51397635,127.0816397,11704.9,2024-08-12
삼전,근린공원,서울특별시 송파구 삼전동 62-1,37.50179286,127.0933328,6607.6,2024-08-12
소리,근린공원,서울특별시 송파구 문정동 357,37.4816116181,127.1199678258,36638.3,2024-08-12
송파,근린공원,서울특별시 송파구 송파동 113,37.50633354,127.110451,6621.2,2024-08-12
송파나루,근린공원,"서울특별시 송파구 신천동 32, 잠실동 47",37.51210416,127.1077049,285757.6,2024-08-12
숯내,근린공원,서울특별시 송파구 문정동 150-8,37.48970385,127.111231,10206.5,2024-08-12
아시아,근린공원,서울특별시 송파구 잠실동 84,37.51068203,127.0759347,66027.8,2024-08-12
연화,근린공원,서울특별시 송파구 문정동 92,37.485159989,127.1297173897,14318.2,2024-08-12
오금,근린공원,서울특별시 송파구 오금동 51,37.499994,127.134853,219167.4,2024-08-12
온조마루,근린공원,서울특별시 송파구 신천동 20-1,37.5199244,127.1100846,6734.2,2024-08-12
웃말,근린공원,서울특별시 송파구 가락동 21,37.50167671,127.123153,11098.2,2024-08-12
잠실,근린공원,서울특별시 송파구 잠실동 230,37.50621827,127.084165,6613.3,2024-08-12
장수,근린공원,서울특별시 송파구 장지동 846,37.480889,127.1304766,9949.0,2024-08-12
장지,근린공원,서울특별시 송파구 장지동 산 11 외,37.484721,127.134551,133122.1,2024-08-12
천마,근린공원,서울특별시 송파구 마천동 산 2 외,37.500386,127.158815,182420.0,2024-08-12
태양,근린공원,서울특별시 송파구 풍납동 389-2,37.52544289,127.1152157,6611.6,2024-08-12
풍납,근린공원,서울특별시 송파구 풍납동 74,37.53809304,127.1217719,23746.0,2024-08-12
하늘가람,근린공원,서울특별시 송파구 신천동 17-10,37.519327,127.106703,6612.0,2024-08-12
한양,근린공원,서울특별시 송파구 송파동 152,37.50407597,127.1153987,4842.4,2024-08-12
한우물,근린공원,"서울특별시 송파구 문정동 626,633",37.479138,127.1244919,11385.8,2024-08-12
훼밀리,근린공원,서울특별시 송파구 문정동 150-5,37.49075881,127.1140908,10528.6,2024-08-12
오금지구 근린공원,근린공원,서울특별시 송파구 오금동 106-1 일원,37.505504,127.140584,11488.0,2024-08-12
가야금,어린이공원,서울특별시 송파구 오금동 21,37.508629,127.1293119,1500.0,2024-08-12
개나리,어린이공원,서울특별시 송파구 문정동 81,37.482425,127.1283131,1312.2,2024-08-12
개미,어린이공원,서울특별시 송파구 거여동 29,37.4921999,127.146735,1500.4,2024-08-12
거북이,어린이공원,서울특별시 송파구 송파동 243-1,37.50170298,127.119522,1594.0,2024-08-12
거여,어린이공원,서울특별시 송파구 거여동 593-1,37.492626,127.1428082,756.6,2024-08-12
곰말,어린이공원,서울특별시 송파구 방이동 139,37.51190919,127.1177088,1707.2,2024-08-12
굴렁쇠,어린이공원,서울특별시 송파구 문정동 150-6,37.490223,127.1124333,1596.1,2024-08-12
꿈나무,어린이공원,서울특별시 송파구 오금동 117-1,37.5032386,127.141109,1496.3,2024-08-12
나루터,어린이공원,서울특별시 송파구 삼전동 37,37.501606,127.0867436,1472.9,2024-08-12
남천,어린이공원,서울특별시 송파구 마천동 344,37.501303,127.1527103,282.9,2024-08-12
늘봄,어린이공원,서울특별시 송파구 장지동 123-1,37.487571,127.133988,3004.4,2024-08-12
능골,어린이공원,서울특별시 송파구 가락동 198,37.493129,127.133207,1484.7,2024-08-12
대건,어린이공원,서울특별시 송파구 가락동 165-4,37.4971171,127.1320317,1500.0,2024-08-12
도담,어린이공원,서울특별시 송파구 마천동 583,37.49962097,127.159557,4138.0,2024-08-12
돌마리,어린이공원,서울특별시 송파구 석촌동 258,37.5006205,127.103249,1715.6,2024-08-12
돌무데기,어린이공원,서울특별시 송파구 마천동 375,37.492001,127.155103,97.6,2024-08-12
동호수,어린이공원,서울특별시 송파구 송파동 34,37.50991906,127.1070996,1469.7,2024-08-12
