공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
신일어린이공원,어린이공원,서울특별시 영등포구 신길동 455-1,37.510022,126.9221917,173.0,2025-11-03
자매근린공원,근린공원,서울특별시 영등포구 여의도동 56,37.5180209,126.9309951,16458.0,2025-11-03
문래근린공원,근린공원,서울특별시 영등포구 문래동3가 66,37.517456,126.894267,23611.0,2025-11-03
신길근린공원,근린공원,서울특별시 영등포구 신길동 341-3,37.501712,126.905408,19604.0,2025-11-03
당산근린공원,근린공원,서울특별시 영등포구 당산동3가 385,37.52521794,126.8951468,11154.0,2025-11-03
메낙골근린공원,근린공원,서울특별시 영등포구 신길동 4934-4,37.50701967,126.915244,17229.0,2025-11-03
중앙어린이공원,어린이공원,서울특별시 영등포구 영등포동6가 65-1,37.52147175,126.9032729,3671.0,2025-11-03
평화어린이공원,어린이공원,서울특별시 영등포구 여의도동 50-2,37.52135273,126.9373261,4595.0,2025-11-03
자유어린이공원,어린이공원,서울특별시 영등포구 여의도동 50-3,37.521353,126.937326,5385.0,2025-11-03
강마을어린이공원,어린이공원,서울특별시 영등포구 당산6가 10-7,37.532972,126.906681,3329.0,2025-11-03
양남어린이공원,어린이공원,서울특별시 영등포구 양평동1가 205,37.523205,126.888303,1467.0,2025-11-03
산성어린이공원,어린이공원,서울특별시 영등포구 대림동 752-60,37.49697742,126.902594,413.0,2025-11-03
다사랑어린이공원,어린이공원,서울특별시 영등포구 대림동 703-6,37.492834,126.899215,1632.0,2025-11-03
고추말어린이공원,어린이공원,서울특별시 영등포구 도림동 23-1,37.511577,126.9070507,3071.0,2025-11-03
조롱박어린이공원,어린이공원,서울특별시 영등포구 대림동 870,37.491332,126.903016,6969.0,2025-11-03
서강어린이공원,어린이공원,서울특별시 영등포구 영등포동8가 28,37.5259219,126.905848,1797.0,2025-11-03
원지어린이공원,어린이공원,서울특별시 영등포구 대림동 690,37.497618,126.899642,4845.0,2025-11-03
동심어린이공원,어린이공원,서울특별시 영등포구 대림동 742,37.498712,126.897293,2820.0,2025-11-03
두암어린이공원,어린이공원,서울특별시 영등포구 대림동 715,37.49551276,126.897371,1477.0,2025-11-03
신우어린이공원,어린이공원,서울특별시 영등포구 대림동 657,37.503539,126.899081,3112.0,2025-11-03
양화폭포근린공원,근린공원,서울특별시 영등포구 양평동 153-2,37.53904364,126.8985934,10244.0,2025-11-03
영등포근린공원,근린공원,서울특별시 영등포구 영등포동 582-3,37.516127,126.912126,61544.0,2025-11-03
양평어린이공원,어린이공원,서울특별시 영등포구 양평동4가 301-7,37.538015,126.898077,2845.0,2025-11-03
영일어린이공원,어린이공원,서울특별시 영등포구 영등포동 647-3,37.51015183,126.903919,5413.0,2025-11-03
중마루근린공원,근린공원,서울특별시 영등포구 영등포동2가 222,37.519919,126.911497,6456.0,2025-11-03
꿈에그린어린이공원,어린이공원,서울특별시 영등포구 신길동 4937-1,37.50300166,126.9088394,1619.0,2025-11-03
문래소공원,소공원,서울특별시 영등포구 문래동6가 25-1,37.5197992,126.8869024,1954.0,2025-11-03
해무리소공원,소공원,서울특별시 영등포구 문래동4가 67-1,37.514461,126.888327,1194.0,2025-11-03
달무리소공원,소공원,서울특별시 영등포구 문래동4가 68-1,37.513622,126.890546,1007.0,2025-11-03
꽃담소공원,소공원,서울특별시 영등포구 당산동5가 4-23,37.53120144,126.900161,2582.0,2025-11-03
옹기종기소공원,소공원,서울특별시 영등포구 신길동 4955-3,37.504367,126.906022,1732.0,2025-11-03
당산역소공원,소공원,서울특별시 영등포구 당산동5가 9-29,37.533517,126.900642,229.0,2025-11-03
원두막소공원,소공원,서울특별시 영등포구 대림1동 1124-3,37.495012,126.903451,395.0,2025-11-03
도리미소공원,소공원,서울특별시 영등포구 도림동 821-3,37.509476,126.9021917,1859.0,2025-11-03
새말소공원,소공원,서울특별시 영등포구 당산동4가 85,37.531292,126.8975129,1642.0,2025-11-03
이음소공원,소공원,서울특별시 영등포구 당산동4가 98-1,37.527424,126.902467,732.0,2025-11-03
당산나루소공원,소공원,서울특별시 영등포구 당산동5가 9-3,37.532814,126.900128,1279.0,2025-11-03
꿈모아소공원,소공원,서울특별시 영등포구 문래동5가 67-2,37.51655014,126.8871262,1505.0,2025-11-03
영신소공원,소공원,서울특별시 영등포구 당산동4가 99-1,37.528846,126.903737,396.0,2025-11-03
화담소공원,소공원,서울특별시 영등포구 신길동 4950-1,37.501274,126.9162891,1024.1,2025-11-03
아기자기소공원,소공원,서울특별시 영등포구 신길동 4945-1,37.504638,126.906631,1661.4,2025-11-03
아크로타워 역사공원,역사공원,서울특별시 영등포구 영등포동7가 205-1,37.52257451,126.9077566,2962.0,2025-11-03
정담소공원,소공원,서울특별시 영등포구 신길동 1980-1,37.50373971,126.9175044,1638.0,2025-11-03
늘품어린이공원,어린이공원,서울특별시 영등포구 신길동 541,37.503015,126.920286,1981.0,2025-11-03
어울숲근린공원,근린공원,서울특별시 영등포구 신길동 243-58,37.503954,126.9145992,13776.0,2025-11-03
당찬어린이공원,어린이공원,서울특별시 영등포구 당산동5가 4-13,37.53003105,126.9015929,1587.0,2025-11-03
도토리어린이공원,어린이공원,서울특별시 영등포구 대림동 1127-6,37.494598,126.9081926,2878.0,2025-11-03
소예소공원,소공원,서울특별시 영등포구 신길동 3126,37.502528,126.912451,2361.0,2025-11-03
라온소공원,소공원,서울특별시 영등포구 신길동 3403,37.502802,126.911686,2133.0,2025-11-03
오순도순소공원,소공원,서울특별시 영등포구 신길동 336-317,37.504178,126.9067851,2650.0,2025-11-03
