공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
효창공원,근린공원,서울특별시 용산구 효창동 255,37.544278,126.959255,171277.0,2025-08-18
새나라어린이공원,어린이공원,서울특별시 용산구 후암동 190-1,37.548319,126.9763669,2340.0,2025-08-18
늘푸른어린이공원,어린이공원,서울특별시 용산구 원효로3가 1-139,37.53479369,126.956553,2300.0,2025-08-18
청파문화공원,문화공원,서울특별시 용산구 서계동 226-3,37.553546,126.9682992,4296.4,2025-08-18
동자어린이공원,어린이공원,서울특별시 용산구 동자동 24-11,37.55008633,126.973945,712.0,2025-08-18
이태원어린이공원,어린이공원,서울특별시 용산구 이태원동 286-1,37.538407,126.989041,2858.0,2025-08-18
새꿈어린이공원,어린이공원,서울특별시 용산구 동자동 8,37.552563,126.974476,1828.0,2025-08-18
돌모루어린이공원,어린이공원,서울특별시 용산구 청파동3가 118-102,37.542772,126.9685904,3447.0,2025-08-18
신계공원,역사공원,서울특별시 용산구 신계동 55,37.535079,126.966284,15000.0,2025-08-18
소월길어린이공원,어린이공원,서울특별시 용산구 이태원동 463,37.543563,126.989243,1630.0,2025-08-18
꿈나무공원,어린이공원,서울특별시 용산구 이촌동 301-86,37.520795,126.971721,1412.0,2025-08-18
새싹어린이공원,어린이공원,서울특별시 용산구 이촌동 206-1,37.526961,126.954522,480.0,2025-08-18
삼각지어린이공원,어린이공원,서울특별시 용산구 용산동3가 1-96,37.534406,126.9754551,803.0,2025-08-18
응봉공원,근린공원,서울특별시 용산구 한남동 산8-1,37.544987,127.0047763,187834.0,2025-08-18
동빙고공원,근린공원,서울특별시 용산구 용산동6가 69-163,37.517396,126.983984,55740.0,2025-08-18
두텁바위어린이공원,어린이공원,서울특별시 용산구 동자동 50,37.552054,126.972944,2623.0,2025-08-18
효창어린이공원,어린이공원,서울특별시 용산구 효창동 5-712,37.54279367,126.9585555,525.0,2025-08-18
이촌공원,어린이공원,서울특별시 용산구 이촌동 301-60,37.518766,126.979792,1736.0,2025-08-18
새푸리공원,소공원,서울특별시 용산구 이촌동 399,37.5215843,126.967831,231.0,2025-08-18
도원어린이공원,어린이공원,서울특별시 용산구 도원동 21,37.537154,126.9546234,1500.0,2025-08-18
강변공원,소공원,서울특별시 용산구 이촌동 408,37.521338,126.975039,1766.0,2025-08-18
솔밭어린이공원,어린이공원,서울특별시 용산구 한강로1가 30-3,37.537229,126.973668,2090.0,2025-08-18
신창동어린이공원,어린이공원,서울특별시 용산구 신창동 100,37.5366983,126.954145,257.0,2025-08-18
서빙고공원,근린공원,서울특별시 용산구 용산동5가 24-2,37.524782,126.9712832,11879.0,2025-08-18
기와터공원,근린공원,서울특별시 용산구 한강로3가 63-388,37.52581297,126.969661,2225.0,2025-08-18
문배어린이공원,어린이공원,서울특별시 용산구 문배동 24-1,37.536628,126.9698073,842.0,2025-08-18
서계가로어린이공원,어린이공원,서울특별시 용산구 서계동 276-7,37.551285,126.964252,183.0,2025-08-18
후암어린이공원,어린이공원,서울특별시 용산구 후암동 406-80,37.54722997,126.9836734,182.0,2025-08-18
비상공원,소공원,서울특별시 용산구 이촌동 417,37.522342,126.971394,889.0,2025-08-18
청탑공원,소공원,서울특별시 용산구 이촌동 425,37.517808,126.977273,546.0,2025-08-18
사촌공원,소공원,서울특별시 용산구 이촌동 429,37.520666,126.9709256,1500.0,2025-08-18
강변복지공원,소공원,서울특별시 용산구 이촌동 421,37.521114,126.9658983,377.0,2025-08-18
이촌한우리공원,소공원,서울특별시 용산구 이촌동 437,37.5172264,126.981103,4325.0,2025-08-18
해님공원,소공원,서울특별시 용산구 문배동 45,37.539145,126.970123,1255.0,2025-08-18
달님공원,소공원,서울특별시 용산구 문배동 46,37.538428,126.969601,1195.0,2025-08-18
별님공원,소공원,서울특별시 용산구 문배동 11-1,37.538165,126.969201,1137.0,2025-08-18
이태원마을숲,소공원,서울특별시 용산구 이태원동 260-87,37.5412484,126.991493,867.0,2025-08-18
독서당공원,소공원,서울특별시 용산구 한남동 1-32,37.5345083,127.012481,469.0,2025-08-18
한남공원,소공원,서울특별시 용산구 한남동 15-5,37.537238,127.013882,432.0,2025-08-18
이태원어린이놀이터,소공원,서울특별시 용산구 이태원동 190-11,37.535685,126.989937,278.0,2025-08-18
한강대로공원,소공원,서울특별시 용산구 한강로동 65-587,37.524103,126.963575,466.0,2025-08-18
이태원부군당,역사공원,서울특별시 용산구 이태원동 191-3,37.535801,126.989755,2020.0,2025-08-18
이봉창역사공원,역사공원,서울특별시 용산구 효창동 286-7,37.54010272,126.960877,484.4,2025-08-18
신용산가로공원,기타,서울특별시 용산구 한강로2가 424-1,37.52947726,126.9690828,2410.0,2025-08-18
한강로가로공원,기타,서울특별시 용산구 한강로3가 65-690,37.524249,126.963959,1076.3,2025-08-18
한마음어린이공원,어린이공원,서울특별시 용산구 용산동5가 30-4,37.52856458,126.9696756,2998.5,2025-08-18
우정소공원,소공원,서울특별시 용산구 효창동 287-2,37.540454,126.9640942,806.1,2025-08-18
녹색소공원,소공원,서울특별시 용산구 효창동 287-6,37.53937577,126.9625188,1569.9,2025-08-18
효창6소공원,소공원,서울특별시 용산구 효창동 3-209,37.54826911,126.9631111,880.5,2025-08-18
