공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
새록어린이공원,어린이공원,서울특별시 은평구 녹번동 158-1,37.6039347476,126.9238721266,956.0,2025-07-29
응암동어린이공원,어린이공원,서울특별시 은평구 응암동 85-41,37.6017212431,126.9235285369,992.1,2025-07-29
신록어린이공원,어린이공원,서울특별시 은평구 녹번동 20-6,37.6051629284,126.9382116719,469.0,2025-07-29
참다래어린이공원,어린이공원,서울특별시 은평구 응암동 120-22,37.5952985005,126.9173370393,954.4,2025-07-29
포수동어린이공원,어린이공원,서울특별시 은평구 응암동 115-25,37.5981006364,126.9195000672,987.8,2025-07-29
시루메어린이공원,어린이공원,서울특별시 은평구 증산동 185-1,37.583033644,126.9065733201,999.6,2025-07-29
연서어린이공원,어린이공원,서울특별시 은평구 역촌동 32-36,37.604138638,126.9166648762,956.0,2025-07-29
역마을어린이공원,어린이공원,서울특별시 은평구 역촌동 39-2,37.6011831707,126.9186750578,949.1,2025-07-29
역말어린이공원,어린이공원,서울특별시 은평구 역촌동 47-1,37.6069167334,126.9142523563,966.3,2025-07-29
인조유기비어린이공원,어린이공원,서울특별시 은평구 역촌동 8-11,37.6086839075,126.9165280095,1256.9,2025-07-29
대조동어린이공원,어린이공원,서울특별시 은평구 대조동 212,37.6153707638,126.9195726307,4176.9,2025-07-29
길마어린이공원,어린이공원,서울특별시 은평구 갈현동 474-1,37.614801423,126.915691147,1596.7,2025-07-29
궁말어린이공원,어린이공원,서울특별시 은평구 갈현동 327-21,37.6168849263,126.9089400905,1190.0,2025-07-29
박석어린이공원,어린이공원,서울특별시 은평구 갈현동 416-3,37.6250844333,126.9184395729,856.9,2025-07-29
좌월어린이공원,어린이공원,서울특별시 은평구 갈현동 513-1,37.6173167517,126.9133097585,1398.3,2025-07-29
갈곡리어린이공원,어린이공원,서울특별시 은평구 갈현동 436-51,37.6238888205,126.9166300329,1738.7,2025-07-29
새락골어린이공원,어린이공원,서울특별시 은평구 신사동 5-21,37.5989547732,126.911325089,994.0,2025-07-29
호연어린이공원,어린이공원,서울특별시 은평구 녹번동 95-44,37.6054842139,126.9310602386,528.0,2025-07-29
분토골어린이공원,어린이공원,서울특별시 은평구 증산동 163-34,37.5868335149,126.9118763633,996.0,2025-07-29
서갈현동어린이공원,어린이공원,서울특별시 은평구 갈현동 434-38,37.621374693,126.9157238232,1532.2,2025-07-29
새장골어린이공원,어린이공원,서울특별시 은평구 불광동 444-1,37.6251324246,126.9261927814,992.0,2025-07-29
시내어린이공원,어린이공원,서울특별시 은평구 불광동 444-15,37.6250056546,126.9273307976,659.0,2025-07-29
관동어린이공원,어린이공원,서울특별시 은평구 불광동 270-11,37.6136361654,126.9297610758,331.0,2025-07-29
가람어린이공원,어린이공원,서울특별시 은평구 불광동 448-51,37.586711,126.911699,249.0,2025-07-29
신흥어린이공원,어린이공원,서울특별시 은평구 신사동 31-2,37.5959470098,126.9119463532,937.9,2025-07-29
아까시아어린이공원,어린이공원,서울특별시 은평구 신사동 200-27,37.594425618,126.908655916,982.0,2025-07-29
개나리어린이공원,근린공원,서울특별시 은평구 신사동 237-177,37.5956099811,126.90433228,2896.0,2025-07-29
오래뜰어린이공원,어린이공원,서울특별시 은평구 응암동 742-9,37.5832990522,126.9161039427,1526.0,2025-07-29
불광동어린이공원,어린이공원,서울특별시 은평구 불광동 236-5,37.6163816849,126.9314597674,496.0,2025-07-29
백련아름어린이공원,어린이공원,서울특별시 은평구 응암동 761-9,37.58705726,126.9230245,2244.3,2025-07-29
다래어린이공원,마을마당,서울특별시 은평구 응암동751-22,37.58716318,126.9190129,584.9,2025-07-29
연신어린이공원,어린이공원,서울특별시 은평구 불광동 339,37.6197194989,126.9250822702,1236.0,2025-07-29
양천리누리터 어린이공원,어린이공원,서울특별시 은평구 녹번동 281-4,37.60640813,126.9343765,5153.3,2025-07-29
응암동새싹어린이공원,어린이공원,서울특별시 은평구 응암동 240-7,37.59302004,126.9221859,1602.0,2025-07-29
매바위어린이공원,어린이공원,서울특별시 은평구 응암동 767-1,37.59579569,126.9196114,4144.8,2025-07-29
응암동행복어린이공원,어린이공원,서울특별시 은평구 응암동764-2,37.58904802,126.9214351,3090.1,2025-07-29
북한산,근린공원,서울특별시 은평구 불광동 산42-5,37.61129705,126.9400901,60789.0,2025-07-29
봉산,근린공원,서울특별시 은평구 구산동 산136-5,37.61720135,126.9032419,173394.2,2025-07-29
서오능,근린공원,서울특별시 은평구 진관동 산63-4,37.63840258,126.9138099,58509.5,2025-07-29
불  광,근린공원,서울특별시 은평구 불광동 산33-1,37.62117415,126.9310166,118314.2,2025-07-29
백  련,근린공원,서울특별시 은평구 응암동 산1-27,37.59941022,126.9357364,205090.9,2025-07-29
진  관,근린공원,서울특별시 은평구 진관동 산95 일대,37.61634,126.931455,585480.1,2025-07-29
향   림,근린공원,서울특별시 은평구 진관동 산52,37.62933219,126.9273554,202993.0,2025-07-29
신  사,근린공원,서울특별시 은평구 신사동 산80-64일대,37.604686,126.915235,71848.1,2025-07-29
물 푸 레,근린공원,서울특별시 은평구 진관동 산100-44,37.63783996,126.9165117,147441.6,2025-07-29
기 자 촌,근린공원,서울특별시 은평구 진관동 106-17,37.63392387,126.9143248,128953.7,2025-07-29
녹번동서,근린공원,서울특별시 은평구 녹번동 85-1,37.60372262,126.9272021,29945.0,2025-07-29
녹번동,근린공원,서울특별시 은평구 녹번동 산27,37.60325117,126.9322993,25854.7,2025-07-29
거 북 골,근린공원,서울특별시 은평구 구산동 산37-4,37.61013255,126.9070389,43812.6,2025-07-29
구  산,근린공원,서울특별시 은평구 구산동 산48-7,37.60733325,126.9077646,12445.7,2025-07-29
상림,근린공원,서울특별시 은평구 진관동 5-3,37.6486642,126.9295653,4749.8,2025-07-29
못자리골,근린공원,"서울특별시 은평구 진관동13-2, 12-1",37.64653435,126.9269594,16176.1,2025-07-29
덕수천,근린공원,서울특별시 은평구 진관동 14-3,37.6447552,126.9239666,5569.1,2025-07-29
마고정,근린공원,서울특별시 은평구 진관동 101-2,37.63252943,126.9191135,4551.6,2025-07-29
우물골,근린공원,"서울특별시 은평구 진관동 85-1,2,3",37.63513448,126.9253782,7203.1,2025-07-29
신도,근린공원,서울특별시 은평구 진관동 206-21,37.594288,126.919595,12020.0,2025-07-29
마실길,근린공원,서울특별시 은평구 진관동 125-22,37.64118472,126.9428673,45170.5,2025-07-29
역촌동동소공원,소공원,"서울특별시 은평구 역촌동 85-34,36",37.59953752,126.915543,318.0,2025-07-29
거북이소공원,소공원,서울특별시 은평구 구산동 309-38,37.61813526,126.9053281,250.0,2025-07-29
요  산소공원,소공원,서울특별시 은평구 불광동 13-33외 3,37.591827,126.918252,805.0,2025-07-29
백련산숲속소공원,소공원,서울특별시 은평구 응암동 761-7,37.58744179,126.9257878,880.8,2025-07-29
불광동3구역소공원,소공원,서울특별시 은평구 불광동641-1일대,37.648497,126.929826,7274.1,2025-07-29
북한산풀잎소공원,소공원,서울특별시 은평구 불광동 638-3 일대,37.648497,126.929826,1919.0,2025-07-29
아미산자락소공원,소공원,서울특별시 은평구 불광동 643-3,37.61676413,126.9288671,3120.0,2025-07-29
놀뫼소공원,소공원,서울특별시 은평구 응암동 762-4,37.59853895,126.9258631,1641.6,2025-07-29
폭포동소공원,소공원,서울특별시 은평구 진관동 158-14일원,37.637075,126.916493,1087.8,2025-07-29
잿말소공원,소공원,서울특별시 은평구 진관동 195-16,37.64149246,126.9390162,245.1,2025-07-29
한옥마을소공원,소공원,서울특별시 은평구 진관동 211-34,37.64264507,126.9396138,58.7,2025-07-29
풋나무골소공원,소공원,서울특별시 은평구 신사동372-1,37.59850902,126.9078699,782.6,2025-07-29
녹번동산들바람소공원,소공원,서울특별시 은평구 녹번동 283-7,37.60404782,126.9355487,5804.2,2025-07-29
수색4구역 소공원,소공원,서울특별시 은평구 수색동 417-2,37.58399038,126.8933975,3571.5,2025-07-29
DMC소공원,소공원,서울특별시 은평구 수색동 418-3,37.58214214,126.9007693,925.5,2025-07-29
해바람소공원,소공원,서울특별시 은평구 응암동 768-1,37.59635485,126.9206968,3230.3,2025-07-29
은평마루소공원,소공원,서울특별시 은평구 응암동 769-4,37.60089001,126.9321475,1059.1,2025-07-29
금암문화공원 (은평뉴타운제1호문화공원),주제공원,서울특별시 은평구 진관동 53-5,37.624806,126.92741,6857.1,2025-07-29
