공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
훈련원공원,근린공원,서울특별시 중구 을지로5가 40-3,37.56922545,127.0053319,17927.9,2025-06-09
응봉공원,근린공원,서울특별시 중구 신당동 산 2-6,37.56251273,127.0250052,110176.5,2025-06-09
무학봉공원,근린공원,서울특별시 중구 신당5동 산12-63,37.56251273,127.0250052,38054.0,2025-06-09
다동공원,근린공원,서울특별시 중구 다동51-1,37.56779209,126.9805245,1929.0,2025-06-09
묵정어린이공원,어린이공원,서울특별시 중구 충무로5가 21,37.56368166,126.9998022,3907.4,2025-06-09
쌍림어린이공원,어린이공원,서울특별시 중구 광희1가 242,37.56415396,127.0049461,1500.0,2025-06-09
황학어린이공원,어린이공원,서울특별시 중구 황학동 755,37.56748267,127.0180129,1087.0,2025-06-09
배재어린이공원,어린이공원,서울특별시 중구 정동 34-31,37.56440726,126.9726897,2877.0,2025-06-09
청구어린이공원,어린이공원,서울특별시 중구 청구동 842-1,37.55566197,127.0138185,1655.7,2025-06-09
충현어린이공원,어린이공원,서울특별시 중구 다산동 432-540,37.55110795,127.0056933,1571.0,2025-06-09
다산어린이공원,어린이공원,서울특별시 중구 신당5동 123-1,37.56375032,127.0186793,3678.6,2025-06-09
늘푸른어린이공원,어린이공원,서울특별시 중구 다산동 432-917,37.55110795,127.0056933,423.0,2025-06-09
저동어린이공원,어린이공원,서울특별시 중구 저동1가 1-14,37.56474547,126.9878944,1050.0,2025-06-09
꿈누리어린이공원,어린이공원,서울특별시 중구 신당동 851-9,37.5606932,127.0203973,2568.7,2025-06-09
동화어린이공원,어린이공원,서울특별시 중구 신당동 852-4,37.56049514,127.0181196,3070.9,2025-06-09
순화어린이공원,어린이공원,서울특별시 중구 순화동 217-6,37.56343951,126.9712668,1457.8,2025-06-09
저동1소공원,소공원,서울특별시 중구 을지로2가 203-1,37.56595598,126.9896256,210.0,2025-06-09
저동2소공원,소공원,서울특별시 중구 을지로2가 203-4,37.56526144,126.9888661,200.0,2025-06-09
저동3소공원,소공원,서울특별시 중구 저동2가 89-1,37.56563762,126.9890554,389.2,2025-06-09
쌍림동소공원,소공원,서울특별시 중구 쌍림동 292-2,37.56350445,127.0030963,169.4,2025-06-09
무교2소공원,소공원,서울특별시 중구 태평로1가 2-2,37.56883648,126.9776038,1245.4,2025-06-09
경찰기념공원,소공원,서울특별시 중구 의주로1가 44-2,37.56056785,126.9688672,1039.0,2025-06-09
진달래소공원,소공원,서울특별시 중구 정동 1-73,37.56801264,126.9747535,713.0,2025-06-09
마루소공원,소공원,서울특별시 중구 다산동 432-1918,37.55116553,127.0043988,337.0,2025-06-09
만리소공원(만리2구역1),소공원,서울특별시 중구 만리동2가 285(231-2),37.55446168,126.9658367,1204.2,2025-06-09
만리소공원(만리2구역2),소공원,서울특별시 중구 만리동2가 281(211),37.55446168,126.9658367,3394.5,2025-06-09
만리2구역3(가칭)_만리1,소공원,서울특별시 중구 만리동2가 12-53,37.55446168,126.9658367,427.0,2025-06-09
서소문구역 제5지구(가칭),소공원,서울특별시 중구 서소문동 116,37.56288231,126.9754281,397.5,2025-06-09
신당제11구역1(가칭),소공원,서울특별시 중구 신당동 856-6,37.56221478,127.0255059,284.7,2025-06-09
신당제11구역2(가칭),소공원,서울특별시 중구 신당동 856-2,37.56312028,127.0255232,79.7,2025-06-09
인현소공원,소공원,서울특별시 중구 예관동 53-4,37.5645401,126.997423,1317.7,2025-06-09
손기정체육공원,체육공원,서울특별시 중구 만리동2가 6-1,37.55592073,126.9645377,29682.2,2025-06-09
서소문역사공원,역사공원,서울특별시 중구 의주로2가 16-2,37.56056785,126.9688672,21363.0,2025-06-09
청계천한빛공원,역사공원,서울특별시 중구 삼각동 118,37.56800871,126.9851012,2105.7,2025-06-09
정동역사공원,역사공원,서울특별시 중구 정동 15-1,37.56773915,126.9713585,8160.0,2025-06-09
순화문화공원,문화공원,서울특별시 중구 순화동 216-2,37.56013992,126.9715294,2102.5,2025-06-09
명동문화공원,문화공원,서울특별시 중구 저동1가 91-2,37.56472834,126.9869241,2117.0,2025-06-09
남대문로5가문화공원,문화공원,서울특별시 중구 남대문로5가 831-1,37.56472834,126.9869241,1576.2,2025-06-09
